Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.parentalia,1.0,"scio, uersiculis, meus, euenio, ut, fastidiosus, lego, quippe, sic, mereo, sum, is, sed, quidam, soleo, commendaris, materia, et, aliquoties, fortasse, lector, solus, lemma, sollicito, titulis, ut, festiuitas, persuadeo, et, ineptia, fero, contineo, sum, hic, opusculis, neque, materia, amoenus, sum, neque, appellatio, iucundus, habeo, maestus, religio, qui, carus, meus, obeo, tristis, adfectio, commemoro, titulus, libellus, sum, parentalia, antiquus, appellatio, hic, dies, et, iam, inde, ab, numa, cognator, inferius, instituo, neque, quisquam, sancio, habeo, reuerendus, super-sto, quam, ut, amitto, uenerabiliter, recordor, nomen, carus, iam, condio, funus, iustus, leta, prior, lacrima, nunc, memoro, modus, nudo, sine, orno, for, careo, cultus, sufficio, inferius, exequial, honor, nenia, funereus, satis, officiosus, querela, annuus, ne, taceo, munus, praetereo, qui, numa, cognatus, sollemne, dedico, umbra, ut, gradus, aut, mors, postulo, aut, genus, hic, satis, sum, tumulus, satis, sum, tellus, egenus, uox, cieo, anima, funus, instar, habeo, gaudeo, compositum, cinis, suus, nomen, dico, frons, hic, scribo, et, monumentum, iubeo, ille, etiam, maestus, qui, desum, urna, sepulcrum, nomen, ter, dico, paene, sepelio, sum, at, tu, quicumque, sum, lector, qui, fatum, meus, dignaris, maestus, conmemoraris, elegi, inconcussus, tuus, percurras, tempus, uita, et, praeter, iustus, funero, nullus, fleo, primus, in, hic, pater, ausonius, qui, pono, primus, etsi, cuncto, filius, ordo, iubeo, cura, deus, placidus, fungor, qui, honor, senecta, undecies, bini, uiuo, olympiadas, omnis, qui, uolo, qui, prosper, uideo, idem, opto, quisquis, contingo, ut, uolo, non, quia, fatum, nimius, indulgeo, sed, qui, tam, modero, ille, ueto, sum, uir, qui, suus, contendo, septem, sapio, aetas, qui, doctrina, mos, excolo, uiuo, ut, potis, quam, dico, ars, sophos, quamquam, et, facundus, non, rudis, ingenium, praeditus, et, uito, homo, ratio, medeor, porrigo, et, fatum, amplificaris, mora, inde, et, perfunctae, maneo, hic, reuerendus, uita, aetas, noster, ille, qui, do, hic, titulis, ut, nullus, ausonius, qui, sector, habeo, sic, nullus, qui, sui, nunc, imitor, habeo",296,"NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 1.0, NaN, -1.0, 1.0, NaN, 1.0, 0.0, NaN, -1.0, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, -0.5, 1.0, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 1.0, NaN, -0.5, 0.5, 1.0, -0.5, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.5, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, -1.0, NaN, NaN, 0.5, 0.0, NaN, 0.0, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.5, NaN, -1.0, 0.0, 1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 1.0, NaN, NaN, 1.0, NaN, -0.5, 0.5, 0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.037,-0.039,"hic, hic, hic, hic, sepulcrum, sepelio, tu, hic, nimius, indulgeo, hic, hic",0.041
ausonius.parentalia,2.0,"propior, tu, genetrix, aeonia, sanguis, misceo, tarbellae, mater, pater, et, haeduici, morigerus, uxor, uirtus, qui, contingo, omnis, fama, pudicitia, lanificaeque, manus, coniugium, fides, et, nascor, cura, rego, et, grauitas, como, laeto, serietas, aeternus, placidus, manes, conplexa, maritus, uiuus, torus, quondam, fungor, foueo, tumulus",43,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, 1.0, 0.5, NaN, 0.0, NaN, 1.0, NaN, NaN, -1.0, NaN, NaN, -0.5, NaN, NaN, 0.0, 0.5, 1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN",0.081,-0.035,"tu, uxor, pudicitia, maritus, uiuus",0.116
ausonius.parentalia,3.0,"colo, ego, sum, pietas, pater, primus, et, mater, uoco, dico, sed, refugio, tertius, arborius, qui, primus, memoro, nefas, ego, pater, secundus, rursum, non, primus, pono, paene, nefas, temperies, adhibeo, et, proximus, ille, uocandus, ante, alius, quamquam, pater, secundus, sum, tu, frater, genetrix, et, unanimus, genitor, et, ego, qui, sum, qui, pater, et, genetrix, qui, ego, lacto, puer, iuuenis, uir, ars, orno, qui, disco, iuuo, tu, sui, palladiae, antefero, toga, doceo, tolosae, tu, narbonensis, gallia, praepono, orno, qui, latium, sermo, tribunal, et, foro, hiber, quisque, nouo, populus, hinc, tenus, europam, fama, cresco, peto, constantinopolis, rhetor, tu, uigesco, tu, per, mille, modus, per, mille, oraculum, for, doceo, facundus, tu, celer, atque, memor, tu, postquam, primus, placeo, tu, trado, annus, dico, natus, ego, satis, sum, tu, ego, tu, ego, pater, clarus, decus, sum, profiteor, dicto, fatum, uerbum, noto, meus, ergo, ual, elysiam, sortior, auunculis, sedes, hic, tu, de, musis, carmen, libo, tuus",149,"NaN, NaN, NaN, 1.0, 0.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, -1.0, NaN, 0.0, 0.0, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0",0.037,-0.017,"nefas, nefas, tu, tu, tu, tu, tu, tu, tu, tu, tu, tu, hic, tu",0.094
ausonius.parentalia,4.0,"officiosus, pius, ne, desero, pagina, munus, maternus, post, hic, commemoro, auus, arborium, haeduico, duco, de, stemma, nomen, conplexum, multus, nobilitas, domus, qui, lugdunensis, prouincia, quisque, potens, haedues, alpino, quisque, uienna, iugum, inuidus, sed, nimium, gener, ops, superbus, aerumna, incumbo, namque, auus, et, genitor, proscribo, regnum, cum, uictorinus, habeo, ducto, et, in, taetricus, recido, imperium, tum, profugus, in, terra, per, qui, erumpo, aturrus, tarbellique, furor, perstrepo, oceani, grassor, dudum, fortuna, telum, paueo, pauper, aemiliae, condicio, implico, mox, tenuis, multus, quaero, pecunia, nisus, solame, -ne, fatisco, non, et, ops, tribuo, tu, caelum, numerus, et, conscius, sidus, fatum, callebas, studium, dissimulanter, ago, non, ignotus, tu, noster, quoque, formula, uita, signo, quam, tu, condideras, tabula, prodeo, non, umquam, sed, mater, cura, retego, sedulus, quam, timidus, cura, tego, auus, tu, nouies, deni, uita, cum, duco, annus, experior, fortis, telum, caueo, dea, amitto, fleo, per, trini, decennia, natus, saucius, hic, letum, lumen, casus, sum, dico, sed, tu, solacium, longus, foueo, qui, meus, praecipuus, fatum, maneo, honor, et, modo, concilium, anima, mixte, prior, fatum, tuus, certus, nosco, nepos, habeo, sentio, qui, quaestor, qui, tu, praefectus, et, idem, consul, honorifico, munus, conmemoro",184,"1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 1.0, 0.0, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, 0.0, -1.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, -0.5, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, -0.5, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.0, 0.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN",0.003,-0.049,"hic, inuidus, furor, perstrepo, pecunia, tu, conscius, tu, tu, timidus, tu, hic, tu, tu",0.076
ausonius.parentalia,5.0,"aemiliam, nunc, faris, auia, pius, cura, nepos, coniunx, praedico, qui, sum, arborio, nomen, hic, iocularis, do, cutis, fuscus, qui, olim, aequal, inter, maura, uoco, sum, sed, non, ater, animus, qui, clarus, sum, olor, et, non, calceo, qui, niuit, candidus, et, non, deliciae, ignosco, promptus, pudeo, ad, perpendiculis, sequor, suus, habeo, hic, ego, praeripio, cuna, et, ab, uber, mater, blandus, sub, austerus, inbuit, inperiis, tranquillus, auia, cinis, praestas, quiesco, aeternus, manes, si, pius, uerbum, loquor",74,"NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, 0.5, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN",0.014,-0.027,"hic, cutis, olor, deliciae, pudeo, hic",0.081
ausonius.parentalia,6.0,"tu, gradus, genus, matertera, sed, uicus, mater, affectus, nascor, commemoro, pius, aemilia, in, cuna, hilaris, cognomen, adipiscor, qui, laetus, et, puer, como, ad, effigies, reddo, uerus, non, dissimulanter, ephebus, mos, uir, medicus, ars, experior, femineus, sexus, odium, tu, semper, et, inde, cerno, de_-uoueo, uirginitas, amor, qui, tu, septeni, nouies, sum, colo, per, annus, quisque, aeuum, finis, ipse, pudicitia, hic, quia, uti, mater, moneo, et, amor, foueo, superus, reddo, filius, exsequiae",70,"NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.5, 0.5, NaN, 0.0, NaN, -0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, -0.5",0.057,-0.029,"tu, matertera, hilaris, ephebus, tu, tu, pudicitia, hic",0.114
ausonius.parentalia,7.0,"et, patruus, elegia, meus, reminisco, cantus, contemtum, tellus, qui, rutupina, tego, magnus, qui, et, uaria, quaero, pecunia, sors, heres, nullus, nomen, tueor, pereo, rapio, enim, laetus, et, adhuc, floreo, annus, trans, mare, et, ignaris, frater, oppeto, iulius, in, longus, produco, fatum, senecta, affectus, damnum, innumerabilis, qui, como, blandus, et, mensa, commodus, unctus, heres, solum, nomen, nos, habeo, ambo, pius, uultus, similis, ioca, seria, misceo, aeuum, fortuna, non, habeo, par, discerno, quamquam, tumulus, et, honor, iaceo, communis, hic, tu, munus, habeo, “ual",81,"NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, -1.0, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN",0.025,-0.025,"pecunia, seria, iaceo, hic, tu",0.062
ausonius.parentalia,8.0,"qui, proceres, uetus, uolo, celebraris, senatus, clarus, ab, exorior, stemma, burdigalae, tu, tuus, genus, memoro, lucane, talisi, mos, orno, qui, uetus, proauus, pulcher, honor, ora, tranquillus, pectus, como, facundus, quiuis, magnus, ab, ingenium, uenor, et, rus, cultus, uinco, nitor, omnis, aeuum, perago, publicus, despicio, nosco, inter, primus, cupio, prior, sum, recuso, ipse, tuus, uiuo, segregus, arbitrium, opto, tu, ego, gener, floreo, iuuenta, optaris, hic, tantus, non, et, habeo, do, ueto, probo, superi, mentior, faueo, sanctus, inpleo, fatum, uir, qui, uolo, bonus, et, nunc, perpetuus, sentio, sub, honor, sepulcrum, quam, reuerendus, nascor, quisque, tuus, maneo, caelebs, namque, gener, hic, nunc, pius, munus, soluo, nam, et, caelebs, numquam, desino, et, sum, gener",110,"NaN, NaN, 0.0, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 1.0, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, 0.5, NaN, NaN, 0.0, -0.5, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, 0.5, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.105,-0.005,"tu, tu, hic, sepulcrum, caelebs, hic, caelebs",0.064
ausonius.parentalia,9.0,"hactenus, ut, caros, ita, iustus, funus, fleo, fungor, pius, cano, nenia, noster, modus, nunc, dolor, atque, crux, neque, contrectabilis, uulnus, coniunx, eripio, mors, memoro, ego, nobilis, ab, proauus, et, origo, clarus, senatus, mos, atque, bonus, clarus, sabina, magis, tu, iuuenis, primus, luceo, decipio, in, annus, per, nouo, caelebs, tu, fleo, olympiadas, neque, licet, obduco, senium, sopio, dolor, semper, crudesco, nam, ego, paene, recens, admitto, alius, solacium, tempus, aeger, hic, grauis, facio, uulnero, longus, dies, torqueo, decipio, ego, uito, caelibe, canus, quoque, magis, solus, hic, magnus, maestus, ago, uulnus, alo, qui, muto, domus, sileo, et, torus, alget, qui, malus, non, quisquam, non, bonus, participo, maereo, si, coniunx, alius, bonus, maereo, contra, si, malus, ad, exemplum, tu, ego, semper, adsum, tu, ego, crux, ab, uter, uenio, siue, sum, malus, qui, tu, dissimilis, sum, seu, bonus, qui, similis, non, ego, ops, cassas, et, inanis, gaudium, plango, sed, iuuenis, iuuenis, qui, ego, rapio, uir, laetus, pudicus, grauis, genus, inclutus, et, inclutus, forma, et, dolor, atque, decus, coniunx, ausonii, qui, modo, septeni, quater, inpletura, decembres, linquo, nascor, pignus, noster, duo, ille, fauor, deus, sicut, tuus, ueto, sum, floreo, opto, adcumulata, bonus, et, precor, ut, uigeo, tandem, super-sto, uterque, nuntio, hic, cinis, noster, fauilla, tuus",199,"NaN, NaN, NaN, NaN, 1.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, -0.5, NaN, -1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, 0.5, 0.5, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, 0.0, -1.0, NaN, -0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, -1.0, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, -0.5, NaN, 1.0, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, 0.5, -0.5, 0.0, 0.5, NaN, 0.5, 1.0, NaN, -1.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.01,-0.075,"crux, tu, decipio, caelebs, tu, hic, decipio, hic, tu, tu, crux, tu, pudicus, hic",0.07
ausonius.parentalia,10.0,"non, ego, tu, infletum, memor, fraudo, querela, primus, natus, meus, nomen, dico, puer, murmur, qui, primus, meditor, absoluo, uerbum, indoles, et, plenus, planximus, exequiis., tu, gremium, in, proauus, funus, communis, iocor, inuidia, tumulis, ne, pateo, tuus",36,"NaN, NaN, NaN, NaN, 1.0, NaN, -0.5, 0.5, 0.0, 0.0, 0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, 0.0, NaN, -1.0, NaN, NaN, NaN, 0.0",0.0,-0.056,"tu, fraudo, tu, inuidia",0.111
ausonius.parentalia,11.0,"tu, quoque, maturus, puer, immaturus, dolor, interrupisti, luctus, acerbus, auus, pastor, caris, nepos, spes, qui, certus, sum, hesperii, pater, tertius, progenies, nomen, qui, casus, do, quia, fistula, primus, pastoral, melos, concino, gigno, serus, intellego, uita, breuis, argumentum, spiritus, adflatis, qui, fugio, e, calamus, occaedes, emitto, percutio, pondus, testa, abicio, tectum, quam, manus, artifex, non, sum, artifex, manus, hic, manus, ille, cruentus, certus, sum, fatum, suppositura, reus, heu, qui, ueto, ego, qui, rumpo, gaudium, pastor, ille, meus, peto, tegula, mitto, caput, dignus, o, noster, gemo, qui, fatum, senecta, et, queror, meus, maestus, ad, exsequiae",93,"NaN, NaN, NaN, 0.0, -1.0, -1.0, NaN, -1.0, -1.0, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.5, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, -1.0, NaN, -0.5",-0.016,-0.059,"tu, acerbus, testa, hic, cruentus, reus, heu",0.075
ausonius.parentalia,12.0,"si, qui, sum, uirtus, cupio, quam, femina, prudens, sum, suus, soror, hic, dryadia, haud, careo, quin, etiam, multus, habeo, qui, sexus, habeo, fortis, opto, nobilito, uir, doceo, satis, uita, colu, fama, tueor, doceo, bonus, mos, ipse, suus, doceo, et, uerus, uito, qui, carus, unus, cura, nosco, deus, et, frater, diligo, ante, alius, coniunx, adhuc, iuuenis, careo, sed, seria, uito, mos, austerus, aequiperauit, anus, produco, hilaris, per, seni, decennia, uita, in, domus, atque, tectum, quo, pater, oppeto",76,"NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, 0.5, 0.0, NaN, 1.0, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, -1.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -0.5, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN",0.092,-0.026,"hic, seria, hilaris",0.039
ausonius.parentalia,13.0,"auitianum, musa, germanus, meus, donum, querela, funebris, paruus, iste, natus, ego, sed, ingenium, prior, ars, paternus, inhibit, uerus, iuuenta, floreo, laeto, perfruor, aeuum, supra, pubes, exeo, meto, ueto, infestus, atropos, heu, qui, dolor, socius, heu, quantus, uita, decus, qui, cultus, spei, germanus, pubes, desero, germanus, caro, lex, et, ortus, sanguis, amor, paene, filius",53,"NaN, NaN, NaN, 0.0, 0.0, -0.5, -0.5, 0.0, NaN, 0.0, NaN, NaN, 0.5, 0.5, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, -1.0, 1.0, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 1.0, NaN, 0.0",0.009,-0.066,"heu, heu",0.038
ausonius.parentalia,14.0,"o, genus, clarus, decus, o, ego, funus, acerbus, euromi, e, iuuenis, lego, cohors, gener, occaedes, in, primus, rapio, ego, floreo, iuuenta, laeto, nascor, uix, bene, nosco, pater, tu, procerus, de, stirps, sero, praegredior, et, ipse, unde, genus, clarus, nobilitas, sum, os, decet, bonus, ingenium, facundus, et, omnis, dexteritas, uigeo, praecipuusque, fides, hic, praeficio, sedes, hic, illyris, os, praeses, tu, experior, sum, fiscus, et, ipse, cliens, nihil, aeuum, breuitas, tamen, tu, laus, adimo, indoles, maturus, funus, acerbus, obeo",77,"NaN, 0.0, 0.5, NaN, NaN, NaN, -0.5, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 1.0, NaN, 0.0, NaN, 1.0, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, -0.5, -1.0, NaN",0.058,-0.039,"acerbus, tu, hic, hic, tu, tu, acerbus",0.091
ausonius.parentalia,15.0,"et, tu, germanus, non, sanguis, sed, uicus, frater, magnus, defungor, nenia, noster, cano, coniunx, namque, meus, tu, consociate, soror, aeuum, frugis, tuus, destituo, uidua, non, domus, hic, tantus, sentio, tuus, sentio, acerbus, saucius, pro, casus, curia, burdigalae, tu, primoris, uigeo, tu, deficio, relabor, in, ualentinum, tu, morior, cado, heu, quare, natus, qui, frugis, et, floreo, nepos, eripio, nos, magnus, non, fruor, sed, fruor, diuino, habito, si, portio, manes, quisque, sum, olim, gaudium, nosco, do, longus, hic, etiam, laetor, fructus, habeo, anticipo, diu, qui, modo, participas",85,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN",-0.012,-0.029,"tu, tu, uidua, hic, acerbus, tu, tu, tu, heu, hic",0.118
