Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_caelio,1.0,"si, quis, iudex, fors, nunc, adsum, ignarus, lex, iudicium, consuetudo, noster, miro, profecto, qui, sum, tantus, atrocitas, hic, causa, qui, dies, festus, ludo, publicus, omnis, forensis, negotium, intermitto, unus, hic, iudicium, exerceo, neque, dubito, quin, tantus, facinus, reus, arguo, ut, is, neglego, ciuitas, sto, non, possum, idem, cum, audio, sum, lex, qui, de, seditiosus, consceleratus, ciuis, qui, armatus, senatus, ob-sedeo, magistratus, uis, affero, res, publicus, oppugno, cottidie, quaero, iubeo, lex, non, improbo, crimen, qui, uerso, in, iudicium, requiro, cum, audio, nullus, facinus, nullus, audacia, nullus, uis, in, iudicium, uocaris, sed, adulescens, illustris, ingenium, industria, gratia, accusaris, ab, is, filius, qui, ipse, in, iudicium, et, uoco, et, uoco, oppugnaris, autem, ops, meretricius, atratini, ipse, pietas, non, reprehendo, libido, muliebris, comprimo, puto, tu, laboriosus, existimo, qui, otiosus, ne, in, communis, quidem, otium, licet, sum",132,"NaN, NaN, 0.5, 0.0, NaN, NaN, -1.0, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, 0.5, NaN, 0.0, 0.5, NaN, 0.5, 1.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, 1.0, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, 0.5, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN",0.045,-0.053,"hic, hic, facinus, reus, seditiosus, consceleratus, crimen, facinus, audacia, adulescens, meretricius, libido, muliebris, tu, laboriosus, otium",0.121
cicero.pro_caelio,2.0,"etenim, si, attendo, diligenter, atque, existimaris, uerus, de, omnis, hic, causa, uolo, sic, constituo, iudex, neque, descendo, quisquam, ad, hic, accusatio, sum, qui, utrum, uolo, licet, neque, cum, descendo, quisquam, habeo, spes, sum, nisi, aliquis, intolerabilis, libido, et, nimis, acerbus, odium, niteo, sed, ego, atratino, humanus, atque, bonus, adulescens, meus, necessarius, ignosco, qui, habeo, excusatio, uel, pietas, uel, necessitas, uel, aetas, si, uolo, accuso, pietas, tribuo, si, iubeo, sum, necessitas, si, spero, aliquis, pueritia, ceterus, non, modo, nihil, ignosco, sed, etiam, acer, sum, resisto",84,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -0.5, -0.5, NaN, NaN, -1.0, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.024,-0.036,"hic, hic, intolerabilis, libido, acerbus, adulescens",0.071
cicero.pro_caelio,3.0,"atque, ego, quidem, uideo, iudex, hic, introitus, defensio, adulescentia, marcus, caelum, magnus, conuenio, ut, ad, is, qui, accusator, deformo, hic, causa, et, detraho, spolio, dignitas, gratia, dico, primus, respondeo, obiectus, sum, pater, uarius, qui, aut, parum, splendidus, ipse, aut, parum, pius, tracto, ab, filius, dico, de, dignitas, marcus, caelius, nosco, atque, magnus, natus, etiam, sine, meus, oratio, taceo, facilis, ipse, respondeo, qui, autem, propter, senectus, qui, iam, diu, paruus, in, forum, nos, uerso, non, aequus, sum, cognosco, hic, sic, habeo, quicumque, in, eques, romanus, dignitas, sum, possum, qui, certus, possum, sum, maximus, is, semper, in, marcus, caelio, habeo, sum, summa, hodie, habeo, non, solus, ab, suus, sed, etiam, ab, omnis, qui, possum, aliqui, de, causa, sum, notus",117,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, 1.0, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0",0.06,-0.009,"hic, deformo, hic, hic",0.034
cicero.pro_caelio,4.0,"equio, autem, romanus, sum, filius, crimen, locus, pono, ab, accusator, neque, hic, iudico, oportet, neque, defendo, nos, nam, qui, de, pietas, dico, sum, iste, quidem, noster, existimatio, sed, iudicium, certus, parens, quis, nos, opinor, audio, ex, iuro, quis, parens, sentio, lacrima, mater, incredibilis, maeror, squalor, pater, et, hic, praesens, maestitia, quam, cerno, lugeo, declaro",54,"NaN, NaN, NaN, NaN, 0.0, -1.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, -0.5, -1.0, -0.5, 0.0, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN",-0.019,-0.074,"crimen, hic, squalor, hic",0.074
cicero.pro_caelio,5.0,"nam, qui, sum, obicio, municipibus, sum, adulescens, non, probo, suus, nemo, umquam, praesens, praestutiani, magnus, honor, habeo, iudex, quam, absum, marcus, caelio, qui, et, absum, in, amplus, ordo, coopto, et, is, non, peto, defero, qui, multus, peto, denego, idem, nunc, lectus, uir, et, noster, ordo, et, eques, romanus, cum, legatio, ad, hic, iudicium, et, cum, grauis, atque, orno, laudatio, mitto, uideo, ego, iacio, fundamentum, defensio, meus, qui, firmus, sum, si, nitor, iudicium, suus, neque, enim, tu, satis, commendo, hic, aetas, sum, possum, si, non, modo, parens, talis, uir, uerus, etiam, municipium, tam, illustris, atque, tam, grauis, displiceo, equidem",98,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, NaN, 0.0, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN",0.066,-0.015,"adulescens, hic, tu, hic",0.041
cicero.pro_caelio,6.0,"ut, ad, ego, reuorto, ab, hic, fons, profluo, ad, homo, fama, et, meus, hic, forensis, labor, uita, ratio, demano, ad, existimatio, homo, paulus, fero, commendatio, atque, iudicium, meus, nam, qui, obicio, sum, de, pudicitia, quisque, omnis, accusator, non, crimen, sed, uox, maledico, celebro, sum, is, numquam, tam, acerbus, fero, marcus, caelius, ut, is, paeniteo, non, deformo, sum, natus, sum, enim, iste, maledico, per-uulgo, in, omnis, qui, in, adulescentia, forma, et, species, sum, liberalis, sed, alius, sum, malus, dico, alius, accuso, accusatio, crimen, desidero, res, ut, definio, homo, noto, argumentum, probo, testis, confirmo, maledictio, autem, nihil, habeo, propono, praeter, contumelia, qui, si, petulans, iacto, conuicium, si, facetus, urbanitas, nomino",108,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 0.0, NaN, NaN, -0.5, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -0.5, NaN, -1.0, NaN, 0.0, 0.5, NaN",-0.019,-0.065,"hic, hic, pudicitia, crimen, maledico, acerbus, deformo, maledico, crimen, contumelia, petulans, conuicium, facetus",0.12
cicero.pro_caelio,7.0,"quam, quidem, pars, accusatio, admiror, sum, et, molestus, fero, potis, sum, atratino, do, neque, enim, decet, neque, aetas, ille, postulo, neque, is, qui, animus, aduerto, possum, pudor, patior, bonus, adulescens, in, talis, ille, oratio, uersaris, uolo, aliquis, ex, tu, robustus, hic, malus, dico, locus, suscipio, aliquantus, liber, et, fortis, et, magis, mos, noster, refuto, iste, malus, dico, licentia, cum, tu, atratine, ago, lenis, qui, et, pudor, tuus, moderor, oratio, meus, et, meus, erga, tu, pareo, tuus, beneficium, tueor, debeo, ille, tamen, tu, sum, admoneo, uolo",85,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, -1.0, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, -0.5, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.5, 0.0, NaN, -0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.029,-0.053,"pudor, adulescens, tu, hic, licentia, tu, pudor, tu, tu",0.106
cicero.pro_caelio,8.0,"primus, ut, qualis, sum, talis, tu, omnis, sum, existimo, ut, quantus, ab, res, turpitudo, absum, tantus, tu, ab, uerbum, libertas, seiungo, deinde, ut, is, in, alter, ne, dico, qui, cum, tu, fallo, respondeo, sum, erubesco, quis, sum, enim, qui, uia, iste, non, pateo, quis, sum, qui, hic, aetas, atque, iste, dignitas, non, possum, quam, uolo, petulanter, etiam, si, sine, ullus, suspicio, at, non, sine, argumentum, malus, dico, sed, istaris, pars, culpa, sum, is, qui, tu, ago, uolo, laus, pudor, tuus, qui, is, tu, inuitus, dico, uideo, ingenium, qui, orno, polio, dico",91,"0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.0,-0.044,"tu, turpitudo, tu, tu, fallo, erubesco, hic, petulanter, culpa, tu, pudor, tu",0.132
cicero.pro_caelio,9.0,"uerus, ad, iste, omnis, oratio, breuis, sum, defensio, nam, quoad, aetas, marcus, caelum, do, possum, iste, suspicio, locus, sum, primus, ipse, pudor, deinde, etiam, pater, diligentia, disciplina, munio, qui, ut, hic, toga, uirilis, do, nihil, dico, hic, locus, de, ego, tantus, sum, quantus, tu, existimo, hic, dico, hic, ab, pater, continuo, ad, ego, sum, deduco, nemo, hic, marcus, caelium, in, ille, aetas, floreo, uideo, nisi, aut, cum, pater, aut, cum, ego, aut, in, marcus, crassus, castus, domus, cum, ars, honestus, erudio",81,"0.5, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, -0.5, 0.0, NaN, 0.5, NaN, 0.5, NaN, NaN, 0.0, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 1.0, NaN",0.031,-0.019,"pudor, hic, hic, tu, hic, hic, hic, honestus",0.099
cicero.pro_caelio,10.0,"nam, qui, catilina, familiaritas, obiecto, caelio, sum, longus, ab, iste, suspicio, abhorreo, debeo, hic, enim, adulescens, scio, consulatus, cum, ego, peto, catilina, ad, qui, si, accedo, aut, si, ab, ego, discedo, umquam, quamquam, multus, bonus, adulescens, ille, homo, nequam, atque, improbus, studeo, tum, existimo, caelius, catilina, nimium, familiaris, sum, at, enim, postea, scio, et, uideo, sum, hic, in, ille, etiam, amicus, quis, nego, sed, ego, ille, tempus, aetas, qui, ipse, suus, sponte, infirmus, alius, autem, libido, infestus, sum, is, hic, locus, defendo, sum, assiduus, cum, ego, praetor, ego, non, nosco, catilina, africa, tum, praetor, ille, obtineo, sequor, sum, tum, annus, causa, de, pecunia, repeto, catilina, dico, cum, ego, sum, hic, ille, ne, aduoco, quidem, uenio, umquam, deinceps, sum, annus, quo, ego, consulatus, peto, peto, catilina, cum, ego, numquam, ad, ille, accedo, ab, ego, numquam, recedo",135,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, 0.0, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -0.5, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,-0.037,"catilina, hic, adulescens, catilina, adulescens, nequam, improbus, catilina, hic, libido, hic, catilina, pecunia, catilina, hic, catilina",0.119
cicero.pro_caelio,11.0,"tot, igitur, annus, uerso, in, forum, sine, suspicio, sine, infamia, studeo, catilina, iterum, peto, qui, ergo, ad, finis, puto, custodio, ille, aetas, sum, nos, quidem, olim, annus, sum, unus, ad, cohibeo, bracchium, toga, constituo, et, ut, exercitatio, ludo, campestre, tunico, uto, idem, sum, si, statim, mereo, stipendium, coepio, castrensis, ratio, atque, militaris, qui, in, aetas, nisi, qui, sui, ipse, suus, grauitas, et, castimonia, et, cum, disciplina, domesticus, tum, etiam, natural, quidam, bonus, defendo, quisquis, modo, ab, suus, custodio, sum, tamen, infamia, uerus, effugio, non, possum, sed, qui, primus, ille, initium, aetas, integer, atque, inuiolo, praesto, de, is, fama, atque, pudicitia, cum, iam, sui, con-roboro, atque, uir, inter, uir, sum, nemo, loquor",111,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, -0.5, NaN",0.014,-0.032,"infamia, catilina, infamia, pudicitia",0.036
cicero.pro_caelio,12.0,"at, studeo, catilina, cum, iam, aliquot, annus, sum, in, forum, caelius, et, multus, hic, idem, ex, omnis, ordo, atque, ex, omnis, aetas, facio, habeo, enim, ille, sicut, memini, tu, arbitror, permultus, maximaris, non, exprimo, signum, sed, adumbro, uirtus, utebatur, homo, improbus, multus, et, quidem, bonus, sui, uis, dedo, sum, simulo, sum, apud, ille, illecebra, libido, multus, sum, etiam, industria, quidam, stimulis, atque, labor, flagro, uitio, libido, apud, ille, uigeo, etiam, studium, res, militaris, neque, ego, umquam, sum, talis, monstrum, in, terra, ullus, puto, tam, ex, contrarius, diuerto, atque, inter, sui, pugno, natura, studium, cupiditas, conflo",95,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, 0.0, -1.0, 0.0, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, -0.5, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, -0.5, NaN",0.026,-0.032,"catilina, hic, tu, improbus, illecebra, libido, libido, monstrum",0.084
cicero.pro_caelio,13.0,"quis, clarus, uis, quidam, tempus, iucundus, quis, turpis, coniungo, quis, ciuis, bonus, pars, aliquando, quis, taeter, hostis, hic, ciuitas, quis, in, uoluptas, inquino, quis, in, labor, patior, quis, in, rapacitas, auarus, quis, in, largitio, effundo, ille, uerus, iudex, in, ille, homo, admirabilis, sum, comprehendo, multus, amicitia, tueor, obsequium, cum, omnis, communicaris, qui, habeo, seruio, tempus, suus, omnis, pecunia, gratia, labor, corpus, scelus, etiam, si, opus, sum, et, audacia, uersaris, suus, natura, et, rego, ad, tempus, atque, huc, et, illic, torqueo, atque, flecto, cum, tristis, sero, cum, remitto, iucundus, cum, senex, grauis, cum, iuuentus, comis, cum, facinerosis, audax, cum, libidinosus, luxuriosus, uiuo",101,"NaN, 0.5, 1.0, NaN, 0.0, 1.0, NaN, -1.0, NaN, NaN, 0.5, 1.0, 0.0, NaN, NaN, -1.0, -1.0, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.5, NaN, NaN, 0.0, 1.0, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 1.0, -0.5, 0.0, -1.0, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 1.0, NaN, 0.0, -0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN",0.045,-0.084,"turpis, taeter, hic, inquino, auarus, largitio, pecunia, scelus, audacia, audax, libidinosus, luxuriosus",0.119
cicero.pro_caelio,14.0,"hic, ille, tam, uario, multiplex, natura, cum, omnis, omnis, ex, terra, homo, improbus, audax, colligo, tum, etiam, multus, fortis, uir, et, bonus, species, quidam, uirtus, ad-simulo, teneo, neque, umquam, ex, ille, deleo, hic, imperium, tam, consceleratus, impetus, ex-sisto, nisi, tot, uitium, tantus, immanitas, quidam, facilitas, et, patientia, radix, niteo, qui, res, iste, condicio, iudex, respuo, neque, catilina, familiaritas, crimen, haereo, sum, enim, communis, cum, multus, et, cum, quidam, bonus, ego, ipse, ego, inquam, quondam, paene, ille, decipio, cum, et, ciuis, ego, bonus, et, bonus, quisque, cupidus, et, firmus, amicus, atque, fidelis, uideo, qui, ego, facinus, oculus, prior, quam, opinio, manus, ante, quam, suspicio, de_-prehendo, qui, in, magnus, caterua, amicus, si, sum, etiam, caelius, magis, sum, ut, ipse, molestus, fero, erro, sui, sicut, non, numquam, in, idem, homo, ego, quoque, error, meus, paeniteo, quam, ut, iste, amicitia, crimen, reformido",138,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, -1.0, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.5, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.5, -1.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, 1.0, NaN, -0.5, NaN, 1.0, 1.0, NaN, 1.0, NaN, NaN, NaN, -1.0, 0.0, 0.5, NaN, 0.0, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, 1.0, -1.0, NaN",0.025,-0.072,"hic, improbus, audax, hic, consceleratus, immanitas, catilina, crimen, decipio, facinus, crimen",0.08
cicero.pro_caelio,15.0,"itaque, ab, maledictum, impudicitia, ad, coniuratio, inuidia, oratio, sum, uester, delabor, pono, enim, atque, is, tamen, titubanter, et, strictim, coniuratio, hic, propter, amicitia, catilina, participo, sum, in, quo, non, modo, crimen, non, haereo, sed, uix, dissero, adulescens, cohaereo, oratio, qui, enim, tantus, furor, in, caelio, qui, tantus, aut, in, mos, natura, uulnus, aut, in, res, atque, fortuna, ubi, denique, sum, in, iste, suspicio, caelum, nomen, audio, nimium, multus, de, res, paruus, dubius, loquor, hic, tamen, dico, non, modo, si, socius, coniuratio, sed, nisi, inimicus, iste, scelus, sum, numquam, coniuratio, accusatio, adulescentia, suus, potis, commendaris, uolo",95,"NaN, NaN, -1.0, -1.0, NaN, -0.5, -1.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, -1.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, 0.5, 0.0, NaN, 0.0, 0.0, NaN, 0.0, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, -0.5, NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN",-0.095,-0.126,"maledictum, impudicitia, coniuratio, inuidia, coniuratio, hic, catilina, crimen, adulescens, furor, hic, coniuratio, scelus, coniuratio",0.147
cicero.pro_caelio,16.0,"qui, haud, scio, an, de, ambitus, et, de, crimen, iste, sodalis, atque, sequestrium, quoniam, huc, incido, similis, respondeo, puto, numquam, enim, tam, caelius, amens, sum, ut, si, sui, iste, infinitus, ambitus, commaculo, ambitus, alter, accuso, neque, is, facio, in, alter, suspicio, quaero, qui, ipse, sui, perpetuus, licentia, opto, neque, si, sui, semel, periculum, ambitus, subeo, puto, ipse, alter, iterum, ambitus, crimen, arcesso, qui, quamquam, neque, sapienter, et, ego, inuito, facio, tamen, sum, is, modus, cupiditas, ut, magis, insectaris, alter, innocentia, quam, de, sui, timidus, cogito, uideo",86,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -0.5, NaN, NaN",-0.047,-0.07,"crimen, amens, licentia, crimen, timidus",0.058
