Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_a_caecina,1.1,"si, quantus, in, ager, locus, desero, audacia, possum, tantus, in, forum, atque, in, iudicium, impudens, ualeo, non, paruus, nunc, in, causa, cedo, aulus, caecina, sextus, aebuti, impudentia, quam, tum, in, uis, facio, cedo, audacia, uerus, et, ille, considero, homo, sum, puto, qui, de, res, ius, disceptaris, oportet, arma, non, contendo, et, hic, consto, cum, qui, uis, et, arma, certo, nolo, is, ius, iudicium, supero",64,"NaN, NaN, NaN, 0.0, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -1.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.5, NaN",0.07,-0.031,"audacia, impudens, audacia, hic",0.062
cicero.pro_a_caecina,1.2,"atque, ego, quidem, cum, audax, praecipuus, sum, uideo, aebutius, in, conuoco, homo, et, armo, tum, impudens, in, iudicium, non, solus, qui, in, iudicium, uenio, audeo, sum, nam, is, quidem, tametsi, improbus, fio, in, apertus, res, tamen, malitia, sum, iam, usitas, sed, qui, non, dubito, is, ipse, qui, arguo, confiteor, nisi, fors, hic, ratio, habeo, quoniam, si, facio, uolo, sum, mos, superus, in, possessio, retineo, non, sum, quia, contra, ius, mos, facio, sum, aulus, caecinam, cum, amicus, metus, perterreo, profugio, nunc, quoque, in, iudicium, si, causa, mos, instituo, omnis, defendo, nos, inferus, in, ago, non, sum, sin, ab, consuetudo, recedo, sui, quo, impudens, ago, hic, superus, discedo, quasi, uerus, aut, idem, possum, in, iudicium, improbitas, qui, in, uis, confido, aut, nos, non, is, libet, tum, audacia, cedo, quo, nunc, impudentia, facilis, obsisto",131,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, 0.5, NaN, -0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, -1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, -1.0, 0.5, NaN",0.004,-0.057,"audax, impudens, improbus, hic, profugio, impudens, hic, improbitas, audacia",0.069
cicero.pro_a_caecina,1.3,"itaque, longus, alius, ratio, recuperator, ad, ago, causa, hic, actio, uenio, atque, initium, uenio, tum, enim, noster, causa, spes, sum, pono, in, defensio, meus, nunc, in, confessio, aduersarius, tum, in, noster, nunc, uerus, in, ille, testis, de, qui, ego, antea, laboro, ne, si, improbus, sum, fallo, aliquis, dico, si, probus, existimo, qui, dico, probo, nunc, sum, animus, aequus, si, enim, sum, uir, bonus, ego, adiuuo, cum, is, iuro, dico, qui, ego, iniuro, insimulo, sin, autem, paruus, idoneus, ego, non, laedo, cum, is, siue, credo, credo, hic, ipse, qui, nos, arguo, siue, fides, non, habeo, de, aduersarius, testis, fides, derogo",99,"NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, -1.0, NaN, 1.0, NaN",0.035,-0.03,"hic, improbus, fallo, probus, insimulo, hic",0.061
cicero.pro_a_caecina,2.4,"uerus, tamen, cum, ille, actio, causa, considero, non, uideo, quis, impudens, dico, possum, cum, autem, uester, in, iudico, dubitatio, uereor, ne, is, qui, uideo, impudens, facio, astus, et, callidus, facio, nam, si, nego, uis, homo, armo, sum, facio, facilis, honestus, testis, in, res, perspicuus, teneo, sin, confiteor, sum, et, is, qui, nullus, tempus, ius, fio, possum, tum, ab, sui, ius, facio, sum, defendo, spero, is, qui, ad-sequor, sum, sui, in-iacio, tu, causa, delibero, et, iudico, iustus, mora, atque, religio, simul, ille, qui, indignus, sum, sum, arbitror, sum, ut, in, hic, causa, non, de, improbitas, sextus, aebuti, sed, de, ius, ciuilis, iudicium, fio, uideo, qui, in, res, si, ego, sum, unus, aulus",111,"0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -0.5, NaN, 1.0, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, 0.5, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.036,-0.041,"impudens, impudens, astus, callidus, honestus, tu, hic, improbitas",0.072
cicero.pro_a_caecina,2.5,"caecinae, causa, ago, profiteor, satis, idoneus, sum, ego, defensor, propterea, qui, fides, meus, diligentia, praestaris, qui, cum, sum, in, actor, causa, nihil, sum, in, res, praesertim, apertus, atque, simplex, qui, excello, ingenium, requiro, sed, cum, de, is, ego, ius, dico, sum, qui, pertineo, ad, omnis, quisque, constituo, sum, ab, magnus, conseruo, usque, ad, hic, tempus, quo, tollo, non, solus, pars, aliqui, ius, deminuo, sed, etiam, uolo, is, qui, ius, magnus, sum, aduersarius, iudicium, confirmo, sum, uideo, uideo, superus, ingenium, causa, sum, non, ut, is, demonstro, qui, ante, oculus, sum, sed, ne, si, quis, tu, error, in, tantus, res, sum, obiectus, omnis, potis, ego, arbitror, causa, quam, tu, religio, uester, desum, quamquam, ego, ego, sic, persuadeo",115,"NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.035,-0.022,"hic, tu, tu",0.026
cicero.pro_a_caecina,2.6,"recuperator, non, tu, tam, propter, ius, obscurus, dubius, ratio, bis, iam, de, idem, causa, dubito, quam, qui, uideo, ad, summa, ille, existimatio, hic, iudicium, pertineo, mora, ad, condemno, quaero, simul, et, ille, spatium, ad, sui, conligendum, do, qui, quoniam, iam, in, consuetudo, uenio, et, is, uir, bonus, uester, similis, in, iudico, facio, reprehendo, fortasse, paruus, queror, uerus, magis, etiam, uideo, ideo, qui, omnis, iudicium, aut, distrahendaris, controuersiaris, aut, punior, maleficus, causa, reperio, sum, qui, alter, leuis, sum, propterea, qui, et, paruus, laedo, et, persaepe, disceptator, domesticus, diiudico, alter, sum, uehemens, qui, et, ad, grauis, res, pertineo, et, non, honorarius, opera, amicus, sed, seueritas, iudex, atque, uis, requiro",107,"NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, 0.0, -0.5, 1.0, NaN, NaN, 0.5, NaN, 1.0, NaN",0.033,-0.023,"tu, hic, punior, maleficus, seueritas",0.047
cicero.pro_a_caecina,2.7,"qui, sum, grauis, et, qui, res, causa, magnus, iudicium, constituo, sum, is, iam, malus, consuetudo, dissoluo, sum, nam, ut, quisque, res, sum, turpis, sic, magnus, et, maturus, uindico, sum, at, idem, quia, existimatio, periculum, sum, tardus, iudico, qui, igitur, conuenio, qui, causa, sum, ad, constituo, iudicium, idem, mora, sum, ad, iudico, si, quis, qui, spopondit, qui, in, res, uerbum, sui, unus, obligo, is, non, facio, maturo, iudicium, sine, ullus, religio, iudex, condemno, qui, per, tutela, aut, societas, aut, res, mando, aut, fiducia, ratio, fraudo, qui, in, is, quo, delinquo, magnus, sum, is, poena, sum, tardus",95,"NaN, NaN, -0.5, NaN, NaN, 0.0, 0.0, 0.0, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, NaN",0.0,-0.047,"turpis, societas, fraudo, poena",0.042
cicero.pro_a_caecina,3.8,"sum, enim, turpis, iudicium, ex, facio, quidem, turpis, uideo, igitur, quam, iniquus, accido, quia, res, indignus, sum, ideo, turpis, existimatio, sequor, quia, turpis, existimatio, sequor, ideo, res, indignus, non, uindicaris, atque, si, qui, ego, hic, iudex, reciperator, dico, possum, enim, leuis, actio, confligo, possum, ad, tuus, ius, facilis, et, commodus, iudicium, peruenio, qui, res, aut, muto, actio, aut, nolo, ego, insto, ut, iudico, tamen, is, aut, timidus, uideo, quam, fortis, aut, cupidus, quam, sapio, iudico, sum, aequus, sum, si, aut, ego, praescribo, qui, ad, modus, meus, ius, persequor, aut, ipse, is, qui, ad, sui, defero, sum, non, audeo, iudicaris, etenim, si, praetor, is, qui, iudicium, do, numquam, petitor, praestituo, qui, actio, ille, uti, uolo, uideo, quam, iniquus, sum, constituo, iam, res, iudico, quis, ago, possum, aut, quis, possum, non, quis, ago, sum, quaero",133,"NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, -1.0, NaN, NaN, -1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.5, NaN, 0.5, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, -0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.023,-0.068,"turpis, turpis, iniquus, turpis, turpis, hic, timidus, iniquus",0.06
cicero.pro_a_caecina,3.9,"uerus, tamen, nimius, uester, benignitas, pareo, si, alius, ratio, ius, nos, recuperaris, possum, nunc, uerus, quis, sum, qui, aut, uis, homo, armo, facio, relinquo, puto, oportet, aut, is, res, leuis, actio, nos, aliqui, demonstro, possum, ex, quo, genus, pecco, ut, ille, clamito, uel, iniuriaris, uel, capio, iudicium, constituo, sum, in, is, possum, atrocitas, noster, reprehendo, cum, uideo, nihil, alius, ago, nisi, possessio, per, interdictum, sum, repeto, uerus, siue, tu, existimatio, ille, periculum, siue, ius, dubitatio, tardus, facio, adhuc, ad, iudico, alter, res, causa, tu, ipse, iam, tu, saepis, profero, iudicium, tollo, alter, ego, tu, hodiernus, dies, causa, profecto, aufero, ne, diu, de, controuersia, noster, atque, de, communis, ius, dubito",109,"0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN",0.037,-0.018,"nimius, tu, tu, tu, tu",0.046
cicero.pro_a_caecina,4.1,"et, si, fors, uideo, altus, initium, res, demonstro, peto, quam, ego, ratio, ius, is, de, quo, iudicium, sum, et, natura, causa, cogo, quaeso, ut, ignosco, non, enim, paruus, laboro, aulus, caecina, ne, superus, ius, ago, quam, ne, certus, ius, non, obtineo, uideo, marcus, fulcinius, sum, recuperator, e, municipium, tarquiniensi, qui, et, domus, suus, cum, primus, honestus, existimo, sum, et, roma, argentaria, non, ignobilis, facio, is, habeo, in, matrimonium, caesenniam, idem, e, municipium, superus, locus, nata, et, probo, femina, sicut, et, uiuus, ipse, multus, res, ostendo, et, in, mors, suus, testamentum, declaro",91,"NaN, NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN",0.027,-0.022,"honestus, matrimonium, uiuus",0.033
cicero.pro_a_caecina,4.11,"hic, caesenniae, fundus, in, ager, tarquiniensi, uendo, tempus, ille, difficilis, solutio, cum, uto, uxor, dos, numero, quo, mulier, res, sum, caueo, curo, ut, in, is, fundo, dos, con-loco, aliquantus, post, iam, argentarium, dissoluo, fulcinius, hic, fundo, uxor, continentia, quidam, praedium, atque, adiungo, mercor, morior, fulcinius, multus, enim, qui, sum, in, res, quia, remoueo, sum, ab, causa, praetermitto, testamentum, facio, heres, qui, habeo, e, caesennia, filius, usus, et, fructus, omnis, bonus, suus, caesenniae, lego, ut, fruor, unus, cum, filius",78,"NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.019,-0.006,"hic, uendo, uxor, mulier, hic, uxor, praedium, mercor",0.103
cicero.pro_a_caecina,4.12,"magnus, honor, uir, iucundus, mulier, sum, si, diuturnus, sum, licet, fruor, enim, bonus, cum, is, qui, suus, bonus, heres, sum, cupio, et, ex, quo, magnus, fructus, ipse, capio, sed, hic, fructus, maturus, fortuna, adimo, nam, breuis, tempus, marcus, fulcinius, adulescens, mortuus, sum, heres, publicus, caesennium, facio, uxor, grandis, pondus, argentum, mater, pars, magnus, bonus, lego, itaque, in, pars, mulier, uoco, sum",61,"0.0, 1.0, 0.5, 1.0, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 1.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN",0.115,0.0,"mulier, hic, adulescens, uxor, mulier",0.082
cicero.pro_a_caecina,5.13,"cum, sum, hic, auctio, hereditarius, constituo, aebutius, iste, qui, iam, diu, caesenniae, uiduitas, atque, solitudo, alo, atque, sui, in, is, familiaritas, insinuo, hic, ratio, ut, cum, aliquis, suus, compendium, negotium, mulier, si, qui, accido, controuersia, suscipio, uerso, is, quoque, tempus, in, hic, ratio, auctio, et, partitio, atque, etiam, sui, ipse, infero, et, intro, do, et, in, is, opinio, caesenniam, adduco, ut, mulier, imperitus, nihil, puto, ago, callidus, possum, ubi, non, adsum, aebutius",72,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN",0.007,-0.021,"hic, hic, mulier, hic, mulier, imperitus, callidus",0.097
cicero.pro_a_caecina,5.14,"quam, persona, iam, ex, cottidianus, uito, cogo, recuperator, mulier, adsentator, cognitor, uiduaris, defensor, nimium, litigiosus, contero, ad, regia, ineptus, atque, stultus, inter, uir, inter, mulier, pereo, ius, et, callidus, hic, persona, impono, aebutio, is, enim, caesenniae, sum, aebutius, ne, fors, quaero, num, propinquus, nihil, alienus, amicus, ab, pater, aut, ab, uir, trado, nihil, paruus, quis, igitur, ille, ille, qui, supra, deformo, uoluntarius, amicus, mulier, non, necessitudo, aliqui, sed, fingo, officium, simulo, sedulitas, coniungo, magis, opportunus, opus, non, numquam, quam, aliquando, fidelis",81,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, 0.0, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, 0.5, NaN, 0.0, NaN, 0.5, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, -0.5, 1.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0",0.025,-0.056,"mulier, ineptus, stultus, mulier, callidus, hic, deformo, mulier, fingo",0.111
cicero.pro_a_caecina,5.15,"cum, sum, ut, dico, instituo, constituo, auctio, roma, suadeo, amicus, cognatus, caesenniae, is, qui, ipse, quoque, mulier, uenio, in, mens, quoniam, potestas, sum, emo, fundus, ille, fulcinianum, qui, fundo, is, antiquus, contineo, sum, nullus, sum, ratio, amitto, is, modus, occasio, cum, is, praesertim, pecunia, ex, partitio, debeo, nusquam, possum, is, bonus, conlocaris, itaque, hic, mulier, facio, constituo, mando, ut, fundus, sui, emo, qui, tandem, qui, puto, an, non, in, mens, tu, uenio, omnis, ille, hic, munus, sum, ad, omnis, mulier, negotium, paro, sine, quo, nihil, satis, caueo, nihil, satis, callidus, possum, ago",92,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, 1.0, NaN, NaN",0.071,-0.005,"mulier, emo, pecunia, hic, mulier, emo, tu, hic, mulier, callidus",0.109
cicero.pro_a_caecina,6.16,"rectus, attendo, aebutio, negotium, do, adsum, ad, tabula, liceo, aebutius, deterreo, emptor, multus, pars, gratia, caesenniae, pars, etiam, pretium, fundus, addico, aebutio, pecunia, argentarius, promitto, aebutius, quo, testimonium, nunc, uir, bonus, uto, sui, emo, sum, quasi, uerus, aut, nos, is, nego, addico, aut, tum, quisquam, sum, qui, dubito, quin, emo, caesenniae, cum, is, plerusque, scio, omnis, fere, audio, qui, non, audio, is, conicio, assequor, possum, cum, pecunia, caesenniae, ex, ille, hereditas, debeo, is, porro, in, praedium, conlocaris, magnus, expedio, sum, autem, praedium, qui, mulier, magnus, conuenio, is, uenio, liceo, is, qui, caesenniae, do, opera, nemo, miro, sui, emo, nemo, possum, suspicaris, hic, emptio, facio, pecunia, soluo, ab, caesennia",108,"1.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, 1.0, NaN, 0.0, NaN, 1.0, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, -0.5, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.028,-0.019,"emptor, pretium, addico, pecunia, emo, addico, emo, pecunia, praedium, praedium, mulier, emo, hic, emptio, pecunia",0.139
cicero.pro_a_caecina,6.17,"qui, res, puto, iste, ratio, reddo, non, possum, qui, ipse, tabula, auerto, sui, autem, habeo, argentarius, tabula, in, qui, sui, expendo, pecunia, fero, sum, accipio, refero, quasi, is, aliter, fio, oportet, cum, omnis, ita, facio, sum, qui, ad, modus, nos, defendo, caesennia, fundus, possedo, loco, neque, ita, multus, post, aulus, caecinae, nubo, ut, in, paucus, confero, testamentum, facio, mulier, morior, facio, heres, ex, deunce, et, semuncia, caecinam, ex, duo, sextulis, marcus, fulcinium, libertus, superus, uir, aebutio, sextula, aspergit, hic, sextula, ille, merces, iste, sum, uolo, adsiduitas, et, molestia, si, quam, capio, iste, autem, hic, sextula, sui, ansa, retineo, omnis, controuersiaris, puto",101,"NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.02,-0.01,"pecunia, nubo, mulier, hic, hic",0.05
