Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.cum_populo_gratias_egit,1.0,"qui, preco, ab, io, bonus, maximus, ceter, deus, immortalis, sum, quiris, is, tempus, cum, ego, fortuno, meus, pro, uester, incolumitas, otium, concordia, de_-uoueo, ut, si, meus, ratio, umquam, uester, salus, antepono, sempiternus, poena, sustineo, meus, uoluntas, suscipio, sin, et, is, qui, ante, gero, conseruo, ciuitas, causa, gero, et, ille, miser, profectio, uester, salus, gratia, suscipio, ut, qui, odium, scelero, homo, et, audax, in, res, publicus, et, in, omnis, bonus, concipio, iam, diu, contineo, is, in, ego, unus, potis, quam, in, bonus, quoque, et, uniuersus, ciuitas, defigo, hic, si, animus, in, tu, liber, uester, sum, ut, aliquando, tu, patro, conscribo, italiamque, uniuersus, memoria, meus, misericordia, desiderium, teneo, is, deuotio, ego, sum, conuinco, iudicium, deus, immortalis, testimonium, senatus, consensus, italia, confessio, inimicus, beneficium, diuino, immortalis, uester, magnus, laeto",126,"NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, 0.5, 1.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 1.0, NaN, NaN, -1.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, 1.0, 1.0, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, 0.5, NaN, 0.5, NaN, NaN, 0.0, -1.0, 1.0, NaN, 0.5, NaN, 0.0, NaN",0.083,-0.036,"otium, poena, miser, scelero, audax, hic, tu, tu, conuinco",0.071
cicero.cum_populo_gratias_egit,2.0,"namque, quiris, etsi, nihil, sum, homo, magis, opto, quam, prosper, aequabilis, perpetuus, fortuna, secundus, uita, sine, ullus, offensio, cursus, tamen, si, ego, tranquillus, et, placo, omnis, sum, incredibilis, quidam, et, paene, diuino, qui, nunc, uester, beneficium, fruor, laetitia, uoluptas, careo, quis, dulcis, homo, gener, ab, natura, do, sum, quam, suus, quisque, liber, ego, uerus, et, propter, indulgentia, meus, et, propter, excello, is, ingenium, uito, sum, meus, carus, tamen, non, tantus, uoluptas, sum, suscipio, quantus, nunc, sum, restitus",77,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, 1.0, NaN, NaN, 0.5, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN",0.091,-0.019,,0.0
cicero.cum_populo_gratias_egit,3.0,"nihil, quisquam, sum, umquam, iucundus, quam, ego, meus, frater, non, tam, is, sentio, cum, fruor, quam, tum, cum, careo, et, postea, quam, tu, ego, ille, et, ego, is, reddo, res, familiaris, suus, quisque, delecto, reliquus, meus, fortuna, recipero, multus, ego, nunc, uoluptas, affero, quam, tum, incolumis, affero, amicitia, consuetudo, uicinitas, clientela, ludo, denique, et, dies, festus, quis, habeo, uoluptas, careo, magis, intellego, quam, fruor",64,"NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, -0.5, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN",0.07,-0.008,tu,0.016
cicero.cum_populo_gratias_egit,4.0,"iam, uerus, honor, dignitas, locus, ordo, beneficium, uester, quamquam, ego, semper, clarus, uideo, sum, tamen, is, nunc, renouo, illustris, uideo, quam, si, obscuro, non, sum, ipse, autem, patria, deus, immortalis, dico, uix, possum, quis, caritas, quis, uoluptas, habeo, qui, species, italia, qui, celebritas, oppidum, qui, forma, regio, qui, ager, qui, frugis, qui, pulchritudo, urbs, qui, humanitas, ciuis, qui, res, publicus, dignitas, qui, uester, maiestas, qui, ego, omnis, antea, res, sic, fruor, ut, nemo, magis, sed, tamquam, bonus, ualetudo, iucundus, sum, is, qui, e, grauis, morbus, recreo, sum, quam, qui, numquam, aeger, corpus, sum, sic, hic, omnis, desidero, magis, quam, assiduus, percipio, delecto",102,"NaN, 0.5, 1.0, 1.0, 0.0, 0.5, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, 0.0, NaN, NaN, NaN, 1.0, 0.5, NaN, 0.0, 0.5, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, -0.5, -1.0, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN",0.103,-0.029,hic,0.01
cicero.cum_populo_gratias_egit,5.0,"quorsum, igitur, hic, disputo, quorsum, ut, intellego, possum, nemo, umquam, tantus, eloquentia, sum, neque, tam, diuino, atque, incredibilis, genus, dico, qui, uester, magnitudo, multitudo, beneficus, qui, in, ego, frater, meus, et, liber, noster, confero, non, modo, augeo, aut, ornaris, oratio, sed, enumero, aut, consequor, possum, ab, parens, is, qui, necesse, sum, paruus, sum, procreo, ab, tu, nascor, sum, consularis, ille, ego, frater, incognitus, qualis, sum, sum, do, tu, spectas, et, incredibilis, pietas, cognosco, reddo, res, publicus, ille, accipio, tempus, is, qui, paene, amitto, sum, ab, tu, is, recipero, quam, aliquando, omnis, unus, opus, seruo, iudico, deus, immortalis, ego, liber, do, tu, reddo, multus, praeterea, ab, deus, immortalis, opto, con-sequor, sum, nisi, uester, uoluntas, sum, omnis, diuinus, munus, careo, uester, denique, honor, qui, sum, gradatim, singuli, ad-sequor, nunc, ab, tu, uniuersi, habeo, ut, quantus, antea, parens, quantus, deus, immortalis, quantus, tu, ipse, tantus, hic, tempus, uniuersus, cuncto, populus, romanus, debeo",149,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.5, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN",0.044,-0.013,"hic, tu, tu, tu, tu, tu, tu, hic",0.054
cicero.cum_populo_gratias_egit,6.0,"nam, cum, in, ipse, beneficium, uester, tantus, magnitudo, sum, ut, is, complector, oratio, non, possum, tum, in, studium, uester, tantus, animus, declaro, sum, uoluntas, ut, non, solus, calamitas, ego, detraho, sed, etiam, dignitas, augeo, uideo, non, enim, pro, meus, reditus, ut, pro, publicus, popilis, nobilis, homo, adulescens, filius, et, multus, praeterea, cognatus, atque, affinis, deprecor, sum, non, ut, pro, quintus, metello, clarus, uir, iam, specto, aetas, filius, non, lucius, diadematus, consularis, summus, auctoritas, uir, non, caius, metellus, censorius, non, is, liber, non, quintus, metellus, nepos, qui, tum, consulatus, peto, non, soror, filius, lucullus, seruilii, scipio, permultus, enim, tum, metelli, aut, metellaris, liber, pro, quintus, metelli, reditus, tu, atque, pater, uester, supplico, qui, si, ipse, summus, dignitas, magnus, res, gero, non, satis, ualeo, tamen, filis, pietas, propinquus, prex, adulescens, squalor, magnus, natus, lacrima, populus, romanus, moueo, possum",136,"NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, -0.5, -1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 1.0, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, 0.0, 0.0, NaN, -0.5, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN",0.051,-0.018,"calamitas, adulescens, tu, adulescens, squalor",0.037
cicero.cum_populo_gratias_egit,7.0,"nam, caius, mare, qui, post, ille, uetus, clarus, consularis, hic, uester, pater, memoria, tertius, ante, ego, consularis, subeo, indignus, fortuna, praesto, suus, gloria, dissimilis, sum, ratio, non, enim, ille, deprecatio, redeo, sed, in, discessus, ciuis, exercitus, sui, armus, reuoco, at, ego, nudus, ab, propinquus, nullus, cognatio, munio, nullus, armus, atque, tumultus, metus, caius, piso, gener, meus, diuino, quidam, et, inaudio, auctoritas, atque, uirtus, frater, miser, atque, bonus, cottidianus, lacrima, sordeo, lugubris, ab, tu, deprecor, sum",75,"NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.5, 0.5, NaN, NaN, 0.0, 1.0, 0.0, NaN, NaN, 0.5, NaN, -1.0, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, -1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.02,-0.047,"hic, miser, sordeo, tu",0.053
cicero.cum_populo_gratias_egit,8.0,"frater, sum, unus, qui, suus, squalor, uester, oculus, inflecto, qui, suus, fleo, desiderium, meus, memoria, renouo, qui, statuo, quiris, si, tu, ego, sui, non, reddo, idem, subeo, fortuna, tantus, in, ego, amor, ex-sisto, ut, nego, fas, sum, non, modo, domicilium, sed, ne, sepulcrum, quidem, sui, ab, ego, sum, seiungo, pro, ego, praesens, senatus, homo, praeterea, uiginti, mille, uestis, muto, pro, idem, ego, absum, unus, squalor, sordes, uideo, unus, hic, qui, quidem, in, forum, possum, sum, ego, pietas, filius, inuenio, sum, beneficium, parens, amor, idem, qui, semper, sum, frater, nam, coniunx, miser, squalor, et, luctus, atque, bonus, filia, maeror, assiduus, filius, paruus, desiderium, meus, lacrima, puerilis, aut, iter, necessarius, aut, magnus, pars, tectum, atque, tenebrae, continebantur.qua, res, hic, magnus, sum, uester, in, nos, promereo, qui, non, multitudo, propinquus, sed, nos, ipse, nos, reddo",132,"0.0, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, 1.0, 0.5, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, -1.0, -0.5, NaN, -1.0, NaN, 1.0, NaN, -1.0, 0.5, 0.0, 0.0, NaN, 0.0, NaN, 0.0, NaN, 0.0, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN",0.011,-0.045,"squalor, tu, sepulcrum, uestis, squalor, sordes, hic, miser, squalor, hic",0.076
cicero.cum_populo_gratias_egit,9.0,"sed, qui, ad, modus, propinquus, qui, ego, paro, non, possum, ego, ad, deprecor, calamitas, meus, non, sum, sic, ille, qui, meus, uirtus, praesto, debeo, adiutor, auctor, hortator, ad, ego, restituo, ita, multus, sum, ut, longus, superus, omnis, hic, dignitas, copia, superaris, numquam, de, publicus, popilio, clarus, atque, fortis, uir, numquam, de, quintus, metello, nobilis, et, consto, ciuis, numquam, de, caius, marius, custos, ciuitas, atque, imperium, uester, in, senatus, mentior, facio, sum",71,"NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN",0.085,-0.014,"calamitas, hic",0.028
cicero.cum_populo_gratias_egit,10.0,"tribunicius, superus, ille, rogatio, nullus, auctoritas, senatus, sum, restitus, marius, uerus, non, modo, non, ab, senatus, sed, etiam, opprimo, senatus, sum, restituo, neque, res, gero, memoria, in, reditus, caius, mare, sed, exercitus, atque, arma, ualeo, at, de, ego, ut, ualeo, semper, senatus, flagito, ut, aliquando, proficio, cum, primus, licet, frequentia, atque, auctoritas, perficio, nullus, in, is, reditus, moueo, municipium, et, colonia, facio, sum, at, ego, in, patria, ter, suus, decretum, italia, cunctus, reuoco, ille, inimicus, interficio, magnus, ciuis, caedes, facio, reduco, sum, ego, is, ab, qui, eicio, sum, prouincia, obtineo, inimicus, autem, bonus, uir, et, mitis, consul, alter, consul, refero, reduco, sum, cum, is, inimicus, qui, ad, meus, pernicies, uoco, suus, communis, hostis, praebeo, spiritus, dumtaxat, uiuo, res, quidem, infra, omnis, mortuus, amando, sum, numquam, de, publicus",127,"0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, 0.0, 0.5, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, 1.0, 0.5, NaN, 1.0, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, -1.0, NaN, NaN, 0.0, -1.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.02,-0.043,"interficio, caedes",0.016
cicero.cum_populo_gratias_egit,11.0,"popilio, lucius, opimus, fortis, consul, numquam, de, quintus, metello, non, modo, caius, marius, qui, sum, inimicus, sed, ne, is, quidem, qui, sequor, sum, marcus, antonius, homo, eloquens, cum, aulus, albinus, collega, senatus, aut, populus, sum, cohortor, at, pro, ego, superus, consul, semper, ut, refero, flagitas, sum, sed, uereor, sum, ne, gratia, causa, facio, uideo, qui, alter, ego, affinis, sum, alter, causa, capio, recipio, qui, prouinciaris, foedus, infreno, totus, ille, annus, querela, senatus, luctus, bonus, italia, gemitus, perfero, kalendae, uerus, ianuarius, postea, quam, orbo, res, publicus, consul, fides, tamquam, legitimus, tutor, imploro, publicus, lentulus, consul, parens, deus, salus, noster, uita, fortuna, memoria, nomen, simul, atque, de, sollemnis, deus, religio, refero, nihil, humanus, res, sui, prior, quam, de, ego, ago, iudico",119,"NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, -0.5, 0.5, -1.0, 1.0, NaN, -0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.5, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.5, 0.0, 1.0, NaN, 0.0, 0.0, 1.0, 0.0, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, NaN, 0.0, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN",0.059,-0.034,,0.0
cicero.cum_populo_gratias_egit,12.0,"atque, is, dies, conficio, res, sum, nisi, is, tribunus, plebs, qui, ego, magnus, beneficium, quaestor, consul, orno, cum, et, cunctus, ordo, et, multus, is, superus, uir, oro, et, gnaeus, oppius, socer, bonus, uir, ad, pes, fleo, iaceo, nox, sui, ad, delibero, postulo, qui, deliberatio, non, in, reddo, qui, ad, modus, non, nullus, arbitror, sed, ut, patefacio, sum, in, augeo, merces, consumo, sum, postea, res, ago, sum, in, senatus, alius, nullus, cum, uarius, ratio, impedio, uoluntas, tamen, perspicio, senatus, causa, ad, tu, mensis, ianuario, defero, hic, tantus, intersum, inter, ego, et, inimicus, meus",92,"NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, 0.0, 1.0, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0",0.054,-0.016,"iaceo, tu, hic",0.033
cicero.cum_populo_gratias_egit,13.0,"ego, cum, homo, in, tribunal, aurelio, palam, conscribo, centurio, uideo, cum, intellego, uetus, ad, spes, caedes, catilina, copia, sum, reuoco, cum, uideo, ex, is, pars, homo, qui, pars, nos, uel, princeps, numero, pars, qui, ego, inuideo, pars, qui, sui, timeo, aut, proditor, sum, aut, desertor, salus, meus, cum, duo, consul, emo, pactio, prouinciaris, auctor, sui, inimicus, res, publicus, trado, cum, egestas, auaritia, libido, suus, uideo, expleo, non, possum, nisi, ego, constringo, domesticus, hostis, dedo, cum, senatus, equito, romanus, fleo, pro, ego, atque, muto, uestis, tu, supplicaris, edico, atque, imperium, ueto, cum, omnis, prouinciaris, pactio, cum, omnis, cum, omnis, foedero, reconciliationesque, gratia, sanguis, meus, sancio, cum, omnis, bonus, non, recuso, quin, uel, pro, ego, uel, cum, ego, pereo, arma, decertaris, pro, meus, salus, nolo, qui, et, uinco, et, uinco, luctuosus, res, publicus, sum, puto, at, inimicus, meus",136,"NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, 0.0, NaN, NaN, -1.0, -1.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, 0.0, NaN, NaN, NaN, -1.0, 0.0",-0.007,-0.055,"caedes, catilina, proditor, desertor, emo, pactio, egestas, auaritia, libido, uestis, tu, pactio, foedero, luctuosus",0.103
