Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
statius.achilleid,1.1,"magnanimus, aeacide, -ne, formido, tono",5,"NaN, NaN, NaN, -1.0, NaN",-0.2,-0.2,,0.0
statius.achilleid,1.2,"progenies, et, patrius, ueto, succedo, caelum",6,"0.0, NaN, 0.0, NaN, NaN, 0.5",0.083,0.0,,0.0
statius.achilleid,1.3,"diuus, refero, quamquam, ago, uir, multus, inclutus, cantus",8,"0.0, NaN, NaN, NaN, 0.5, 0.0, 0.5, 0.0",0.125,0.0,,0.0
statius.achilleid,1.4,"maeonio, sed, multus, uaco, nos, eo, per, omnis",8,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.5,"sic, amor, sum, heros, uelis, scyroque, lateo",7,"NaN, 1.0, NaN, NaN, NaN, NaN, NaN",0.143,0.0,,0.0
statius.achilleid,1.6,"dulichia, profero, tuba, neque, in, hector, traho",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
statius.achilleid,1.7,"sisto, sed, totus, iuuenis, deduco, troia",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
statius.achilleid,1.8,"tu, modo, si, uetus, digno, depleo, haurio",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,tu,0.143
statius.achilleid,1.9,"do, fons, ego, phoebus, noui, atque, frons, secundus",8,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
statius.achilleid,1.1,"necto, como, neque, enim, aonium, nemus, aduena, pulso",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
statius.achilleid,1.11,"neque, meus, nunc, primus, augesco, tempus, uitta",7,"NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN",0.071,0.0,,0.0
statius.achilleid,1.12,"scio, dircaeus, ager, ego, inter, priscus, parens",7,"NaN, NaN, 0.0, NaN, NaN, 0.0, 0.5",0.071,0.0,dircaeus,0.143
statius.achilleid,1.13,"nomen, cum, suus, numero, amphio, thebe",6,"0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.14,"at, tu, qui, longus, primus, stupeo, itala, uirtus",8,"NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 1.0",0.188,0.0,tu,0.125
statius.achilleid,1.15,"graiaque, qui, geminus, floreo, uates, dux",6,"NaN, NaN, NaN, NaN, NaN, 0.5",0.083,0.0,,0.0
statius.achilleid,1.16,"certatim, laurus, olim, doleo, alter, uinco",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
statius.achilleid,1.17,"do, uenio, atque, trepidus, pateo, hic, sudaris, parumper",8,"NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN",-0.125,-0.125,hic,0.125
statius.achilleid,1.18,"puluis, tu, longus, necdum, fido, paro",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,tu,0.167
statius.achilleid,1.19,"molio, magnus, tu, praeludo, achilles",5,"NaN, 0.0, NaN, NaN, NaN",0.0,0.0,"tu, achilles",0.4
statius.achilleid,1.2,"soluo, oebalio, classis, de, litus, pastor",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,classis,0.167
statius.achilleid,1.21,"dardanus, incautus, blandus, populo, amyclas",5,"NaN, -1.0, 0.5, NaN, NaN",-0.1,-0.2,,0.0
statius.achilleid,1.22,"plenus, maternus, refero, praesagium, somnium",5,"0.0, NaN, NaN, NaN, 0.5",0.1,0.0,,0.0
statius.achilleid,1.23,"culpo, relego, iter, qui, condio, pontus",6,"NaN, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
statius.achilleid,1.24,"fluctus, inuideo, iam, nereis, impero, helle",6,"0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.25,"cum, thetis, idaeos, heu, numquam, uanus, parens",7,"NaN, NaN, NaN, NaN, NaN, -0.5, 0.5",0.0,-0.071,"thetis, heu, uanus",0.429
statius.achilleid,1.26,"augurium, expauesco, uitreus, sub, gurges, remus",6,"0.5, NaN, NaN, NaN, NaN, NaN",0.083,0.0,gurges,0.167
statius.achilleid,1.27,"neque, mora, et, undosus, turba, comito, soror",7,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.28,"prosilio, thalamus, ferueo, coeo, phrixi",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
statius.achilleid,1.29,"litus, et, angustus, domina, non, explico, aequor",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
statius.achilleid,1.3,"ille, ubi, discutio, primus, subeo, aes, pontus",7,"NaN, NaN, NaN, 0.5, NaN, NaN, 0.0",0.071,0.0,,0.0
statius.achilleid,1.31,"ego, peto, hic, ego, classis, aio, funestus, mino",8,"NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN",-0.125,-0.125,"hic, classis, funestus",0.375
statius.achilleid,1.32,"agnosco, moneo, et, protea, uerus, loquor",6,"NaN, NaN, NaN, NaN, 0.5, NaN",0.083,0.0,,0.0
statius.achilleid,1.33,"ecce, nouus, priamo, fax, de, puppis, leuo",7,"NaN, 1.0, NaN, NaN, NaN, NaN, NaN",0.143,0.0,"priamo, fax",0.286
statius.achilleid,1.34,"fero, bellona, nurum, uideo, iam, mille, carina",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"bellona, nurum",0.286
statius.achilleid,1.35,"ionium, aegaeumque, premo, neque, sufficio, omnis",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
statius.achilleid,1.36,"qui, plaga, graiugenum, tumidus, coniuro, atridis",6,"NaN, 0.0, NaN, -0.5, NaN, NaN",-0.083,-0.083,coniuro,0.167
statius.achilleid,1.37,"iam, pelagus, terra, meus, quaero, achilles",6,"NaN, NaN, 0.0, 0.0, NaN, NaN",0.0,0.0,achilles,0.167
statius.achilleid,1.38,"et, uolo, ipse, sequor, quis, enim, cunabula, paruus",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
statius.achilleid,1.39,"pelion, et, toruus, committo, antrum, magister",6,"NaN, NaN, NaN, NaN, 0.0, 0.5",0.083,0.0,,0.0
statius.achilleid,1.4,"illic, ni, fallo, lapitharis, proelio, ludo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,fallo,0.167
statius.achilleid,1.41,"improbus, et, patria, iam, sui, metior, in, hasta",8,"-1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.125,-0.125,improbus,0.125
statius.achilleid,1.42,"o, dolor, o, sero, maternus, in, cor, timor",8,"NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -0.5",-0.188,-0.188,,0.0
statius.achilleid,1.43,"non, possum, infelix, cum, primus, gurges, noster",7,"NaN, NaN, -1.0, NaN, 0.5, NaN, NaN",-0.071,-0.143,"infelix, gurges",0.286
statius.achilleid,1.44,"rhoeteae, cado, trabs, attollo, magnus",5,"NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
statius.achilleid,1.45,"aequor, et, incestus, praedo, uelo, profundus",6,"0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,"incestus, profundus",0.333
statius.achilleid,1.46,"tempestas, sequor, cuncto, infero, soror",5,"0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.47,"nunc, quoque, sed, tardus, iam, plenus, iniuria, rapio",8,"NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN",-0.125,-0.125,,0.0
statius.achilleid,1.48,"eo, tamen, pelagius, deus, dexter, secundus",6,"NaN, NaN, 0.0, 0.0, NaN, 0.0",0.0,0.0,,0.0
statius.achilleid,1.49,"qui, supersum, complector, io, per, tethyos, annus",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
statius.achilleid,1.5,"grandaeuus, pater, supplex, misero, rogo",5,"NaN, 0.0, 0.0, NaN, NaN",0.0,0.0,misero,0.2
statius.achilleid,1.51,"unus, hiems, dico, magnus, in, tempus, rex",7,"NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0",0.0,0.0,,0.0
statius.achilleid,1.52,"aspicio, oceanus, uenio, ab, hospes, mensis",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,,0.0
statius.achilleid,1.53,"laetus, et, aequoreus, diffundo, nectaris, uultus",6,"1.0, NaN, NaN, NaN, NaN, NaN",0.167,0.0,,0.0
statius.achilleid,1.54,"unde, hiemo, uenio, sileo, cano, quiesco",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
statius.achilleid,1.55,"armiger, tritones, eo, scopulosus, cetus",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
statius.achilleid,1.56,"tyrrhenique, grex, circum, intro, roto",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
statius.achilleid,1.57,"rex, saluto, placidus, ipse, arduus, unda",6,"0.0, NaN, 1.0, NaN, NaN, 0.0",0.167,0.0,,0.0
statius.achilleid,1.58,"emineo, et, triplex, telum, iubeo, eo, iugalis",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,iugalis,0.143
statius.achilleid,1.59,"ille, spumifer, glomero, ab, pectus, curro",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
statius.achilleid,1.6,"pono, nato, deleo, pes, uestigium, cauda",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.61,"cum, thetis, o, magnus, genitor, rector, profundo",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,thetis,0.143
statius.achilleid,1.62,"aspicio, in, qualis, miser, patefacio, utor",6,"NaN, NaN, NaN, -1.0, NaN, NaN",-0.167,-0.167,miser,0.167
statius.achilleid,1.63,"aequor, eo, tueor, terra, crimen, uelis",6,"0.0, NaN, NaN, 0.0, -1.0, NaN",-0.167,-0.167,crimen,0.167
statius.achilleid,1.64,"ex, quo, ius, fretus, maiestas, re-pono",6,"NaN, NaN, 0.5, 0.5, NaN, NaN",0.167,0.0,,0.0
statius.achilleid,1.65,"rumpo, iasonia, puppis, pagasaea, rapina",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,rapina,0.2
statius.achilleid,1.66,"en, alius, furtum, scelus, et, spolium, hospita, porto",8,"NaN, NaN, -1.0, -1.0, NaN, NaN, 0.5, NaN",-0.188,-0.25,"furtum, scelus, hospita",0.375
statius.achilleid,1.67,"nauigo, iniustus, temerarius, arbiter, idas",5,"NaN, -1.0, -1.0, NaN, NaN",-0.4,-0.4,"iniustus, temerarius",0.4
statius.achilleid,1.68,"eheu, qui, gemitus, terra, caelo, do",6,"NaN, NaN, -0.5, 0.0, NaN, NaN",-0.083,-0.083,,0.0
statius.achilleid,1.69,"qui, ego, sic, phrygiae, penso, gaudium, palma",7,"NaN, NaN, NaN, NaN, NaN, 1.0, NaN",0.143,0.0,,0.0
statius.achilleid,1.7,"hic, uenio, mos, hic, gratus, munus, alumna",7,"NaN, NaN, 0.5, NaN, 1.0, 0.5, 0.0",0.286,0.0,"hic, hic",0.286
statius.achilleid,1.71,"hic, saltem, num, semideus, noster, reporto",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.167
statius.achilleid,1.72,"theseus, si, quis, adhuc, unda, honor, obruo, puppis",8,"NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN",0.125,0.0,,0.0
statius.achilleid,1.73,"aut, permitto, fretus, nullus, inclemens, fas, sum",7,"NaN, NaN, 0.5, NaN, -1.0, NaN, NaN",-0.071,-0.143,,0.0
statius.achilleid,1.74,"pro, natus, timeo, ego, do, pello, luctus",7,"NaN, 0.0, NaN, NaN, NaN, NaN, -1.0",-0.143,-0.143,,0.0
statius.achilleid,1.75,"neque, tu, de, tantus, placeo, ego, fluctus, unus",8,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,tu,0.125
statius.achilleid,1.76,"litus, et, iliacus, scopulus, habito, sepulcrum",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,sepulcrum,0.167
statius.achilleid,1.77,"oro, lanio, gena, et, pectus, nudus",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,"lanio, gena",0.333
statius.achilleid,1.78,"caeruleus, obsto, equus, sed, rector, aqua",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
statius.achilleid,1.79,"inuito, currus, dico, ita, mulceo, amicus",6,"NaN, NaN, NaN, NaN, NaN, 1.0",0.167,0.0,,0.0
statius.achilleid,1.8,"ne, peto, dardaniam, frustra, theti, mergo, classis",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,"theti, classis",0.286
statius.achilleid,1.81,"fatum, ueto, reor, ordo, deus, misceo, cruento",7,"0.0, NaN, NaN, 0.5, 0.0, NaN, NaN",0.071,0.0,cruento,0.143
statius.achilleid,1.82,"europamque, asia, manus, consulo, bellum",5,"NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
statius.achilleid,1.83,"iuppiter, et, tristis, edico, caedes, annus",6,"NaN, NaN, -1.0, NaN, -0.5, 0.0",-0.25,-0.25,caedes,0.167
statius.achilleid,1.84,"qui, tu, illic, natus, sigeo, in, puluis, quantus",8,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,tu,0.125
statius.achilleid,1.85,"aspicio, uictrix, phrygiaris, funero, mater",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
statius.achilleid,1.86,"cum, tuus, aeacides, tepidus, modo, sanguis, teucer",7,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,"aeacides, teucer",0.286
statius.achilleid,1.87,"undo, campus, modo, crassus, exeo, ueto",6,"NaN, 0.0, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.88,"flumen, et, hectoreo, tardo, funus, currus",6,"NaN, NaN, NaN, NaN, -0.5, NaN",-0.083,-0.083,,0.0
statius.achilleid,1.89,"impelletque, manus, noster, opus, irrito, murus",6,"NaN, 0.0, NaN, 0.5, NaN, NaN",0.083,0.0,,0.0
statius.achilleid,1.9,"pelea, iam, desisto, queror, thalamus, paruus",6,"NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
statius.achilleid,1.91,"credo, pario, ioui, neque, inultus, doleo",6,"NaN, NaN, NaN, NaN, -0.5, NaN",-0.083,-0.083,inultus,0.167
statius.achilleid,1.92,"cognatus, utor, fretus, do, tollo, fluctus",6,"NaN, NaN, 0.5, NaN, NaN, 0.0",0.083,0.0,,0.0
statius.achilleid,1.93,"cum, reduco, danai, nocturnus, signum, caphereus",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,danai,0.167
statius.achilleid,1.94,"exsero, et, dirus, pariter, quaero, ulixes, -ne",7,"NaN, NaN, -1.0, NaN, NaN, NaN, NaN",-0.143,-0.143,dirus,0.143
statius.achilleid,1.95,"dico, ille, grauis, uultus, demitto, repello",6,"NaN, NaN, -0.5, NaN, NaN, NaN",-0.083,-0.083,,0.0
statius.achilleid,1.96,"qui, iam, excio, fretus, et, ratis, bellaris, paro",8,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.062,0.0,,0.0
statius.achilleid,1.97,"iliacus, alius, animus, commento, paro",5,"NaN, NaN, 0.5, NaN, NaN",0.1,0.0,,0.0
statius.achilleid,1.98,"tristis, ad, haemonias, detorqueo, bracchium, terra",6,"-1.0, NaN, NaN, NaN, NaN, 0.0",-0.167,-0.167,,0.0
statius.achilleid,1.99,"ter, conor, manus, liquidus, ter, gressus, aequor",7,"NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0",0.0,0.0,,0.0
statius.achilleid,1.1,"repello, et, niueus, ferio, uado, thessala, planto",7,"NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,niueus,0.143
statius.achilleid,1.101,"laeto, mons, et, conubialis, pando",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
statius.achilleid,1.102,"antrum, sinus, fero, dea, spercheos, abundo",6,"0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,spercheos,0.167
statius.achilleid,1.103,"obuius, et, dulcis, uestigium, circumeo, unda",6,"-0.5, NaN, 0.5, NaN, NaN, 0.0",0.0,-0.083,,0.0
statius.achilleid,1.104,"ille, nihil, gaudeo, locus, sed, coepio, fatigo",7,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.105,"pectus, consilium, et, sollers, pietas, magistro",6,"NaN, 0.5, NaN, 1.0, 1.0, NaN",0.417,0.0,,0.0
statius.achilleid,1.106,"longaeuus, chirona, peto, domus, arduus, mons",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.107,"perforo, et, longus, suspendo, pelion, arcus",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.108,"pars, exhaurio, manus, pars, suus, rumpo, aetas",7,"0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
statius.achilleid,1.109,"signum, tamen, diuus, torus, et, qui, quisque, sacro",8,"0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.11,"accumbo, genius, locus, monstro, at, intra",6,"NaN, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.111,"centaurus, stabulum, altus, pateo, non, aequus, nefandus",7,"NaN, NaN, 0.5, NaN, NaN, 0.5, -1.0",0.0,-0.143,nefandus,0.143
statius.achilleid,1.112,"frater, hic, homo, nullus, experior, cruor",6,"0.0, NaN, 0.0, NaN, NaN, NaN",0.0,0.0,"hic, cruor",0.333
statius.achilleid,1.113,"spiculum, neque, truncus, bellum, genial, ornus",6,"0.0, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.114,"aut, consanguineus, frango, crater, in, hostis",6,"NaN, 0.0, NaN, NaN, NaN, -1.0",-0.167,-0.167,,0.0
statius.achilleid,1.115,"sed, pharetra, insons, et, inanis, tergum, ferus",7,"NaN, NaN, 1.0, NaN, NaN, NaN, -1.0",0.0,-0.143,"insons, ferus",0.286
statius.achilleid,1.116,"hic, quoque, dum, uiridis, nam, tunc, labor, unus, inermis",9,"NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0",-0.056,-0.056,hic,0.111
statius.achilleid,1.117,"nosco, salutifer, dubius, animo, herba",5,"NaN, NaN, -0.5, NaN, NaN",-0.1,-0.1,,0.0
statius.achilleid,1.118,"aut, monstraris, lyra, uetus, heros, alumnus",6,"NaN, NaN, 0.0, 0.0, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.119,"et, tunc, uenor, redeo, in, limen, primus",7,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5",0.071,0.0,,0.0
statius.achilleid,1.12,"opperior, propero, daps, largus, sereno",5,"NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
statius.achilleid,1.121,"ignis, domus, cum, uideo, procul, de, litus, surgo",8,"0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.122,"nereis, erumpo, silua, do, gaudium, uireo",6,"NaN, NaN, NaN, NaN, 1.0, NaN",0.167,0.0,,0.0
statius.achilleid,1.123,"nosco, de_-suesco, crepo, senex, ungula, campus",6,"NaN, NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
statius.achilleid,1.124,"tunc, blandus, dextera, atque, imi, demitto, in, armus",8,"NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN",0.062,0.0,,0.0
statius.achilleid,1.125,"pauper, tectum, induco, et, admoneo, antrum",6,"-1.0, NaN, NaN, NaN, NaN, 0.0",-0.167,-0.167,,0.0
statius.achilleid,1.126,"iamdudum, taceo, lustro, thetis, omnis, uideo",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,thetis,0.167
statius.achilleid,1.127,"neque, perpetior, mora, ubi, meus, pignus, chiro, -ne",8,"NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.128,"dico, aio, aut, cur, ullus, puer, iam, tempus, duco",9,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
statius.achilleid,1.129,"tu, sine, non, mereo, trepidus, sopor, ater, mater",8,"NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0",-0.125,-0.125,tu,0.125
statius.achilleid,1.13,"signum, deus, et, magnus, utinam, mentior, timor",7,"0.0, 0.0, NaN, 0.0, NaN, NaN, -0.5",-0.071,-0.071,,0.0
statius.achilleid,1.131,"namque, modo, infensus, uterus, ego, contuor, ensis",7,"NaN, NaN, -1.0, NaN, NaN, NaN, NaN",-0.143,-0.143,,0.0
statius.achilleid,1.132,"nunc, plango, liueo, manus, modo, in, uber, saeuus",8,"NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, -1.0",0.0,-0.125,saeuus,0.125
statius.achilleid,1.133,"eo, ferus, saepe, ipse, nefas, sub, inanis, natus",8,"NaN, -1.0, NaN, NaN, -1.0, NaN, NaN, 0.0",-0.25,-0.25,"ferus, nefas",0.25
statius.achilleid,1.134,"tartara, et, ad, stygius, iterum, fero, mergo, fons",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
statius.achilleid,1.135,"hic, aboleo, metus, magicus, iubeo, ordo, sacer",7,"NaN, NaN, -1.0, NaN, NaN, 0.5, 1.0",0.071,-0.143,hic,0.143
statius.achilleid,1.136,"carpathius, uates, puer, sub, axis, perago",6,"NaN, NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,,0.0
statius.achilleid,1.137,"secerno, lustraris, fretus, ubi, litus, summus",6,"NaN, NaN, 0.5, NaN, NaN, NaN",0.083,0.0,,0.0
statius.achilleid,1.138,"oceani, et, genitor, tepeo, in-labor, astrum",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
statius.achilleid,1.139,"pontus, ibi, ignosco, horreo, piaculum, diuus",6,"0.0, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
statius.achilleid,1.14,"dono, sed, longus, cunctus, enumero, ueto",6,"NaN, NaN, 0.0, 0.0, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.141,"trado, magis, sic, fictum, parens, neque, enim, ille, do",9,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN",0.056,0.0,fictum,0.111
statius.achilleid,1.142,"si, mollis, habitus, et, tegimen, foedus, fateor",7,"NaN, NaN, NaN, NaN, NaN, -1.0, NaN",-0.143,-0.143,,0.0
statius.achilleid,1.143,"audeo, senex, tunc, ipse, refero, duco, bonus, quaeso",8,"NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN",0.125,0.0,,0.0
statius.achilleid,1.144,"duco, genetrix, humilis, deus, infringo, preco",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,humilis,0.167
statius.achilleid,1.145,"nam, supero, tuus, ueto, modus, placo, multus",7,"NaN, NaN, 0.0, NaN, 0.5, NaN, 0.0",0.071,0.0,,0.0
statius.achilleid,1.146,"inuidia, sum, non, addo, metus, sed, uerus, fateor",8,"-1.0, NaN, NaN, NaN, -1.0, NaN, 0.5, NaN",-0.188,-0.25,inuidia,0.125
statius.achilleid,1.147,"nescio, quis, magnus, neque, ego, patria, omen, fallo",8,"NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,fallo,0.125
statius.achilleid,1.148,"uolo, festino, paro, tenuis, superuenio, annus",6,"NaN, NaN, NaN, 0.0, NaN, 0.0",0.0,0.0,,0.0
statius.achilleid,1.149,"olim, et, fero, minae, auidus, audio, soleo",7,"NaN, NaN, NaN, -0.5, NaN, NaN, NaN",-0.071,-0.071,,0.0
statius.achilleid,1.15,"imperium, et, noster, procul, haud, discedo, ab, antrum",8,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
statius.achilleid,1.151,"nunc, ille, non, os, capio, non, pelion, ingens",8,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5",-0.062,-0.062,,0.0
statius.achilleid,1.152,"thessaliaeue, nix, ipse, ego, saepe, queror",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,,0.0
statius.achilleid,1.153,"centaurus, rapio, domus, abstraho, coram",5,"NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.154,"armentum, et, sui, campus, fluuius, fugaris",6,"NaN, NaN, NaN, 0.0, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.155,"insidior, et, bellum, paro, tumidus, mino",6,"NaN, NaN, 0.0, NaN, -0.5, NaN",-0.083,-0.083,,0.0
statius.achilleid,1.156,"olim, equidem, argoos, pinus, cum, thessala, rex",7,"NaN, NaN, NaN, 0.0, NaN, NaN, 0.0",0.0,0.0,,0.0
statius.achilleid,1.157,"hic, ueho, iuuenis, alcide, -ne, et, theseus, uideo",8,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,hic,0.125
statius.achilleid,1.158,"sed, taceo, figo, gelidus, nereida, pallor",6,"NaN, NaN, NaN, NaN, NaN, NaN",nan,nan,pallor,0.167
statius.achilleid,1.159,"ille, adsum, multus, sudor, et, puluis, magnus",7,"NaN, NaN, 0.0, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
statius.achilleid,1.16,"et, tamen, arma, inter, festino, labor",6,"NaN, NaN, 0.0, NaN, NaN, -0.5",-0.083,-0.083,,0.0
statius.achilleid,1.161,"dulcis, adhuc, uideo, niueus, nato, ignis, in, os",8,"0.5, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0",0.062,0.0,niueus,0.125
statius.achilleid,1.162,"purpureus, fuluus, niteo, coma, gratus, aurum",6,"NaN, NaN, NaN, NaN, 1.0, 0.5",0.25,0.0,,0.0
statius.achilleid,1.163,"necdum, primus, nouo, lanugo, uerto, aetas",6,"NaN, 0.5, NaN, NaN, NaN, 0.0",0.083,0.0,,0.0
statius.achilleid,1.164,"tranquillus, fax, oculus, et, multus, uultus",6,"NaN, NaN, 0.0, NaN, 0.0, NaN",0.0,0.0,fax,0.167
statius.achilleid,1.165,"mater, insum, qualis, lycia, uenator, apollo",6,"0.0, NaN, NaN, NaN, NaN, NaN",0.0,0.0,,0.0
statius.achilleid,1.166,"cum, redeo, et, saeuus, permuto, plectrum, pharetra",7,"NaN, NaN, NaN, -1.0, NaN, NaN, NaN",-0.143,-0.143,saeuus,0.143
statius.achilleid,1.167,"fors, et, laetus, adsum, o, quantus, gaudium, forma",8,"0.0, NaN, 1.0, NaN, NaN, NaN, 1.0, 1.0",0.375,0.0,,0.0
statius.achilleid,1.168,"adicio, fetus, pholoes, sub, rupes, leaena",6,"NaN, NaN, NaN, NaN, 0.0, NaN",0.0,0.0,leaena,0.167
statius.achilleid,1.169,"percello, ferrum, uacuus, relinquo, antrum",5,"NaN, NaN, NaN, NaN, 0.0",0.0,0.0,,0.0
