Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.de_haruspicum_responso,1.0,"hesternus, dies, pater, conscribo, cum, ego, et, uester, dignitas, et, frequentia, eques, romanus, praesens, qui, senatus, do, magnus, opus, commosset, puto, ego, reprimo, sum, publicus, claudus, impudicus, impudentia, cum, is, publicanus, causa, stultus, interrogatio, impedio, publicus, tullio, syrus, nauo, opera, atque, is, sui, qui, totus, uenierat, etiam, tu, inspecto, uendito, itaque, homo, furo, exsulto, contineo, simul, atque, periculum, iudicium, intendo, duo, inceptum, uerbum, omnis, impetus, gladiator, ferocio, comprimo",68,"NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.5, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, -1.0, -1.0, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN",-0.037,-0.074,"impudicus, stultus, tu, uendito, furo",0.074
cicero.de_haruspicum_responso,2.0,"atque, tamen, ignarus, ille, qui, consul, sum, exsanguis, atque, aestuo, sui, ex, curia, repens, proripio, cum, quidam, frango, iam, atque, inanis, minae, et, cum, ille, pisoniani, tempus, gabinianique, terror, qui, cum, egredior, insequor, coepio, capio, equidem, fructus, magnus, et, ex, consurrectio, omnis, uester, et, ex, comito, publicanus, sed, uaecors, repens, sine, suus, uultus, sine, color, sine, uox, consto, deinde, respicio, et, simul, atque, gnaeus, lentulus, consul, aspicio, concido, in, curia, paene, limen, recordatio, -ne, credo, gabini, suus, desiderium, piso, qui, ego, de, ecfrenato, et, praeceps, furor, quis, dico, an, possum, grauis, ab, ego, uerbum, uulneraris, quam, sum, statim, in, facio, ipse, ab, grauis, uir, publicus, seruilio, conficio, atque, trucido, qui, si, iam, uis, et, grauitas, ille, singularis, atque, paene, diuina, assequor, possum, tamen, non, dubito, quin, is, telum, qui, conicio, inimicus, quam, is, qui, collega, pater, emitto, leuis, atque, hebetiora, sum, uideo",142,"NaN, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN",-0.042,-0.063,"exsanguis, aestuo, uaecors, furor",0.028
cicero.de_haruspicum_responso,3.0,"sed, tamen, meus, facio, ratio, expono, ille, uolo, qui, hesternus, dies, dolor, ego, effero, et, iracundia, longus, prope, progredior, arbitror, quam, sapio, homo, cogito, ratio, postulo, nihil, facio, irascor, nihil, impotens, animus, nihil, non, diu, considero, atque, multus, ante, meditas, ego, enim, ego, pater, conscribo, inimicus, semper, sum, profiteor, sum, duo, qui, ego, qui, res, publicus, cum, defendo, debeo, seruaris, possum, cum, ad, consularis, officium, ipse, insignis, ille, imperium, ad, meus, salus, non, solus, auctoritas, sed, etiam, prex, uester, uoco, primus, relinquo, deinde, prodo, postremo, oppugno, praemium, nefarius, pactio, fundus, unus, cum, res, publicus, opprimo, exstinguo, uolo, qui, qui, suus, ductus, et, imperium, cruento, ille, atque, funestus, supplicium, neque, ab, socius, moenia, prohibeo, neque, hostis, urbs, infero, possum, excisio, inflammatio, euersio, depopulatio, uastitas, is, suus, cum, praeda, meus, omnis, tectum, atque, ager, infero",133,"NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, 0.0, NaN, 0.0, NaN, 0.0, 1.0, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, -1.0, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN",-0.03,-0.071,"impotens, nefarius, pactio, exstinguo, cruento, funestus, supplicium",0.053
cicero.de_haruspicum_responso,4.0,"cum, hic, furia, et, fax, cum, hic, inquam, exitiosus, prodigium, atque, paene, hic, imperium, pestis, bellum, ego, inexpiabilis, dico, sum, suscipio, neque, is, tamen, ipse, tantus, quantus, meus, atque, meus, sed, tantus, quantus, uester, atque, omnis, bonus, dolor, postulauit.i, -ne, clodium, uerus, non, sum, hodie, meus, magnus, odium, quam, ille, dies, sum, cum, ille, amburo, religiosus, ignis, cognosco, muliebris, orno, ex, incesto, stuprum, atque, ex, domus, pontifex, magnus, emitto, tum, inquam, tum, uideo, atque, multus, ante, prospicio, quantus, tempestas, excito, quantus, impendeo, procella, res, publicus, uideo, ille, scelus, tam, importunus, audacia, tam, immanis, adulescens, furo, nobilis, uulnero, non, possum, arceo, otium, finis, erumpo, ille, malus, aliquando, si, impunis, sum, ad, pernicies, ciuitas, non, multus, ego, sanus, post, ad, odium, accedo",120,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, -1.0, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, -1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, -1.0, NaN, -1.0, 1.0, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, -1.0, NaN, NaN, -0.5, NaN, NaN, -1.0, 0.5, NaN, 0.0, NaN, 1.0, NaN, NaN, -1.0, NaN",-0.042,-0.087,"hic, furia, fax, hic, prodigium, hic, pestis, inexpiabilis, muliebris, incesto, stuprum, scelus, importunus, audacia, immanis, adulescens, furo, otium, impunis",0.158
cicero.de_haruspicum_responso,5.0,"nihil, enim, contra, ego, facio, odium, meus, sed, odium, seueritas, odium, dignitas, odium, res, publicus, non, ego, magis, uiolo, quam, senatus, quam, eques, romanus, quam, omnis, bonus, quam, italia, cunctus, non, denique, in, ego, scelero, sum, quam, in, ipse, deus, immortal, etenim, ille, is, scelus, uiolo, quo, nemo, antea, in, ego, sum, idem, animus, quo, etiam, is, familiaris, catilina, si, uinco, sum, itaque, is, numquam, ab, ego, sum, accuso, puto, non, multus, quam, stipes, ille, qui, qui, homo, sum, nescio, nisi, sui, ligurem, ipse, sum, dico, quis, enim, hic, persequor, pecus, atque, belua, pabulum, inimicus, meus, et, glande, corrumpo, qui, si, sentio, quo, sui, scelus, deuincio, non, dubito, quin, sum, miser, sin, autem, is, non, uideo, periculum, sum, ne, sui, stupor, excusatio, defendo",123,"NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, -1.0, NaN, -1.0, 1.0, -1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, -0.5, 0.5, NaN",-0.045,-0.081,"seueritas, uiolo, scelero, scelus, uiolo, catilina, hic, scelus, miser",0.073
cicero.de_haruspicum_responso,6.0,"accedo, etiam, qui, exspectatio, omnis, fortis, et, clarus, uir, titus, annio, deuoto, et, constituo, iste, hostia, sum, uideo, qui, ego, praeripio, despondeo, iam, et, destino, laus, cum, ipse, is, opus, et, dignitas, et, salus, recipero, ualidus, sum, iniquus, etenim, ut, publicus, ille, scipio, nascor, ego, uideo, ad, interitus, exitium, carthago, qui, ille, ab, multus, imperator, ob-sedeo, oppugno, labefacio, paene, capio, aliquando, quasi, fatal, aduenio, solus, euerto, sic, titus, annius, ad, ille, pestis, comprimo, exstinguo, fundus, deleo, nascor, sum, uideo, et, quasi, diuino, munus, dono, res, publicus, solus, ille, cognosco, qui, ad, modus, armo, ciuis, qui, lapis, qui, ferrum, alius, fugo, alius, domus, contineo, qui, urbs, totus, qui, curia, qui, forum, qui, templum, omnis, caedes, incendium, terreo, non, modo, uinco, uerus, etiam, uincio, oportet",123,"NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, 1.0, NaN, 1.0, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, -1.0, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.0, -0.5, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN",0.02,-0.053,"hostia, iniquus, pestis, exstinguo, caedes",0.041
cicero.de_haruspicum_responso,7.0,"hic, ego, et, talis, et, ita, de, ego, atque, de, patria, mereo, uir, numquam, meus, uoluntas, praeripio, is, praesertim, reus, qui, ille, inimicitia, non, solus, suscipio, propter, salus, meus, uerus, etiam, ad-peto, sed, si, etiam, nunc, inlaqueatus, iam, omnis, lex, periculum, inretitus, odium, bonus, omnis, exspectatio, supplicium, iam, non, diuturnus, implicatus, fero, tamen, haesito, et, in, ego, impetus, impedio, facio, conor, resisto, et, aut, concedo, aut, etiam, adiuuo, milone, is, conor, refuto, uelut, hesternus, dies, cum, ego, sto, taceo, mino, uox, tantus, attingo, lex, initium, et, iudicium, consido, ille, con-taceo, dies, dico, ut, iacio, facio, ut, is, statim, tertius, ab, praetor, dies, dico, atque, hic, sic, modero, et, cogito, si, contineo, sum, is, scelus, qui, committo, sum, sui, iam, consecro, miloni, si, qui, in, ego, telis, intendo, statim, ego, sum, arrepo, arma, iudicium, atque, lex",135,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -0.5, NaN, NaN, 1.0, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -1.0, NaN, -1.0, 1.0, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.5",0.015,-0.033,"hic, reus, supplicium, hic, scelus",0.037
cicero.de_haruspicum_responso,8.0,"atque, paulus, ante, pater, conscribo, contio, habeo, qui, sum, ad, ego, totus, defero, qui, contio, primus, uniuersus, argumentum, sententia, audio, cum, rideo, impudentia, homo, tum, ab, ego, de, totus, contio, audio, de, religio, sacrum, et, caerimonia, sum, contionor, pater, conscribo, claudus, publius, inquam, claudus, sacer, et, religio, neglego, uiolaris, polluo, queror, sum, non, mirus, si, hic, tu, ridiculus, uideo, etiam, suus, contio, rideo, homo, quo, modo, ipse, glorior, soleo, ducenti, configo, senatus, consulo, qui, sum, omnis, contra, ille, pro, religio, facio, homo, is, qui, puluinaris, bonus, dea, stuprum, infero, is, sacer, qui, uir, oculus, ne, imprudens, quidem, aspicio, fas, sum, non, solus, aspectus, uirilis, sed, flagitium, stupro, uiolo, in, contio, de, religio, neglego, conqueror, itaque, nunc, propior, contio, is, exspecto, de, pudicitia",122,"NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.5, 0.0, 0.0, 0.0, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, -0.5, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, -1.0, NaN, NaN, 1.0, NaN, 0.5, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, -0.5, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, 0.5",0.025,-0.066,"contio, contio, contio, uiolaris, polluo, hic, tu, ridiculus, contio, stuprum, flagitium, stupro, uiolo, contio, contio, pudicitia",0.131
cicero.de_haruspicum_responso,9.0,"quis, enim, intersum, utrum, ab, altar, religiosus, fugo, de, sacrum, et, religio, conqueror, an, ex, soror, cubiculum, egredior, pudor, pudicitia, defendo, responsum, haruspex, hic, recens, de, fremo, in, contio, recito, in, quo, cum, alius, multus, scribo, etiam, ille, sum, is, qui, audio, locum, sacer, et, religiosus, profanus, habeo, in, is, causa, sum, dico, domus, meus, ab, religiosus, sacerdos, publicus",59,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0",0.042,-0.008,"pudor, pudicitia, haruspex, hic, contio, profanus",0.102
cicero.de_haruspicum_responso,10.0,"clodius, consecro, gaudeo, ego, de, totus, hic, ostendo, qui, haud, scio, an, grauis, multus, hic, annus, hic, ordo, nuntio, sum, do, non, modo, iustus, sed, etiam, necessaria, causa, sum, dico, reperio, enim, ex, hic, totus, prodigium, atque, respondeo, nos, de, iste, scelus, atque, furor, atque, de, impendeo, periculum, magnus, prope, iam, uox, io, bonus, magnus, praemoneo",56,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, 0.0, NaN, 1.0, 0.0, NaN",-0.018,-0.062,"hic, hic, hic, hic, prodigium, scelus, furor",0.125
cicero.de_haruspicum_responso,11.0,"sed, primus, expio, religio, aedes, meus, si, is, facio, uerus, atque, sine, quisquam, dubitatio, possum, sin, scrupulus, tenuis, resideo, aliqui, uideo, non, modo, patior, sed, etiam, libet, animus, portendo, deus, immortalis, religio, pareo, sed, qui, tandem, sum, in, hic, urbs, tantus, domus, ab, iste, suspicio, religio, tam, uacuus, atque, purus, quamquam, uester, domus, pater, conscribo, ceter, ciuis, multus, maximus, ex, pars, sum, liber, religio, tamen, unus, meus, domus, iudicium, omnis, libero, in, hic, urbs, solus, sum, tu, enim, appello, lentulis, et, tu, philippe, ex, hic, haruspex, respondeo, decerno, senatus, ut, de, locus, sacrum, religiosus, ad, hic, ordo, refero, possum, -ne, refero, de, meus, domus, qui, ut, dico, solus, in, hic, urbs, omnis, religio, omnis, iudicium, libero, sum, quam, primus, inimicus, ipse, in, ille, tempestas, atque, nox, res, publicus, cum, ceterus, scelus, stilus, ille, impurus, sextus, claudus, os, tingo, conscribo, ne, unus, quidem, attigo, littera, religio, deinde, idem, domus, populus, romanus, qui, sum, summus, potestas, omnis, res, comitium, centurio, omnis, aetas, ordo, suffragium, idem, ius, sum, iubeo, quo, sum, postea, tu, pater, conscribo, non, quo, dubius, res, sum, sed, ut, hic, furia, si, diu, in, hic, urbs, quam, deleo, cupio, maneo, uox, interdico, decerno, ut, de, meus, aedes, religio, ad, pontifex, collegium, refero",202,"NaN, 0.5, NaN, 1.0, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, -0.5, 1.0, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.5, 0.0, NaN, NaN, 0.0, NaN, 0.5, 1.0, NaN, NaN, 0.0, 0.0, 0.5, NaN, NaN, NaN, NaN, 0.5, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, 0.5, -1.0, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, 0.0, NaN, 0.0, -1.0, NaN, NaN, -1.0, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.5, NaN, NaN, 0.0, 0.5, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, NaN",0.057,-0.03,"expio, portendo, hic, hic, tu, tu, hic, haruspex, hic, hic, scelus, impurus, tu, hic, furia, hic",0.079
cicero.de_haruspicum_responso,12.0,"qui, tantus, religio, sum, qui, non, in, noster, dubitatio, atque, in, magnus, superstitio, unus, publicus, seruilis, aut, marcus, lucullus, respondeo, atque, uerbum, libero, de, sacrum, publicus, de, ludus, magnus, de, deus, penates, uestaeque, mater, caerimonia, de, ille, ipse, sacrificium, qui, fio, pro, salus, populus, romanus, qui, post, roma, condo, hic, unus, caueo, tutor, religio, scelus, uiolo, sum, qui, tres, pontifex, statuo, is, semper, populus, romanus, semper, senatus, semper, ipse, deus, immortalis, satis, sancio, satis, augustus, satis, religiosus, sum, uideo, sum, at, uerus, meus, domus, publicus, lentulus, consul, et, pontifex, publicus, seruilis, marcus, lucullus, quintus, metellus, marcus, glabrio, marcus, messalla, lucius, lentulus, flame, -ne, martial, publicus, galba, quintus, metellus, scipio, caius, fannius, marcus, lepidus, lucius, claudus, rex, sacer, marcus, scaurus, marcus, crassus, caius, curio, sextus, caesar, flame, -ne, quirinal, quintus, cornelius, publicus, albinouanus, quintus, tero, pontifex, paruus, causa, cognosco, duo, locus, dictum, maximus, frequentia, amplus, atque, sapio, ciuis, asto, omnis, religio, unus, mens, omnis, libero",154,"NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.5, 0.5, NaN, 0.5, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, 0.0, 0.0, NaN, 0.5, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN",0.058,-0.016,"hic, scelus, uiolo",0.019
cicero.de_haruspicum_responso,13.0,"nego, umquam, post, sacer, constituo, qui, idem, sum, antiquitas, qui, ipse, urbs, ullus, de, res, ne, de, caput, quidem, uirgo, uestalium, tam, frequens, collegium, iudico, quamquam, ad, facinus, disquisitio, intersum, adsum, quam, multus, ita, sum, enim, interpretatio, ille, pontifex, ut, idem, potestas, habeo, iudex, religio, explanatio, uel, ab, unus, pontifex, pereo, rectus, fio, possum, qui, idem, in, iudicium, capio, durus, atque, iniquus, sum, tamen, sic, reperio, frequens, pontifex, de, meus, domus, quam, umquam, de, caerimonia, uirgo, iudico, posterus, dies, frequens, senatus, tu, consul, designo, lentulis, sententia, princeps, publicus, lentulus, et, quintus, metello, consul, refero, statuo, cum, omnis, pontifex, qui, sum, hic, ordo, adsum, cum, alius, qui, honor, populus, romanus, antecedo, multus, de, collegium, iudicium, uerbum, facio, omnes, idem, scribo, adsum, domus, meus, iudicium, pontifex, religio, libero, uideo",127,"NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.0, NaN, 0.5, NaN, 0.5, NaN, NaN, 0.0, 0.5, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.5, NaN, 1.0, NaN, NaN",0.067,-0.02,"uirgo, facinus, iniquus, uirgo, tu, hic",0.047
