Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.in_l_pisonem,1.0,"pro, deus, inmortal, qui, hic, in-luceo, dies, ego, quidem, pater, conscribo, peroptato, ut, hic, portendo, hic, locus, monstrum, urbs, prodigium, ciuitas, uideo, equidem, nihil, malo, tu, fortasse, consumo, iste, crucio, aut, demergo, fluctus, audio, malo, perturbatio, iste, mens, et, quidam, scelus, offundo, caligo, et, ardeo, furiaris, fax, excito, qui, enim, iste, in, scopulis, non, incido, qui, in, telis, non, in-ruo, quis, sum, nego, audeo, aut, potis, quis, non, confiteor, quis, enim, ille, iners, quis, sordidus, quis, nequius, quis, eneruo, quis, stultus, quis, abstrusius.turbulenti, seditiosus, factiosus, perniciosus, qui, paruus, specimen, in, tu, ingenium, ingenium, autem, immo, ingenuus, homo, atque, liber, qui, color, ipse, patria, aspernaris, oratio, genus, mos, nomen, hic, non, ad, contemno, placentia, pertineo, unde, sui, is, orior, glorior, soleo, neque, enim, hic, meus, natura, fero, neque, municipium, praesertim, de, ego, optume, mereo, dignitas, patior, hic, cum, ab, domus, proficiscor, placentia, fors, consido, paucus, post, annus, in, is, ciuitas, nam, tum, sum, ascendo, prior, enim, gallus, deinde, gallicanus, exter, placentinus, habeo, coepio, sum, in-subo, quidam, sum, idem, mercator, et, praeco, is, cum, roma, cum, filia, uenio, adulescens, nobilis, caesonini, homo, furax, filius, audeo, sum, appello, is, filia, con-loco, calueo, aio, is, appello, homo, leuis, et, subeo, filia, con-loco, magnus, sui, in-subo, ille, auus, adopto, lauo, pater, tuus, socer, quam, caius, piso, in, ille, luctus, meus, is, enim, filia, meus, con-loco, qui, ego, si, ego, potestas, tum, omnis, sum, unus, potis, deligo, tu, tuus, ille, nescio, qui, ab, terra, apporto, mater, pecus, ex, aluus, non, homo, effundo, qui, tu, belua, ex, uterus, non, homo, fundo, cum, tu, totus, cognatio, serraco, adueho, simulo, iste, fictum, fuco, sum, omnis, puto, austerus, homo, puto, tristis, puto, grauis, sed, uideo, adulter, uideo, ganeo, uideo, paries, praesidium, uideo, amicus, sordes, uideo, tenebrae, occulto, libido, suus, puto, grauis, uideo, adulter, uideo, ganeo, neque, assideo, gabinius, aut, alloquor, in, curia, quisquam, audeo, quis, qui, miser, cum, loquor, non, possum, taceo, non, possum",314,"NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.5, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, -1.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, 0.5, 0.0, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, -0.5, 0.0, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, -1.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, -1.0, NaN, NaN, NaN, -0.5, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.011,-0.04,"hic, hic, portendo, hic, monstrum, prodigium, tu, demergo, scelus, furiaris, fax, iners, sordidus, nequius, stultus, seditiosus, perniciosus, tu, ingenuus, hic, hic, hic, gallus, adulescens, furax, tu, tu, tu, fictum, fuco, adulter, ganeo, sordes, libido, adulter, ganeo, miser",0.118
cicero.in_l_pisonem,1.1,"iam, -ne, uideo, belua, iam, sentio, qui, sum, homo, querela, frons, tuus, nemo, queror, syrus, nescio, qui, de, grex, nouicius, facio, sum, consul, non, enim, nos, color, iste, seruilis, non, pilosus, gena, non, dens, putridus, decipio, oculus, supercilium, frons, uultus, denique, totus, qui, sermo, quidam, taceo, mens, sum, hic, in, fraudo, homo, impello, hic, is, qui, sum, ignosco, decipio, fallo, induco, paucus, iste, tuus, lutulentus, uitio, noramus, paucus, tarditas, ingenium, stupor, debilitas, lingua, numquam, sum, audio, uox, in, forum, numquam, periculum, facio, consilium, nullus, non, modo, illustris, sed, ne, notus, quidem, facio, aut, militia, aut, domus, obrepo, ad, honor, error, homo, commendatio, fumosaris, imago, qui, similis, habeo, nihil, praeter, color",110,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, 0.0, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.5, -0.5, -1.0, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 1.0, -1.0, 0.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0",-0.023,-0.055,"gena, decipio, hic, fraudo, hic, decipio, fallo",0.064
cicero.in_l_pisonem,1.2,"is, ego, etiam, glorior, sui, omnis, magistratus, sine, repello, ad-sequor, ego, iste, licet, de, ego, uerus, cum, gloria, praedico, omnis, enim, honor, populus, romanus, ego, ipse, homo, defero, nam, tu, cum, quaestor, sum, facio, etiam, qui, tu, numquam, uideo, tamen, ille, honor, nomen, mando, tuus, aedilis, sum, facio, piso, sum, ab, populus, romanus, facio, non, iste, piso, praetura, item, magnus, defero, sum, tuus, nosco, sum, ille, mortuus, tu, uiuus, nondum, nosco, quisquam, ego, cum, quaestor, in, primus, aedilis, prior, praetor, primus, cunctus, suffragium, populus, romanus, facio, homo, ille, honor, non, gener, mos, non, magnus, meus, uirtus, perspicio, non, audio, nobilitas, defero",101,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.5, 0.5, 0.0, 0.0, 0.0, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, 0.5, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, 1.0, NaN",0.084,0.0,"tu, tu, tu, uiuus",0.04
cicero.in_l_pisonem,1.3,"nam, quis, ego, de, consulatus, loquor, pario, uolo, annus, gero, miser, ego, cum, hic, ego, nunc, pestis, atque, labes, confero, sed, nihil, comparo, causa, loquor, atque, tamen, is, qui, sum, longus, disiungo, comprehendo, tu, consul, sum, renuntio, nihil, dico, grauis, quam, qui, omnis, fateor, impedio, res, publicus, tempus, dis-sido, consul, cum, hic, non, recusaris, is, ab, qui, dicebaris, consul, quin, tu, lux, dignus, non, puto, nisi, nequior, quam, gabinius, ex-sisto, ego, cunctus, italia, ego, omnis, ordo, ego, uniuersus, ciuitas, non, prior, tabella, quam, uox, prior, consul, declaro, sed, omitto, ut, sum, facio, uterque, nos, sum, sanus, fors, domina, campus, magnificentius, sum, dico, qui, ad, modus, gero, consulatus, quam, qui, ad, modus, capio",112,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.5, NaN, 0.5, 0.0, NaN, 0.0, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN",0.031,-0.031,"miser, hic, pestis, tu, hic, tu",0.054
cicero.in_l_pisonem,2.4,"ego, kalendae, ianuarius, senatus, et, bonus, omnis, lex, agrarius, magnus, largitio, metus, libero, ego, ager, campania, si, diuido, non, oportet, conseruo, si, oportet, bonus, auctor, reseruo, ego, in, caius, rabirio, perduellio, reor, xl, annus, ante, ego, consul, interpono, senatus, auctoritas, sustineo, contra, inuidia, atque, defendo, ego, adulescens, bonus, et, fortis, sed, utor, is, condicio, fortuna, ut, si, sum, magistratus, adipiscor, res, publicus, status, con-uello, uideo, meus, inimicitia, nullus, senatus, malus, gratia, comitium, ratio, priuo",74,"NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, 0.5, 0.0, 0.0, 0.0, -1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.0, 0.0, NaN, NaN, 0.0, -1.0, NaN, 0.5, -1.0, 1.0, 0.5, 0.0, NaN",0.054,-0.054,"largitio, inuidia, adulescens",0.041
cicero.in_l_pisonem,2.5,"ego, antonius, collega, cupidus, prouincia, multus, in, res, publicus, molior, patientia, atque, obsequium, meus, mitigo, ego, prouincia, gallia, senatus, auctoritas, exercitus, et, pecunia, instruo, et, orno, quam, cum, antonius, commuto, qui, ita, existimo, tempus, res, publicus, fero, in, contio, depono, reclamo, populus, romanus, ego, lucius, catilina, caedes, senatus, interitus, urbs, non, obscurus, sed, palam, molior, egredior, ex, urbs, iubeo, ut, ab, quo, lex, non, possum, moenia, tueor, sum, possum, ego, telum, exter, mensis, consulatus, meus, intendo, iugulis, ciuitas, de, coniurati, nefarius, manus, extorqueo, ego, fax, iam, accendo, ad, hic, urbs, incendium, comprehendo, profero, exstinguo",94,"NaN, NaN, NaN, -0.5, 0.0, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, 0.5, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, -0.5, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN",-0.005,-0.043,"pecunia, contio, catilina, caedes, coniurati, nefarius, fax, hic, exstinguo",0.096
cicero.in_l_pisonem,3.6,"ego, quintus, catulus, princeps, hic, ordo, et, auctor, publicus, consilium, frequens, senatus, parens, patria, nomino, ego, hic, uir, clarus, qui, propter, tu, sedeo, lucius, gellius, hic, audio, ciuica, corona, debeo, ab, res, publicus, dico, ego, togatus, senatus, non, ut, multus, bene, gero, sed, ut, nemo, conseruo, res, publicus, singularis, genus, supplicatio, deus, immortalis, templum, patefacio, ego, cum, in, contio, abeo, magistratus, dico, ab, tribunus, plebs, prohibeo, qui, constituo, cum, is, ego, tantus, modo, ut, iuraris, permitto, sine, ullus, dubitatio, iuro, res, publicus, atque, hic, urbs, meus, unus, opus, sum, saluus",90,"NaN, NaN, 0.0, 0.5, NaN, 0.5, NaN, NaN, 0.0, 0.5, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, 0.0, 0.0, 0.0, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.5, 0.0, NaN, 0.5, NaN, 1.0",0.061,-0.017,"hic, hic, tu, hic, contio, hic",0.067
cicero.in_l_pisonem,3.7,"ego, populus, romanus, uniuersus, ille, in, contio, non, unus, dies, gratulatio, sed, aeternitas, immortalitas, dono, cum, meus, ius, iuro, talis, atque, tantus, iuro, ipse, unus, uox, et, consensus, approbo, quo, quidem, tempus, is, meus, domus, sum, e, forum, redeo, ut, nemo, nisi, qui, cum, ego, sum, ciuis, sum, in, numerus, uideo, atque, ita, sum, ab, ego, consulatus, perago, ut, nihil, sine, consilium, senatus, nihil, non, approbo, populus, romanus, ago, ut, semper, in, rostrum, curia, in, senatus, populus, defendo, ut, multitudo, cum, princeps, equester, ordo, cum, senatus, coniungo, expono, breuis, consulatus, meus",91,"NaN, 0.0, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, 0.0, 1.0, NaN, 0.5, 0.5, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.5, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0",0.044,-0.022,contio,0.011
cicero.in_l_pisonem,4.8,"audeo, nunc, o, furio, de, tuus, dico, qui, sum, initium, ludo, compitalicius, tum, primus, facio, post, lucius, iulius, et, caius, marcius, consul, contra, auctoritas, hic, ordo, qui, quintus, metellus, facio, iniuria, fortis, uir, mortuus, qui, ille, qui, paucus, paris, hic, ciuitas, fero, cum, hic, importunus, belua, confero, sed, ille, designo, consul, cum, quidam, tribunus, plebs, suus, auxilium, magister, ludus, contra, senatus, consulo, facio, iubeo, priuo, fio, ueto, atque, is, qui, nondum, potestas, possum, obtineo, auctoritas, tu, cum, in, kalendae, ianuarius, compitalis, dies, incido, sextus, clodium, qui, numquam, antea, praetextatus, sum, ludus, facio, et, praetextatus, uolitaris, patior, sum, homo, impurus, atque, non, modo, facies, sed, etiam, oculus, tuus, dignus",108,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, 0.5, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -0.5, 0.0, NaN, 0.0, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, 1.0",0.028,-0.032,"furio, hic, hic, hic, importunus, tu, impurus",0.065
cicero.in_l_pisonem,4.9,"ergo, hic, fundamentum, pono, consulatus, tuus, triduum, post, inspecto, et, taceo, tu, ab, fatal, portendo, prodigium, res, publicus, lex, aelia, et, fufia, euerro, sum, propugnaculum, murus, tranquillitas, atque, otium, collegium, non, is, solus, qui, senatus, tollo, restituo, sed, innumerabilis, quidam, nouo, ex, omnis, faex, urbs, atque, seruitium, concito, ab, idem, homo, in, stuprum, inaudio, nefarius, uerso, uetus, ille, magistro, pudor, et, modestia, censeo, tollo, sum, cum, tu, interim, bustum, res, publicus, qui, tu, consul, tum, roma, dico, sum, uerbum, numquam, significaris, sententia, tuus, tantus, in, naufragium, ciuitas",87,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.5, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, -1.0, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5",-0.006,-0.052,"hic, tu, portendo, prodigium, otium, stuprum, nefarius, pudor, modestia, tu, bustum, tu, naufragium",0.149
cicero.in_l_pisonem,5.1,"nondum, qui, facio, sed, qui, fio, patior, sum, dico, neque, uerus, multus, intersum, praesertim, in, consul, utrum, ipse, perniciosus, lex, improbus, contio, res, publicus, uexo, an, alius, uexaris, patior, an, possum, ullus, sum, excusatio, non, dico, malus, sentio, sed, sedeo, cuncto, dormio, in, maximus, res, publicus, motus, consul, -que, prope, annus, lex, aeliam, et, fufiam, teneo, cccc, iudicium, notio, censorius, qui, lex, audeo, sum, non, nemo, improbus, possum, quidem, nemo, conuello, quam, potestas, minuo, quo, paruus, de, mos, noster, quintus, quoque, annus, iudico, nemo, tam, effuse, petulans, conor, sum, hic, sum, o, carnifex",93,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, 0.5, -1.0, -0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.5, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -0.5, -1.0, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN",-0.016,-0.07,"perniciosus, improbus, contio, uexo, improbus, petulans, hic, carnifex",0.086
cicero.in_l_pisonem,5.11,"in, prooemium, sepelio, consulatus, tuus, persequor, contineo, hic, funus, dies, pro, aurelio, tribunal, ne, co-niuit, quidem, tu, qui, ipse, sum, scelus, sed, etiam, hilaris, oculus, quam, soleo, sum, intueor, delectus, seruus, habeo, ab, is, qui, nihil, sui, umquam, neque, facio, neque, patior, turpis, sum, duco, arma, in, templum, castor, o, proditor, templum, omnis, uideo, tu, constituo, ab, is, latro, qui, templum, ille, sum, tu, consul, arx, ciuis, perdo, receptaculis, uetus, catilina, miles, castellum, forensis, latrocinium, bustum, lex, omnis, atque, religio, sum, non, solus, domus, meus, sed, totus, palatium, senatus, eques, romanus, ciuitas, omnis, italia, cunctus, refercio, cum, tu, non, modo, ad, is, mitto, enim, domesticus, qui, negaris, possum, hic, commemoro, qui, sum, palam, non, modo, inquam, ad, is, qui, primus, comitium, tuus, do, tabula, praerogatiua, qui, in, senatus, sententia, rogo, tertius, numquam, aspiro, sed, omnis, consilium, qui, ad, ego, opprimo, paro, non, intersum, solus, uerus, etiam, crudelis, praesum",148,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, -0.5, 0.0, 0.0, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.5, NaN, -1.0, NaN",0.01,-0.037,"sepelio, hic, tu, scelus, hilaris, turpis, proditor, tu, latro, tu, catilina, latrocinium, bustum, tu, hic, crudelis",0.108
cicero.in_l_pisonem,6.12,"ego, uerus, ipse, coram, gener, meus, propinquo, tuus, qui, dico, audeo, sum, ago, sordidus, gabinius, sine, prouincia, sto, non, possum, spes, habeo, ab, tribunus, plebs, si, suus, consilium, cum, ille, coniungo, ab, senatus, quidem, despero, hic, tu, cupiditas, obsequor, sicut, ego, facio, in, collega, meus, nihil, sum, qui, praesidium, consul, imploraris, sui, quisque, consulo, oportet, atque, hic, dico, uix, audeo, uereor, ne, qui, sum, qui, iste, insignis, nequitia, frons, inuoluo, integumentum, nondum, cerno, dico, tamen, ipse, certus, agnosco, et, cum, aliquis, dolor, flagitium, suus, recordor",85,"NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, -0.5, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, -1.0, NaN, NaN",-0.024,-0.059,"sordidus, hic, tu, hic, nequitia, flagitium",0.071
cicero.in_l_pisonem,6.13,"memini, -ne, caenum, cum, ad, tu, quintus, fere, hora, cum, caius, piso, uenio, nescio, quo, e, gurgustium, tu, prodeo, inuoluo, caput, soleatus, et, cum, iste, os, foetido, taeter, nos, popina, inhalo, excusatio, tu, uti, ualetudo, qui, dico, uinulentis, tu, quidam, medicamen, soleo, curaris, quam, nos, causa, cum, accipio, quis, enim, facio, possum, paulisper, sto, in, ille, ganearis, tuus, nidor, atque, fumus, unde, tu, nos, cum, improbus, respondeo, tum, turpis, ructo, eicio",71,"NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, NaN, NaN",-0.042,-0.049,"caenum, tu, tu, taeter, tu, tu, tu, improbus, turpis",0.127
