Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_murena,1.0,"qui, preco, ab, deus, immortalis, sum, iudex, mos, instituo, magnus, ille, dies, quo, auspico, comitium, centurio, lucius, murena, consul, renuntio, ut, is, res, ego, fides, magistratus, meus, populus, plebs, romanus, bene, atque, feliciter, euenio, idem, precor, ab, idem, deus, immortalis, ob, idem, homo, consulatus, unus, cum, salus, obtineo, et, ut, uester, mens, atque, sententia, cum, populus, romanus, uoluntas, suffragium, consentio, is, res, tu, populo, romanus, pax, tranquillitas, otium, concordia, affero, qui, si, ille, sollemnis, comitium, precatio, consularis, auspicium, consecro, tantus, habeo, in, sui, uis, et, religio, quantus, res, publicus, dignitas, postulo, idem, ego, sum, preco, ut, is, quoque, homo, qui, hic, consulatus, ego, rogo, do, sum, is, res, faustus, feliciter, prosper, euenio",112,"NaN, NaN, NaN, 0.0, 0.5, NaN, 0.5, 0.5, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 1.0, 0.5, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.5, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 1.0, NaN",0.129,0.0,"tu, otium, hic",0.027
cicero.pro_murena,2.0,"qui, cum, ita, sum, iudex, et, cum, omnis, deus, immortalis, potestas, aut, transfero, sum, ad, tu, aut, certus, communico, cum, tu, idem, consul, uester, fides, commendo, qui, antea, deus, immortalis, commendo, ut, idem, homo, uox, et, declaro, consul, et, defendo, beneficium, populus, romanus, cum, uester, atque, omnis, ciuis, salus, tueor, et, quoniam, in, hic, officium, studium, meus, defensio, ab, accusator, atque, etiam, ipse, susceptio, causa, re-prehenso, sum, ante, quam, pro, lucius, murena, dico, instituo, pro, ego, ipse, paucus, dico, non, quo, ego, potis, hic, quidem, tempus, sum, officio, meus, quam, hic, salus, defensio, sed, ut, meus, facio, tu, probo, magnus, auctoritas, ab, hic, honor, fama, fortuna, omnis, inimicus, impetus, propulsaris, possum",111,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.5, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, 1.0, 0.0, NaN, -1.0, NaN, NaN, NaN",0.09,-0.009,"tu, tu, hic, hic, hic, tu, hic",0.063
cicero.pro_murena,3.0,"et, primus, marcus, cato, uita, ad, certus, ratio, norma, derigeo, et, diligens, perpendo, momentum, officium, omnis, de, officium, meus, respondeo, nego, sum, recingo, cato, ego, et, consul, et, lex, ambitus, lator, et, tam, sero, gero, consulatus, causa, lucius, murena, attingo, qui, reprehensio, ego, uehemens, moueo, non, solus, ut, tu, iudex, qui, magnus, debeo, uerus, etiam, ut, ipse, cato, grauis, atque, integer, uir, ratio, facio, meus, probo, ab, quo, tandem, marcus, cato, sum, aequus, consul, defendo, quam, ab, consul, quis, ego, in, res, publicus, possum, aut, debeo, sum, coniungo, quam, is, qui, res, publicus, ab, ego, iam, trado, sustineo, magnus, meus, labor, et, periculum, sustento, qui, si, in, is, res, repeto, qui, mancipium, sum, is, periculum, iudicium, praesto, debeo, qui, sui, necto, obligo, profecto, etiam, rectus, in, iudicium, consul, designo, is, potis, consul, qui, consul, declaro, auctor, beneficus, populus, romanus, defenso, periculum, sum, debeo",143,"NaN, 0.5, NaN, NaN, 0.0, NaN, 0.5, 0.0, 0.5, NaN, NaN, 1.0, NaN, 0.0, 0.5, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, 0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, -0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, 0.5, NaN, NaN, 0.0, 0.5, NaN, 0.5, NaN, NaN, 1.0, 0.0, NaN, NaN, -1.0, NaN, NaN",0.052,-0.035,"tu, mancipium",0.014
cicero.pro_murena,4.0,"atque, si, ut, non, nullus, in, ciuitas, fio, soleo, patronus, hic, causa, publicus, constituo, is, potis, superus, honor, afficio, defenso, do, qui, idem, honor, praeditus, non, paruus, affero, ad, dico, auctoritas, quam, facultas, qui, si, e, portus, soluo, is, qui, iam, in, portus, ex, altus, inueho, praecipio, superus, studium, soleo, et, tempestas, ratio, et, praedo, et, locus, qui, natura, affero, ut, is, faueo, qui, idem, periculum, qui, nos, perfungor, sum, ingredior, quo, tandem, ego, sum, animus, oportet, prope, iam, ex, magnus, iactatio, terra, uideo, in, hic, qui, uideo, magnus, res, publicus, tempestas, sum, subeo, qui, res, si, sum, bonus, consul, non, solus, uideo, quis, ago, uerus, etiam, prouideo, quis, sum, sum, ostendo, alius, locus, quantus, salus, communis, intersum, duo, consul, in, res, publicus, kalendae, ianuarius, sum",126,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, 0.5, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, 0.0, NaN, NaN, 0.5, NaN, 0.0, 0.0, NaN, NaN, NaN",0.056,-0.012,"hic, hic",0.016
cicero.pro_murena,5.0,"qui, si, ita, sum, non, tam, ego, officium, debeo, ad, homo, amicus, fortuna, quam, res, publicus, consul, ad, communis, salus, defendo, uocaris, nam, qui, lex, de, ambitus, fero, certus, ita, fero, ut, is, quam, nos, ipse, iam, pridem, fero, de, ciuis, periculum, defendo, non, abrogaris, etenim, si, largitio, facio, sum, confiteor, is, rectus, facio, sum, defendo, facio, improbus, etiam, si, alius, lex, fero, cum, uerus, nihil, committo, contra, lex, sum, defendo, quis, sum, qui, meus, defensio, latium, lex, impedio",79,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 1.0, 0.0, NaN, 0.0, 0.0, 0.5, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN",0.07,-0.025,"largitio, improbus",0.025
cicero.pro_murena,6.0,"nego, sum, idem, seueritas, catilina, exitium, res, publicus, intra, moenia, molior, uerbum, et, paene, imperium, ex, urbs, expello, et, nunc, pro, lucius, murena, dico, ego, autem, hic, pars, lenitas, et, misericordia, qui, ego, natura, ipse, doceo, semper, ago, libet, ille, uerus, grauitas, seueritas, persona, non, appeto, sed, ab, res, publicus, ego, impono, sustineo, sicut, hic, imperium, dignitas, in, superus, periculum, ciuis, postulo, qui, si, tum, cum, res, publicus, uis, et, seueritas, desidero, uinco, natura, et, tam, uehemens, sum, quam, cogo, non, quam, uolo, nunc, cum, omnis, ego, causa, ad, misericordia, atque, ad, humanitas, uoco, quantus, tandem, studium, debeo, natura, meus, consuetudo, seruio, atque, de, officium, defensio, meus, atque, de, ratio, accusatio, tuus, fortasse, etiam, alius, in, pars, oratio, dico, nos, sum",121,"NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN",0.037,-0.025,"seueritas, catilina, hic, seueritas, hic, seueritas",0.05
cicero.pro_murena,7.0,"sed, ego, iudex, non, paruus, homo, sapio, atque, orno, ser., sulpici, conquestio, quam, cato, accusatio, commoueo, qui, grauis, et, acerbus, sui, fero, dico, ego, familiaritas, necessitudo, obliuiscor, causa, lucius, murena, contra, sui, defendo, hic, ego, iudex, satis, facio, cupio, tu, adhibeo, arbiter, nam, cum, grauis, sum, uerus, accusaris, in, amicitia, tum, etiam, si, fallo, accuso, non, sum, neglego, ego, ser., sulpici, ego, in, petitio, tuus, tu, omnis, studium, atque, officium, pro, noster, necessitudo, et, debeo, confiteor, et, praesto, arbitror, nihil, tu, consulatus, peto, ab, ego, desum, qui, sum, aut, ab, amicus, aut, ab, gratiosus, aut, ab, consul, postulo, abeo, ille, tempus, muto, ratio, sum, sic, existimo, sic, ego, persuadeo, ego, tu, contra, honor, murena, quantus, tu, ab, ego, postulo, audeo, sum, tantus, debeo, contra, salus, nihil, debeo",127,"NaN, NaN, 0.5, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN",0.055,-0.016,"acerbus, hic, tu, fallo, tu, tu, tu, tu",0.063
cicero.pro_murena,8.0,"neque, enim, si, tu, tum, cum, peto, consulatus, studeo, nunc, cum, murena, ipse, peto, adiuto, idem, pacisco, sum, debeo, atque, hic, non, modo, non, laudo, sed, ne, concedo, quidem, possum, ut, amicus, noster, accuso, non, etiam, alienus, defendo, ego, autem, cum, murena, iudex, et, magnus, et, uetus, amicitia, sum, qui, in, capio, dimicatio, ab, ser., sulpicius, non, idcirco, obruo, qui, ab, idem, in, honor, contentio, supero, sum, qui, si, causa, non, sum, tamen, uel, dignitas, homo, uel, honor, is, qui, adipiscor, sum, amplitudo, summa, ego, superbia, crudelitas, infamia, inuro, si, homo, et, suus, et, populus, romanus, ornamentum, amplus, causa, tantus, periculum, repudio, neque, enim, iam, ego, licet, neque, sum, integer, ut, meus, labor, homo, periculum, subleuo, non, impertio, nam, cum, praemium, ego, tantus, pro, hic, industria, sum, do, quantus, antea, nemo, sic, existimo, labor, qui, in, petitio, excipio, is, cum, adipiscor, sum, depono, sum, homo, et, astus, et, ingratus, qui, si, licet, desino",153,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, -1.0, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, -0.5, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, -1.0, NaN, NaN, NaN, NaN",-0.013,-0.062,"tu, hic, superbia, crudelitas, infamia, hic, astus, ingratus",0.052
cicero.pro_murena,9.0,"si, tu, auctor, possum, si, nullus, inertia, infamia, nullus, superbia, turpitudo, nullus, inhumanitas, culpa, suscipio, ego, uerus, libet, desino, sin, autem, fuga, labor, desidia, repudiatio, supplex, superbia, amicus, neglectio, improbitas, coarguo, nimirum, hic, causa, sum, is, modus, quam, neque, industrius, quisquam, neque, misericors, neque, officiosus, desero, possum, atque, hic, res, conicio, de, tuus, ipse, studium, seruio, facilis, capio, nam, si, tu, necesse, puto, etiam, aduersarius, amicus, tuus, de, ius, consulo, respondeo, et, si, turpis, existimo, tu, aduoco, ille, ipse, qui, contra, uenio, causa, cado, nolo, tam, sum, iniustus, ut, cum, tuus, fons, uel, inimicus, tuus, pateo, noster, etiam, amicus, puto, claudo, sum, oportet",103,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, -1.0, -1.0, NaN, 0.0, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -0.5, -0.5, NaN, NaN, 0.0, -1.0, 1.0, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, 1.0, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN",-0.024,-0.107,"tu, inertia, infamia, superbia, turpitudo, culpa, superbia, improbitas, hic, misericors, hic, tu, turpis, tu, iniustus",0.146
cicero.pro_murena,10.0,"etenim, si, ego, tuus, familiaritas, ab, hic, causa, remoueo, et, si, hic, idem, quintus, hortensius, marcus, crassus, clarus, uis, si, item, ceterus, ab, qui, intellego, tuus, gratia, magnus, aestimaris, accido, in, is, ciuitas, consul, designo, defensor, non, habeo, in, qui, nemo, umquam, infimus, magnus, noster, patronus, desum, uolo, ego, uerus, iudex, ipse, ego, existimaris, nefarius, si, amicus, crudelis, si, mitto, superbus, si, consul, desum, qui, res, qui, do, sum, amicitia, largus, do, ab, ego, ut, cum, tu, ago, seruio, non, secus, atque, si, meus, sum, frater, qui, ego, sum, carus, iste, in, locus, qui, tribuo, sum, officium, fides, religio, is, ita, modero, ut, memini, ego, contra, amicus, studium, pro, amicus, periculum, dico",112,"NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 1.0, 0.0, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, -1.0, NaN, 1.0, -1.0, NaN, NaN, -1.0, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, 1.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, NaN, 1.0, -1.0, NaN",0.08,-0.04,"hic, hic, nefarius, crudelis, tu",0.045
cicero.pro_murena,11.0,"intellego, iudex, tres, totus, accusatio, pars, sum, et, is, unus, in, reprehensio, uita, alter, in, contentio, dignitas, tertius, in, crimen, ambitus, sum, uerso, atque, haris, tres, pars, primus, ille, qui, grauis, debeo, sum, ita, sum, infirmo, et, leuis, ut, ille, lex, magis, quidam, accusatorius, quam, uerus, malus, dico, facultas, de, uito, lucius, murena, dico, aliquis, cogo, obiecto, sum, enim, asia, qui, ab, hic, non, ad, uoluptas, et, luxuria, expeto, sum, sed, in, militaris, labor, peragro, qui, si, adulescens, pater, suus, imperator, non, mereo, aut, hostis, aut, pater, imperium, timeo, aut, ab, pareo, repudio, uideo, an, cum, sedeo, in, equus, triumpho, praetextas, potis, filius, soleo, hic, donum, militaris, pater, triumphus, decoraris, fugio, sum, ut, res, communis, gero, paene, simul, cum, pater, triumpho",121,"NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, 1.0, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, -1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN",0.0,-0.041,"crimen, hic, luxuria, adulescens, hic",0.041
cicero.pro_murena,12.0,"hic, uerus, iudex, et, sum, in, asia, et, uir, fortis, parens, suus, magnus, adiumentum, in, periculum, solacium, in, labor, gratulatio, in, uictoria, sum, et, si, habeo, asia, suspicio, luxuria, quidam, non, asia, numquam, uideo, sed, in, asia, contineo, uiuo, laudo, sum, quam, ob, res, non, asia, nomen, obicio, murena, sum, ex, qui, laus, familia, memoria, gener, honor, et, gloria, nomen, constituo, sum, sed, aliqui, aut, in, asia, suscipio, aut, ex, asia, deportas, flagitium, atque, dedecus, mereo, uerus, stipendium, in, is, bellum, qui, tum, populus, romanus, non, modo, magnus, sed, etiam, solus, gero, uirtus, pater, imperator, libet, mereo, pietas, finis, stipendium, pater, uictoria, atque, triumphus, sum, felicitas, sum, maledico, quidem, idcirco, nihil, in, hic, res, locus, sum, qui, omnis, laus, occupo",120,"NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, 0.5, NaN, 0.0, NaN, NaN, -1.0, 1.0, NaN, -0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, 1.0, NaN, 1.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, 1.0, 0.0, 0.5, NaN, NaN, 1.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 1.0, NaN",0.067,-0.042,"hic, luxuria, flagitium, dedecus, maledico, hic",0.05
cicero.pro_murena,13.0,"saltator, appello, lucius, murena, cato, maledico, sum, si, uerus, obicio, uehemens, accusator, sin, fallo, maledico, conuiciator, qui, res, cum, iste, sum, auctoritas, non, debeo, marcus, cato, arripio, maledico, ex, triuius, aut, ex, scurraris, aliquis, conuicior, neque, temere, consul, populus, romanus, saltator, uocaris, sed, circumspicio, qui, praeterea, uitium, afficio, sum, necesse, sum, is, qui, uerus, iste, obicio, possum, nemo, enim, fere, saltat, sobrius, nisi, fors, insanio, neque, in, solitudo, neque, in, conuiuium, modero, atque, honestus, tempestiuus, conuiuo, amoenus, locus, multus, deliciae, comes, sum, exter, saltatio, tu, ego, ad-rapio, hic, qui, necesse, sum, omnis, uitium, sum, posterus, relinquo, ille, qui, remoueo, hic, uitium, omnino, sum, non, possum, nullus, turpis, conuiuium, non, amor, non, comissatio, non, libido, non, sumptus, ostendo, et, cum, is, non, reperio, qui, uoluptas, nomen, habeo, quamquam, uitiosus, sum, in, quo, ipse, luxuria, reperio, non, possum, in, is, tu, umbra, luxuria, reperio, puto",143,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 1.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN",-0.014,-0.045,"saltator, maledico, fallo, maledico, maledico, saltator, sobrius, insanio, conuiuium, honestus, conuiuo, deliciae, tu, hic, hic, turpis, conuiuium, libido, luxuria, tu, luxuria",0.147
cicero.pro_murena,14.0,"nihil, igitur, in, uita, lucius, murena, dico, possum, nihil, inquam, omnino, iudex, sic, ab, ego, consul, designo, defendo, ut, is, nullus, fraus, nullus, auaritia, nullus, perfidia, nullus, crudelitas, nullus, petulans, dico, in, uito, profero, bene, habeo, iacto, sum, fundamentum, defensio, nondum, enim, noster, laus, qui, uto, postea, sed, prope, inimicus, confessio, uir, bonus, atque, integer, homo, defendo, quo, constituo, facilis, sum, ego, aditus, ad, contentio, dignitas, qui, pars, alter, sum, accusatio",71,"NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, -1.0, NaN, -1.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, 0.5, 1.0, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN",0.0,-0.077,"fraus, auaritia, perfidia, crudelitas, petulans",0.07
