Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_sulla,1.0,"magnus, uolo, iudex, ut, publicus, sulla, et, antea, dignitas, suus, splendor, obtineo, et, post, calamitas, accipio, modestia, fructus, aliquis, percipio, possum, sed, quoniam, ita, fero, casus, infestus, ut, in, amplus, honor, cum, communis, ambitio, inuidia, tum, singularis, autroni, odium, euerto, et, in, hic, pristinus, fortuna, reliquiae, miser, et, affligo, tamen, habeo, quidam, qui, animus, ne, supplicium, quidem, suus, satiaris, possum, quamquam, ex, hic, incommodus, magnus, animus, molestia, capio, tamen, in, ceterus, malus, facilis, patior, offertor, ego, tempus, sum, in, quo, bonus, uir, lenitas, meus, misericordia, nota, quondam, omnis, nunc, quasi, intermitto, agnosco, improbus, atque, perdo, ciuis, domo, atque, uinco, praecipito, res, publicus, uehemens, ego, sum, atque, fortis, conseruo, mitis, atque, misericordem, fateor",112,"0.0, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, -1.0, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, 0.0, 1.0, NaN, 0.0, NaN, -1.0, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, 0.5, -1.0, NaN, NaN, NaN, 0.0, -1.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, 0.5, 1.0, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN",0.027,-0.076,"calamitas, modestia, ambitio, inuidia, hic, miser, supplicium, hic, improbus",0.08
cicero.pro_sulla,2.0,"et, quoniam, lucius, torquatus, meus, familiaris, atque, necessarius, iudex, existimo, si, noster, in, accusatio, suus, necessitudo, familiaritas, uiolo, aliquis, sui, de, auctoritas, meus, defensio, possum, detraho, cum, hic, periculum, propulsatio, coniungo, defensio, officio, meus, quo, quidem, genus, non, uto, oratio, iudex, hic, tempus, si, meus, solus, intersum, multus, enim, locus, ego, et, do, facultas, sum, et, saepe, do, de, meus, laus, dico, sed, ut, ille, uideo, quantus, de, meus, auctoritas, deripio, tantus, sui, de, hic, praesidium, deminuo, sic, hic, ego, sentio, si, meus, facio, ratio, tu, constantia, hic, officio, atque, defensio, probaro, causa, quoque, ego, publicus, sulla, probo",98,"NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, -0.5, 0.5, NaN, 0.0, NaN, 0.0, -0.5, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN",0.026,-0.02,"uiolo, hic, hic, hic, hic, tu, hic",0.071
cicero.pro_sulla,3.0,"atque, primus, abs, tu, ille, lucius, torquatus, quaero, cur, ego, ab, ceterus, clarus, uis, atque, princeps, ciuitas, in, hic, officium, atque, in, defensio, ius, secerno, quis, enim, sum, quam, ob, res, abs, tu, quintus, hortensius, facio, clarus, uir, atque, orno, non, reprehendo, reprehendo, meus, nam, si, sum, ineo, ab, publicus, sulla, consilium, inflammo, hic, urbs, exstinguo, imperium, deleo, ciuitas, ego, magnus, hic, res, dolor, quam, quintus, hortensius, ego, magnus, odium, affero, debeo, meus, denique, grauis, sum, iudicium, qui, adiuuo, in, hic, causa, qui, oppugno, qui, defendo, qui, desero, sum, uideo, ita, inquam, tu, enim, inuestigo, tu, patefacio, coniuratio, qui, cum, dico",101,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 1.0, NaN, 0.5, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, 0.0, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN",0.04,-0.03,"tu, hic, tu, inflammo, hic, exstinguo, hic, hic, tu, tu, coniuratio",0.109
cicero.pro_sulla,4.0,"non, attendo, is, qui, patefacio, hic, curo, ut, is, omnis, uideo, qui, antea, sum, occulo, qui, res, iste, coniuratio, si, patefacio, per, ego, sum, tam, pateo, hortensius, quam, ego, qui, cum, uideo, hic, honor, auctoritas, uirtus, consilium, praeditus, non, dubito, quin, innocentia, publicus, sulla, defendo, quaero, cur, qui, aditus, ad, causa, hortensius, pateo, ego, intercludo, sum, debeo, quaero, ille, etiam, si, ego, qui, defendo, reprehendo, puto, sum, quis, tandem, de, hic, existimo, summus, uis, et, clarus, ciuis, qui, studium, et, dignitas, celebraris, hic, iudicium, ornaris, causa, defendo, hic, innocentia, uideo, non, enim, unus, ratio, sum, defensio, is, qui, pono, sum, in, oratio, omnis, qui, adsum, qui, laboro, qui, saluus, uolo, pro, suus, pars, atque, auctoritas, defendo",116,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, 0.5, 0.5, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, 0.5, NaN, 0.5, NaN, 1.0, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN",0.069,-0.009,"hic, coniuratio, hic, hic, hic, hic",0.052
cicero.pro_sulla,5.0,"an, uerus, in, qui, subsellium, hic, ornamentum, atque, lumen, res, publicus, uideo, in, hic, ego, appareo, nolo, cum, ego, ille, in, locus, atque, in, hic, excello, sedes, dignitas, atque, honor, multus, meus, atque, magnus, labor, et, periculum, ascendissem, atque, ut, intellego, torquatus, qui, accuso, si, tu, fors, is, offendo, qui, ego, qui, in, hic, genus, quaestio, defendo, nemo, non, desum, publicus, sulla, recordaris, de, ceterus, qui, adsum, hic, uideo, intellego, et, de, hic, et, de, alius, iudicium, meus, et, hic, par, atque, unus, sum",84,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 1.0, 0.0, 0.0, NaN, 0.0, -0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN",0.018,-0.024,"hic, hic, hic, tu, hic, hic, hic, hic",0.095
cicero.pro_sulla,6.0,"quis, nos, adsum, uargunteio, nemo, ne, hic, quidem, quintus, hortensius, praesertim, qui, ille, solus, antea, de, ambitus, defendo, non, enim, iam, sui, ullus, officium, cum, ille, coniungo, arbitror, cum, ille, tantus, scelus, committo, omnis, officium, societas, dis-redimo, quis, nos, seru, sulla, quis, publium, quis, marcus, laeca, quis, caius, cornelius, defendo, puto, quis, is, hic, adsum, nemo, quis, ita, quia, ceterus, in, causa, etiam, noceo, uir, bonus, si, necessarius, sum, desero, sum, non, puto, in, hic, crimen, non, solus, leuitas, sum, culpa, uerus, etiam, quidam, contagio, scelus, si, defendo, is, qui, obstringo, sum, patria, parricidium, suspicio",95,"NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.5, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -0.5, 0.0, NaN, -1.0, 0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, -0.5",-0.037,-0.079,"hic, scelus, societas, hic, noceo, hic, crimen, culpa, scelus, parricidium",0.105
cicero.pro_sulla,7.0,"quis, autronius, nonne, sodal, non, collega, suus, non, uetus, amicus, qui, ille, copia, quondam, abundo, non, hic, omnis, qui, sum, in, res, publicus, princeps, desum, immo, etiam, testimonium, plerusque, laedo, statuo, tantus, ille, sum, maleficium, qui, non, modo, non, occultaris, per, sui, sed, etiam, aperio, in-lustro, debeo, quam, ob, res, quis, sum, qui, miro, si, cum, idem, ego, in, hic, causa, uideo, adsum, cum, qui, in, ceterus, intellego, a-sum, nisi, uerus, ego, unus, uolo, ferus, praeter, ceterus, ego, asperum, ego, inhumanus, existimo, ego, singularis, immanitas, et, crudelitas, praeditus",88,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, -1.0, NaN, 0.0, NaN, NaN, 0.0, -1.0, NaN, -1.0, 0.5",-0.023,-0.057,"hic, maleficium, hic, ferus, inhumanus, immanitas, crudelitas",0.08
cicero.pro_sulla,8.0,"hic, ego, tu, si, propter, meus, res, gero, impono, in, omnis, uito, meus, torquatus, persona, uehemens, erro, ego, natura, misericordem, patria, seuerus, crudelis, neque, patria, neque, natura, sum, uolo, denique, iste, ipse, persona, uehemens, et, acer, quam, ego, tum, tempus, et, res, publicus, impono, iam, uoluntas, et, natura, ipse, detraho, ille, enim, ad, breuis, tempus, seueritas, postulo, hic, in, omnis, uito, misericordia, lenitas, desidero",64,"NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 1.0, NaN",0.016,-0.016,"hic, tu, crudelis, seueritas, hic",0.078
cicero.pro_sulla,9.0,"qui, res, nihil, sum, qui, ex, tantus, comito, uir, amplus, ego, unus, abstraho, simplex, officium, atque, unus, bonus, sum, omnis, causa, nihil, sum, qui, admiror, posthac, si, in, is, pars, in, qui, hic, animus, aduerto, ego, uideo, nullus, sum, enim, in, res, publicus, meus, causa, proprius, tempus, ago, sum, ego, magis, proprius, quam, ceterus, dolor, uerus, et, timor, et, periculum, sum, ille, causa, communis, neque, enim, ego, tunc, princeps, ad, salus, sum, possum, si, sum, alius, comes, nolo, qui, res, necesse, sum, qui, ego, consul, praecipuus, sum, praeter, alius, is, iam, priuo, cum, ceterus, sum, communis, neque, ego, hic, partio, inuidia, sed, communico, laus, causa, loquor, onus, meus, pars, nemo, impertio, gloria, bonus, omnis",114,"NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, -1.0, 0.5, NaN, -0.5, NaN, -1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 1.0, 0.0, NaN, NaN, 0.0, 0.0, -0.5, NaN, 0.0, 1.0, NaN",0.031,-0.035,"hic, hic, inuidia",0.026
cicero.pro_sulla,10.0,"in, autronius, testimonium, dico, inquam, sulla, defendo, hic, totus, is, modus, sum, iudex, ut, si, ego, sum, in-consto, atque, leuis, neque, testimonium, fides, tribuo, conuenio, neque, defensio, auctoritas, sin, sum, in, ego, ratio, res, publicus, religio, priuo, officio, studium, retineo, uoluntas, bonus, nihil, paruus, accusator, debeo, dico, quam, ab, ego, defendo, sulla, testimonium, laedo, sum, autronius, uideo, enim, iam, non, solus, studium, ad, defendo, causa, uerus, etiam, opinio, aliquis, et, auctoritas, affero, qui, ego, et, modero, uto, iudex, et, omnino, non, uto, si, ille, ego, non, cogo",87,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, 1.0, NaN, NaN, 0.5, NaN, 0.0, 1.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.5, NaN, NaN, 0.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.063,-0.006,hic,0.011
cicero.pro_sulla,11.0,"duo, coniuratio, abs, tu, torquatus, constituo, unus, qui, lepidus, et, uolcatio, consul, pater, tuus, consul, designo, facio, sum, dico, alter, qui, ego, consul, haris, in, uter, sulla, dico, sum, pater, tuus, fortis, uir, atque, bonus, consul, scio, ego, consilium, non, intersum, scio, ego, cum, ego, summus, cum, tu, utor, sum, tamen, ille, expers, tempus, et, sermo, sum, credo, qui, nondum, penitus, in, res, publicus, uerso, qui, nondum, ad, propono, ego, finis, honor, peruenio, qui, ego, ambitio, et, forensis, labor, ab, omnis, ille, cogitatio, abstraho",84,"NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.5, 0.5, NaN, 1.0, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN",0.048,-0.018,"coniuratio, tu, tu, ambitio",0.048
cicero.pro_sulla,12.0,"quis, ergo, intersum, uester, consilium, omnis, hic, qui, uideo, hic, adsum, et, in, primus, quintus, hortensius, qui, cum, propter, honor, atque, dignitas, atque, animus, eximius, in, res, publicus, tum, propter, summa, familiaritas, summus, amor, in, pater, tuus, cum, communis, tum, praecipuus, pater, tuus, periculum, commoueo, ergo, iste, coniuratio, crimen, defendo, ab, is, sum, qui, intersum, qui, cognosco, qui, particeps, et, consilium, uester, sum, et, timor, qui, in, hic, crimen, propulso, cum, sum, copiosus, atque, orno, oratio, tamen, non, paruus, insum, auctoritas, in, is, quam, facultas, ille, igitur, coniuratio, qui, facio, contra, tu, defero, ad, tu, ab, tu, profero, sum, dico, ego, testis, sum, non, possum, non, modo, animus, nihil, comperio, sed, uix, ad, auris, meus, iste, suspicio, fama, peruenio",119,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, 0.5, 1.0, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, 0.0, 0.0, NaN, 0.0, NaN, 0.0, 0.0, 0.0, -1.0, NaN, NaN, NaN, -0.5, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 1.0, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, 1.0, NaN",0.034,-0.046,"hic, hic, coniuratio, crimen, hic, crimen, propulso, coniuratio, tu, tu, tu",0.092
cicero.pro_sulla,13.0,"qui, tu, in, consilium, sum, qui, cum, tu, ille, cogo, qui, ipse, periculum, tum, conflaris, puto, qui, autronius, non, adsum, qui, in, ille, testimonium, grauis, dico, hic, defendo, hic, adsum, in, hic, periculum, declaro, sui, non, crimen, coniuratio, ne, adsum, ceterus, sed, homo, maleficium, deterreo, sum, meus, consulatus, autem, tempus, et, crimen, magnus, coniuratio, ab, ego, defendo, atque, hic, inter, nos, partitio, defensio, non, sum, fortuitus, iudex, neque, temere, facio, sed, cum, uideo, is, crimen, nos, patronus, adhibeo, qui, testis, sum, possum, uterque, nos, is, sui, suscipio, puto, de, quo, aliquis, scio, ipse, atque, existimaris, possum",96,"NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, -1.0, -0.5, NaN, NaN, 0.0, NaN, 0.0, -1.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, -1.0, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.068,-0.078,"tu, tu, hic, hic, hic, crimen, coniuratio, maleficium, crimen, coniuratio, hic, crimen",0.125
cicero.pro_sulla,14.0,"et, quoniam, de, crimen, superus, coniuratio, hortensius, diligenter, audio, de, hic, coniuratio, qui, ego, consul, facio, sum, hic, primus, attendo, multus, cum, sum, consul, de, summus, res, publicus, periculum, audio, multus, quaero, multus, cognosco, nullus, umquam, de, sulla, nuntius, ad, ego, nullus, indicium, nullus, littera, peruenio, nullus, suspicio, multus, hic, uox, fortasse, ualeo, debeo, is, homo, qui, consul, insidiae, res, publicus, consilium, inuestigo, ueritas, aperio, magnitudo, animus, uindico, cum, is, sui, nihil, audio, de, publicus, sulla, nihil, suspicor, sum, dico, sed, ego, nondum, uto, hic, uox, ad, hic, defendo, ad, purgo, ego, potis, uto, ut, miror, torquatus, desino, ego, qui, autronius, non, adsum, sulla, defendo",105,"NaN, NaN, NaN, -1.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.0, -1.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.0, 0.0, 0.5, NaN, 0.5, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.0,-0.033,"crimen, coniuratio, hic, coniuratio, hic, hic, insidiae, hic, hic",0.086
cicero.pro_sulla,15.0,"qui, enim, autroni, sum, causa, qui, sulla, sum, ille, ambitus, iudicium, tollo, atque, disturbaris, primus, conflo, uolo, gladiator, atque, fugitiuus, tumultus, deinde, is, qui, uideo, omnis, lapidatio, atque, concursus, sulla, si, sui, suus, pudor, atque, dignitas, non, prosum, nullus, auxilium, re-quaero, ille, damno, ita, sui, gero, non, solus, consilium, et, sermo, uerus, etiam, aspectus, atque, uultus, ut, inimicus, sum, amplus, ordo, infestus, bonus, omnis, hostis, patria, uideo, hic, sui, ita, frango, ille, calamitas, atque, affligo, puto, ut, nihil, sui, ex, pristinus, dignitas, supersum, arbitror, nisi, qui, modestia, retineo",88,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.5, NaN, -0.5, 0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, 0.5, -1.0, 1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN",0.017,-0.057,"fugitiuus, pudor, damno, hic, calamitas, modestia",0.068
cicero.pro_sulla,16.0,"hic, uerus, in, coniuratio, quis, tam, coniungo, quam, ille, cum, catilina, cum, lentulus, qui, tantus, societas, ullus, inter, sui, res, optimaris, quantus, is, cum, ille, scelus, libido, audacia, qui, flagitium, lentulus, non, cum, autronius, concipio, qui, sine, idem, ille, catilina, facinus, admitto, cum, interim, sulla, cum, idem, ille, non, modo, nox, solitudo, non, quaero, sed, ne, mediocris, quidem, sermo, et, congredior, coniungo",62,"NaN, 0.5, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, -0.5, 1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN",-0.04,-0.081,"hic, coniuratio, catilina, societas, scelus, libido, audacia, flagitium, catilina, facinus",0.161
cicero.pro_sulla,17.0,"ille, allobroges, maximaris, res, uerus, indico, ille, multus, littera, atque, nuntius, co-arguo, sulla, interea, nemo, insimulo, nemo, nomino, postremo, eicio, siue, emitto, iam, ex, urbs, catilina, ille, arma, mitto, cornu, tuba, fascis, signum, legio, ille, relinquo, intus, exspecto, foris, lentulus, poena, comprimo, conuerto, sui, aliquando, ad, timor, numquam, ad, sanitas, hic, contra, ita, quiesco, ut, is, tempus, omnis, neapoli, sum, ubi, neque, homo, sum, puto, hic, affinis, suspicio, et, locus, sum, ipse, non, tam, ad, inflammo, calamitosor, animus, quam, ad, consolo, accommodo, propter, hic, igitur, tantus, dissimilitudo, homo, atque, causaris, dissimilis, ego, in, uterque, praebeo",95,"NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.005,-0.032,"insimulo, catilina, poena, hic, hic, inflammo, hic",0.074
