Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
cicero.pro_a_cluentio,1.0,"animus, aduerto, iudex, omnis, accusator, oratio, in, duo, diuido, sum, pars, qui, alter, ego, nitor, et, magnus, opus, confido, uideo, inuidia, iam, inuetero, iudicium, iuniani, alter, tantus, modo, consuetudo, causa, timidus, et, diffidenter, attingo, ratio, ueneficus, crimen, qui, de, res, lex, sum, hic, quaestio, constituo, itaque, ego, certus, sum, hic, idem, distributio, inuidia, et, crimen, sic, in, defensio, seruaris, ut, omnis, intellego, nihil, ego, neque, subterfugio, uolo, reticeo, neque, obscuro, dico",71,"0.5, NaN, 0.5, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, 0.0, 0.5, NaN, NaN, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, 0.0, -0.5, -1.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",-0.021,-0.077,"inuidia, timidus, ueneficus, crimen, hic, hic, inuidia, crimen",0.113
cicero.pro_a_cluentio,2.0,"sed, cum, considero, quo, modo, ego, in, uter, res, sum, elaboro, alter, pars, et, is, qui, proprius, sum, iudicium, uester, et, legitimus, ueneficus, quaestio, per, ego, breuis, et, non, magnus, in, dico, contentio, sum, uideo, alter, autem, qui, procul, ab, iudicium, remoueo, sum, qui, contio, seditiosus, concitas, accommodo, sum, quam, tranquillus, modero, iudicium, perspicio, quantus, in, ago, difficultas, et, quantus, labor, sum, habeo",63,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, -0.5, NaN, NaN",-0.008,-0.032,"ueneficus, contio, seditiosus",0.048
cicero.pro_a_cluentio,3.0,"sed, in, hic, difficultas, ille, ego, res, tamen, iudex, consolo, qui, tu, de, crimen, sic, audio, consuestis, ut, is, omnis, dissolutio, ab, orator, quaero, ut, non, existimo, multus, tu, ad, salus, reor, largior, oportet, quam, quantus, defenso, purgo, crimen, consequor, et, dico, probaris, possum, de, inuidia, autem, sic, inter, nos, disceptaris, debeo, ut, non, quis, dico, ab, nos, sed, quis, oportet, dico, considero, ago, enim, in, crimen, aulus, clueo, proprius, periculum, in, inuidia, causa, communis, quam, ob, res, alter, pars, causa, sic, ago, ut, tu, doceo, alter, sic, ut, oro, in, alter, diligentia, uester, nos, adiungo, sum, in, alter, fides, imploro, nemo, sum, enim, qui, inuidia, sine, uester, atque, sine, talis, uir, subsidium, possum, resisto",115,"NaN, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, -1.0, NaN, -1.0, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, -0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN",-0.039,-0.07,"hic, tu, crimen, tu, crimen, inuidia, crimen, inuidia, tu, inuidia",0.087
cicero.pro_a_cluentio,4.0,"equidem, qui, ad, ego, attineo, quo, ego, uerto, nescio, nego, sum, ille, infamia, iudicium, corrumpo, nego, sum, ille, res, agito, in, contio, iacto, in, iudicium, commemoro, in, senatus, euello, ex, animus, homo, tantus, opinio, tam, penitus, inquiro, tam, uetustus, non, sum, noster, ingenium, uester, auxilium, sum, iudex, hic, innocentia, sic, in, hic, calamitosus, fama, quasi, in, aliqui, perniciosus, flamma, atque, in, communis, incendium, subuenio",64,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, 0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, -1.0, 1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN",0.016,-0.055,"infamia, contio, hic, hic, calamitosus, perniciosus",0.094
cicero.pro_a_cluentio,5.0,"etenim, sicut, alius, in, locus, parum, firmamentum, et, parum, uis, uereor, habeo, sic, in, hic, locus, fallo, inuidia, imbecillus, sum, debeo, dominor, in, contio, iaceo, in, iudicium, ualeo, in, opinio, atque, sermo, imperitor, ab, ingenium, prudens, repudio, uehemens, habeo, repentinus, impetus, spatium, interpono, et, causa, cognosco, consenesco, denique, ille, definitio, iudicium, aequus, qui, nos, ab, magnus, trado, sum, retineo, ut, in, iudicium, et, sine, inuidia, culpa, plecto, et, sine, culpa, inuidia, pono",72,"NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, -1.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, -1.0, NaN, NaN, NaN, -1.0, -1.0, NaN",-0.042,-0.104,"hic, fallo, inuidia, contio, iaceo, inuidia, culpa, culpa, inuidia",0.125
cicero.pro_a_cluentio,6.0,"quam, ob, res, ab, tu, iudex, ante, quam, de, ipse, causa, dico, incipio, hic, postulo, primus, is, qui, aequus, sum, ut, ne, quis, huc, praeiudico, affero, etenim, non, modo, auctoritas, sed, etiam, nomen, iudex, amitto, nisi, hic, ex, ipse, causa, iudico, si, ad, causa, iudicium, iam, facio, domus, defero, deinde, si, quam, opinio, iam, uester, mens, comprehendo, si, is, ratio, conuello, si, oratio, labefacto, si, denique, uereor, extorqueo, ne, repugno, eo, animus, uester, aut, libet, aut, aequus, remittas, tum, autem, cum, ego, unus, quisque, de, res, dico, et, diluo, ne, ipse, qui, contrarius, sum, taceo, cogitatio, uester, subicio, sed, ad, exter, exspecto, ego, meus, dico, ordo, seruaris, patior, cum, peroraro, tum, si, quis, sum, praetereo, animus, requiro",117,"NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN",0.038,-0.004,"tu, hic, hic",0.026
cicero.pro_a_cluentio,7.0,"ego, ego, iudex, ad, is, causa, accedo, qui, iam, per, annus, octo, continuus, ex, contrarius, pars, audio, atque, ipse, opinio, homo, taceo, prope, conuinco, atque, damno, sum, facilis, intellego, sed, si, qui, ego, deus, uester, ad, ego, audio, beneuolentia, concilio, efficio, profecto, ut, intellego, nihil, sum, homo, tam, timeo, quam, inuidia, nihil, innocens, suscipio, inuidia, tam, opto, quam, aequus, iudicium, qui, in, hic, unus, denique, fallo, infamia, finis, aliqui, atque, exitus, reperio, quam, ob, res, magnus, ego, spes, teneo, si, qui, sum, in, causa, explicaris, atque, omnis, dico, consequor, possum, hic, locus, consido, uester, qui, ille, horribilis, aulus, cluentio, atque, formidulosus, sum, puto, is, tandem, is, fortuna, miser, multus, iacto, portus, atque, perfugium, sum",114,"NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, 0.0, NaN, NaN, NaN, -1.0, NaN",-0.018,-0.053,"conuinco, damno, inuidia, innocens, inuidia, hic, fallo, infamia, hic, horribilis, miser",0.096
cicero.pro_a_cluentio,8.0,"tametsi, permultus, sum, qui, ego, ante, quam, de, causa, dico, de, communis, inuidia, periculum, dico, sum, uideo, tamen, ne, diu, oratio, meus, suspendo, exspectatio, uester, teneo, aggredior, ad, crimen, cum, ille, deprecatio, iudex, qui, ego, saepis, utor, sum, intellego, sic, ut, ego, audio, quasi, hic, tempus, hic, causa, primus, dico, sicut, dico, non, quasi, saepe, iam, dictum, et, numquam, probo, sum, hodiernus, enim, dies, primus, ueto, iste, crimen, diluo, potestas, sum, do, ante, hic, tempus, error, in, hic, causa, atque, inuidia, uerso, sum, quam, ob, res, dum, multus, annus, accusatio, breuis, dilucidus, respondeo, quaeso, ut, ego, iudex, sicut, facio, instituo, benignus, attendo, audio",103,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, -1.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, -1.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN",-0.034,-0.068,"inuidia, crimen, hic, hic, crimen, hic, hic, inuidia",0.078
cicero.pro_a_cluentio,9.0,"con-rumpo, dico, aulus, clueo, iudicium, pecunia, quo, inimicus, innocens, statium, albium, condemno, ostendo, iudex, primus, quoniam, caput, ille, atrocitas, atque, inuidia, sum, innocens, pecunia, circumuenio, nemo, umquam, magnus, crimen, grauis, testis, sum, in, iudicium, uoco, deinde, is, de, is, praeiudicium, sum, facio, ab, ipse, iudex, ab, qui, condemno, sum, ut, non, modo, ab, idem, sed, ne, ab, alius, quidem, ullus, absoluo, ullus, modo, possum, cum, hic, doceo, tum, ille, ostendo, qui, magnus, requiro, intellego, iudicium, ille, pecunia, sum, temptas, non, ab, cluentio, sed, contra, clueo, facio, ut, intellego, in, totus, ille, causa, quis, res, ipse, fero, quis, error, affingo, quis, inuidia, conflo",102,"NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, 0.5, 0.5, NaN, 0.0, NaN, -1.0, NaN, -1.0, NaN, 0.5, 0.0, NaN, -0.5, NaN, 0.0, -1.0, -0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, NaN",-0.029,-0.069,"pecunia, innocens, inuidia, innocens, pecunia, crimen, hic, pecunia, inuidia",0.088
cicero.pro_a_cluentio,10.0,"primus, igitur, ille, sum, ex, quo, intellego, possum, debeo, clueo, magnus, opus, causa, confido, qui, certus, crimen, et, testis, fretus, ad, accuso, descendo, hic, locus, facio, ego, iudex, sum, ut, tu, breuis, ille, qui, albus, sum, condemno, crimen, expono, abs, tu, peto, oppianice, ut, ego, inuitus, de, pater, tuus, causa, dico, existimo, adduco, fides, atque, officium, defensio, etenim, tu, si, in, praesens, non, possum, tamen, multus, ego, ad, satis, facio, reliquus, tempus, facultas, do, cluentio, nisi, nunc, satis, facio, postea, ego, satis, facio, potestas, non, sum, simul, et, ille, quis, sum, qui, dubitaris, debeo, contra, damno, et, mortuus, pro, incolumis, et, pro, uiuo, dico, cum, ille, in, qui, dico, damnatio, omnis, ignominia, periculum, iam, aufero, mors, uerus, etiam, dolor, hic, autem, pro, quo, dico, nihil, possum, offensio, accipio, sine, acerbus, animus, sentio, atque, molestia, et, sine, superus, dedecor, uita, et, turpitudo",141,"0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.0, NaN, NaN, 0.5, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, 0.0, 0.0, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, -1.0, NaN, NaN, -1.0, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, 0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0",-0.025,-0.078,"crimen, hic, tu, crimen, tu, tu, damno, damnatio, ignominia, hic, acerbus, dedecor, turpitudo",0.092
cicero.pro_a_cluentio,11.0,"atque, ut, intellego, clueo, non, accusatorius, animus, non, ostentatio, aliqui, aut, gloria, adduco, sed, nefarius, iniuria, cottidianus, insidiae, propono, ante, oculus, uita, periculum, nomen, oppianici, defero, paulus, longus, exordium, res, demonstro, peto, qui, quaeso, iudex, ne, molestus, patior, principia, enim, cognosco, multus, facilis, exter, intellego, aulus, clueo, habitus, sum, pater, hic, iudex, homo, non, solus, municipium, larinatis, ex, quo, sum, sed, etiam, regio, ille, et, uicinitas, uirtus, existimatio, nobilitas, princeps, is, cum, sum, mortuus, sulla, et, pompeius, consul, relinquo, hic, annus, xu, natus, grandis, autem, et, nubilis, filia, qui, breuis, tempus, post, pater, mors, nubo, aulus, aurio, melinus, consobrinus, suus, adulescens, in, primus, ut, tum, habeo, inter, suus, et, honestus, et, nobilis, cum, sum, is, nuptiae, plenus, dignitas",118,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, -1.0, NaN, NaN, NaN, NaN, 0.0, 0.0, -1.0, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 1.0, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, 1.0",0.025,-0.047,"ostentatio, nefarius, insidiae, oppianici, hic, hic, nubo, adulescens, honestus, nuptiae",0.085
cicero.pro_a_cluentio,12.0,"plenus, concordia, repens, sum, exorior, mulier, importunus, nefarius, libido, non, solus, dedecor, uerus, etiam, scelus, coniungo, nam, sassia, mater, hic, habeo, mater, enim, ab, ego, in, omnis, causa, tametsi, in, hic, hostilis, odium, et, crudelitas, sum, mater, inquam, appello, neque, umquam, ille, ita, de, suus, scelus, et, immanitas, audio, ut, natura, nomen, amitto, quo, enim, sum, ipse, nomen, amo, indulgeo, maternus, hic, ille, mater, qui, multus, iam, annus, et, nunc, cum, magnus, filius, interficio, cupio, singularis, scelus, magnus, odium, dignus, sum, duco, is, igitur, mater, habeo, melinus, ille, adulescens, gener, suus, contra, quam, fas, sum, amor, capio, primus, neque, is, ipse, diu, quisquis, modo, possum, in, ille, cupiditas, contineo, deinde, ita, flagraris, coepio, amentia, sic, inflammo, fero, libido, ut, is, non, pudor, non, pietas, non, macula, familia, non, homo, fama, non, filis, dolor, non, filia, maeror, ab, cupiditas, reuoco",139,"0.0, 1.0, 0.0, NaN, NaN, 0.0, -1.0, -1.0, -0.5, NaN, -0.5, NaN, 0.5, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, -1.0, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, -1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, -1.0, 0.0, -1.0, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, 0.5, NaN, 0.0, 1.0, NaN, NaN, -1.0, NaN, NaN, -1.0, NaN, -0.5, NaN",-0.061,-0.112,"mulier, importunus, nefarius, libido, dedecor, scelus, hic, hic, hostilis, crudelitas, scelus, immanitas, indulgeo, hic, interficio, scelus, adulescens, amentia, inflammo, libido, pudor, macula",0.158
cicero.pro_a_cluentio,13.0,"animus, adulescens, nondum, consilium, atque, ratio, firmo, pellicio, is, omnis, res, qui, ille, aetas, capio, atque, delenio, possum, filia, qui, non, solus, ille, communis, dolor, muliebris, in, is, modus, uir, iniuria, ango, sed, nefarius, mater, paelicatum, fero, non, possum, de, quo, ne, queror, quidem, sui, sine, scelus, possum, arbitror, ceterus, suus, tantus, malus, ignarus, sum, cupio, in, hic, amo, suus, frater, manus, et, gremium, maeror, et, lacrima, consenesco",68,"0.5, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, 0.0, -1.0, NaN, NaN, NaN, 0.5, 0.5, -1.0, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, -1.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, -1.0, NaN, NaN, NaN",-0.081,-0.11,"adulescens, muliebris, nefarius, scelus, hic",0.074
cicero.pro_a_cluentio,14.0,"ecce, autem, subeo, diuortium, qui, solacium, malus, omnis, sum, uideo, discedo, ab, melinus, clueo, ut, in, tantus, iniuria, non, inuito, ut, ab, uir, non, libet, tum, uerus, ille, egregius, atque, praeclarus, mater, palam, exsultaris, laetitia, triumpharis, gaudium, coepio, uictrix, filia, non, libido, diu, suspicio, obscurus, laedo, fama, suus, nolo, lectus, ille, genial, qui, biennium, ante, filia, suus, nubo, sterno, in, idem, domus, sui, ornaris, et, sterno, expello, atque, exturbo, filia, iubeo, nubo, gener, socrus, nullus, auspex, nullus, auctor, funestus, omen, omnis",81,"NaN, NaN, NaN, NaN, NaN, 1.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, -0.5, NaN, -0.5, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN",0.012,-0.049,"libido, nubo, nubo, socrus, funestus",0.062
cicero.pro_a_cluentio,15.0,"o, mulier, scelus, incredibilis, et, praeter, hic, unus, in, omnis, uito, inaudio, o, libido, effreno, et, indomitus, o, audacia, singularis, nonne, timeo, si, paruus, uis, deus, homo, fama, at, ille, ipse, nox, fax, ille, nuptial, non, limen, cubiculum, non, cubile, filia, non, paries, denique, ipse, superus, testis, nuptiae, perfringo, atque, prosterno, omnis, cupiditas, atque, furor, uinco, pudor, libido, timor, audacia, ratio, amentia",62,"NaN, 0.0, -1.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, 0.0, 1.0, 0.0, 0.0, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, -1.0, NaN, 0.5, -0.5, -0.5, 1.0, 0.0, -1.0",-0.016,-0.089,"mulier, scelus, hic, libido, effreno, indomitus, audacia, fax, nuptiae, furor, pudor, libido, audacia, amentia",0.226
cicero.pro_a_cluentio,16.0,"fero, hic, communis, dedecus, familia, cognatio, nomen, grauis, filius, augeo, autem, is, molestia, cottidianus, querimonia, et, assiduus, fleo, soror, statuo, tamen, nihil, sui, in, tantus, iniuria, atque, tantus, scelus, mater, grauis, sum, facio, quam, ut, ille, ne, uto, ne, qui, uideo, sine, superus, animus, dolor, non, possum, is, si, mater, uto, non, solus, uideo, uerus, etiam, probaris, suus, iudicium, puto",60,"NaN, NaN, 0.0, -1.0, 0.5, 0.0, 0.0, -0.5, 0.0, NaN, NaN, NaN, -1.0, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN",-0.075,-0.117,"hic, dedecus, scelus",0.05
cicero.pro_a_cluentio,17.0,"initium, qui, hic, cum, mater, sum, simultas, audio, pertineo, hic, ad, causa, tum, cum, reliquus, cognosco, intellego, nam, ille, ego, non, praetereo, quicumque, modus, sum, mater, tamen, in, iudicium, filis, de, turpitudo, parens, dico, uix, oportet, non, sum, ad, ullus, causa, idoneus, iudex, si, hic, qui, in, communis, homo, sensus, atque, in, ipse, natura, pono, atque, infigo, sum, is, ego, qui, ad, homo, periculum, defendo, adiungo, non, uideo, facilis, intellego, non, modo, reticeo, homo, parens, iniuria, sed, etiam, animus, aequus, fero, oportet, sed, ego, is, qui, fero, possum, fero, qui, taceo, taceo, sum, arbitror",94,"NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, -1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.5, -1.0, NaN, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.005,-0.043,"hic, hic, turpitudo, hic",0.043
