Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
tacitus.de_origine_et_situ_germanorum,1.0,"germania, omnis, ab, galli, raetisque, et, pannoniis, rhenus, et, danubio, flumen, ab, sarmatis, dacisque, mutuus, metus, aut, mons, separo, ceterus, oceanus, amb-eo, fero, sinus, et, insularis, immensus, spatior, complector, nuper, cognosco, quidam, gens, atque, rex, qui, bellum, aperio, rhenus, raeticaris, alpium, inaccessus, atque, praeceps, uertex, ortus, modicus, flecto, in, occaedes, uerro, septentrional, oceanus, misceo, danubius, mollis, et, clemens, edo, mons, abnobae, iugum, effundo, multus, populus, adeo, donec, in, ponticum, mare, sex, meatus, erumpo, septimus, os, palus, haurio",77,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN",0.0,-0.013,,0.0
tacitus.de_origine_et_situ_germanorum,2.0,"ipse, germani, indigena, credo, minimus, alius, gens, aduentus, et, hospitium, misceo, quia, neque, terra, olim, sed, classis, adueho, qui, muto, sedes, quaero, et, immensus, ultra, ut, sic, dico, aduerro, oceanus, raris, ab, orbis, noster, nauis, adeo, quis, porro, praeter, periculum, horridus, et, ignosco, mare, asia, aut, africa, aut, italia, relinquo, germania, peto, informis, terra, asper, caelum, tristis, cultus, aspicio, nisi, si, patria, sum, celebro, carmen, antiquus, qui, unus, apud, ille, memoria, et, annalis, genus, sum, tuistonem, deus, terra, edo, is, filius, mannus, origo, gens, conditor, mannus, tres, filius, ad-signo, e, qui, nomen, propior, oceanus, ingaeuones, medius, herminones, ceterus, istaeuones, uoco, quidam, ut, in, licentia, uetustas, multus, deus, orior, multus, gens, appellatio, marsos, gambriuios, sueui, uandilios, ad-firmo, is, uerus, et, antiquus, nomen, ceterum, germania, uocabulis, recens, et, nuper, addo, quoniam, qui, primus, rhenus, transgredior, gallus, expello, atque, nunc, tungri, tunc, germanus, uoco, sum, ita, natio, nomen, non, gens, eualesco, paulatim, ut, omnis, primus, ab, uictor, ob, metus, mox, et, ab, sui, ipse, inuenio, nomen, germanus, uoco",165,"NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, -0.5, 0.5, -1.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -0.5, -0.5, 0.0, 0.0, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN",-0.024,-0.042,"germani, classis, licentia, gallus, natio",0.03
tacitus.de_origine_et_situ_germanorum,3.0,"sum, et, apud, is, herculis, memoro, primus, omnis, uir, fors, eo, in, proelio, cano, sum, ille, hic, quoque, carmen, qui, refero, qui, baritus, uoco, accendo, animus, sum, pugna, fortuna, ipse, cantus, auguro, terreo, enim, trepido, prout, sono, acies, neque, tam, uox, ille, quam, uirtus, concentus, uideo, adfectatur, praecipuus, asperitas, sonus, et, frango, murmur, obiecta, ad, os, scutum, quo, plenus, et, grauis, uox, repercutio, intumesco, ceterum, et, ulixes, -ne, quidam, opinor, longus, ille, et, fabulosus, error, in, hic, oceanus, defero, adeo, germania, terra, asciburgiumque, qui, in, ripa, rhenus, sino, hodie, incolo, ab, ille, constituo, nomino, ara, quin, etiam, ulixi, consecro, adicio, laertae, pater, nomen, idem, locus, olim, reperio, monumentum, et, tumulus, quidam, graecus, littera, inscribo, in, confinis, germania, raetiaeque, adhuc, extaris, qui, neque, confirmo, argumentum, neque, refello, in, animus, sum, ex, ingenium, suus, quisque, demo, uel, addo, fides",137,"NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, -1.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0",0.011,-0.022,"hic, hic",0.015
tacitus.de_origine_et_situ_germanorum,4.0,"ipse, is, opinio, accedo, qui, germania, populus, nullus, alius, natio, conubium, inficio, proprius, et, sincerus, et, tantus, suus, similis, gens, extitisse, arbitror, unde, habitus, quoque, corpus, tamquam, in, tantus, homo, numerus, idem, omnis, trux, et, caeruleus, oculus, rutilus, coma, magnus, corpus, et, tantus, ad, impetus, ualidus, labor, atque, opus, non, idem, patientia, minimus, sitis, aestus, tolero, frigus, atque, inedia, caelum, solo, assuesco",62,"NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 1.0, -0.5, NaN, 0.5, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, -0.5, 0.5, NaN, NaN",0.016,-0.024,"natio, trux",0.032
tacitus.de_origine_et_situ_germanorum,5.0,"terra, etsi, aliquantus, species, differo, in, uniuersus, tamen, aut, silua, horridus, aut, palus, foedus, umidus, qui, gallia, uentosus, qui, noricum, atque, pannonia, aspicio, satis, ferax, frugiferaris, arbor, impatiens, pecus, fecundus, sed, plerusque, improcerus, ne, armentum, quidem, suus, honor, aut, gloria, frons, numerus, gaudeo, is, solus, et, gratus, ops, sum, argentum, et, aurum, propitius, an, irascor, dius, nego, dubito, neque, tamen, ad-firmo, nullus, germania, uena, argentum, aurum, gigno, quis, enim, scrutor, sum, possessio, -ne, et, usus, haud, perinde, afficio, sum, uideo, apud, ille, argenteus, uasum, legatus, et, princeps, is, munus, do, non, in, alius, uilitas, quam, qui, humo, fingo, quamquam, propior, ob, usus, commercium, aurum, et, argentum, in, pretium, habeo, formo, quidam, noster, pecunia, agnosco, atque, eligo, interior, simplicius, et, antiquus, permutatio, mercium, uto, pecunia, probo, uetus, et, diu, nota, serro, bigatus, argentum, quoque, magis, quam, aurum, sequor, nullus, adfectio, animus, sed, quia, numerus, argenteus, facilis, usus, sum, promiscuus, atque, uilis, mercor",151,"0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, -0.5, NaN, 1.0, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, 0.0, NaN, NaN, NaN, -0.5, NaN, 1.0, 0.0, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -0.5, NaN",0.04,-0.03,"fingo, pretium, pecunia, pecunia, bigatus, uilis, mercor",0.046
tacitus.de_origine_et_situ_germanorum,6.0,"ne, ferrum, quidem, supersum, sicut, ex, genus, telum, colligo, raris, gladius, aut, magnus, lancea, uto, hasta, uel, ipse, uocabulum, framea, gero, angustus, et, breuis, ferrum, sed, ita, acer, et, ad, usus, habilis, ut, idem, telum, prout, ratio, posco, uel, comminus, uel, eminus, pugno, et, eques, quidem, scutum, framea, contineo, sum, pedito, et, missile, spargo, multus, singuli, atque, in, immensus, uibro, nudus, aut, sagulum, leuo, nullus, cultus, iactatio, scutum, tantus, lectus, color, distinguo, paucus, lorica, uix, unus, alter, cassus, aut, galea, equus, non, forma, non, uelocitas, conspicuus, sed, neque, uariaris, gyrus, in, mos, nos, doceo, in, recingo, aut, unus, flecto, dexter, ago, ita, coniungo, orbis, ut, nemo, posterus, sum, in, uniuersus, aestimo, multus, penis, pedito, robur, eo, misceo, proelio, apto, et, congruo, ad, equester, pugna, uelocitas, pedes, qui, ex, omnis, iuuentus, deligo, ante, acies, loco, definio, et, numerus, centeni, ex, singuli, pagus, sum, is, ipse, inter, suus, uoco, et, qui, primus, numerus, sum, iam, nomen, et, honor, sum, acies, per, cuneus, compono, cedo, locus, dummodo, rursus, insto, consilium, quam, formido, arbitror, corpus, suus, etiam, in, dubius, proelium, refero, scutum, relinquo, praecipuus, flagitium, neque, aut, sacrum, adsum, aut, concilium, ineo, ignominiosus, fas, multus, superstito, bellum, infamia, laqueus, finio",196,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, -0.5, -1.0, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, 0.0, -1.0, NaN, NaN",-0.013,-0.038,"proelium, flagitium, ignominiosus, infamia",0.02
tacitus.de_origine_et_situ_germanorum,7.0,"rex, ex, nobilitas, dux, ex, uirtus, sumo, neque, rex, infinitus, atque, liber, potestas, et, dux, exemplum, potis, quam, imperium, si, promptus, si, conspicuus, si, ante, acies, ago, admiratio, praesum, ceterum, neque, animaduerto, neque, uincio, ne, uerberaris, quidem, nisi, sacerdos, permitto, non, quasi, in, poena, neque, dux, iussus, sed, uelut, deus, impero, qui, adsum, bellor, credo, effigio, et, signum, quidam, detraho, lucus, in, proelium, fero, quisque, praecipuus, fortitudo, incitamentum, sum, non, casus, neque, fortuitus, conglobatio, turma, aut, cuneus, facio, sed, familia, et, propinquitas, et, in, propior, pignus, unde, femina, ululo, audio, unde, uagitus, infer, hic, quisque, sancio, testis, hic, magnus, laudator, ad, mater, ad, coniunx, uulnero, fero, neque, ille, numeraris, et, exigo, plaga, paueo, cibus, et, hortamen, pugno, gesto",118,"0.0, NaN, 1.0, 0.5, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.5, NaN, 0.5, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN",0.042,-0.021,"poena, proelium, hic, hic",0.034
tacitus.de_origine_et_situ_germanorum,8.0,"memoria, prodeo, quidam, acies, inclino, iam, et, labo, ab, femina, restituo, constantia, prex, et, obiectus, pector, et, monstro, comminus, captiuitas, quam, longus, impatiens, femina, suus, nomen, timeo, adeo, ut, efficax, obligo, animus, ciuitas, qui, inter, obses, puella, quoque, nobilis, impero, insum, quin, etiam, sancio, aliquis, et, prouidus, puto, neque, aut, consilium, is, aspernor, aut, respondeo, neglego, uideo, sub, diuus, uespasiano, ueledam, diu, apud, plerus, numen, locus, habeo, sed, et, olim, auriniam, et, complures, alius, ueneror, sum, non, adulatio, neque, tamquam, facio, dea",82,"1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, -0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN",0.049,-0.024,"aspernor, adulatio",0.024
tacitus.de_origine_et_situ_germanorum,9.0,"deus, magnus, mercurium, colo, qui, certus, dies, humanus, quoque, hostia, litaris, fas, habeo, herculis, atque, martes, concedo, animal, placo, pars, sueui, et, isidi, sacrifico, unde, causa, et, origo, peregrinus, sacro, parum, comperio, nisi, qui, signum, ipse, in, modus, liburnae, figuro, doceo, adueho, religio, ceterum, neque, cohibeo, paries, deus, neque, in, ullus, humanus, ora, species, adsimularis, ex, magnitudo, caelestis, arbitror, lucus, atque, nemus, consecro, deus, nomen, appello, secerno, ille, qui, solus, reuerendus, uideo",72,"0.0, 0.0, NaN, NaN, NaN, 0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, -0.5, 1.0, NaN",0.035,-0.007,"hostia, animal",0.028
tacitus.de_origine_et_situ_germanorum,10.0,"auspicium, sors, ut, qui, magnus, obseruo, sors, consuetudo, simplex, uirga, frugifer, arbor, decisus, in, surculus, amputo, is, nosco, quidam, discerno, super, candida, uestis, temere, atque, fortuitus, spargo, mox, si, publicus, consulto, sacerdos, ciuitas, sin, priuatim, ipse, pater, familia, preco, deus, caelum, suspicio, ter, singuli, tollo, suffero, secundus, imprimo, ante, nota, interpretor, si, prohibeo, nullus, de, idem, res, in, idem, dies, consultatio, sin, permitto, auspicium, adhuc, fides, exigo, et, ille, quidem, etiam, hic, notus, auis, uoco, uolo, interrogo, proprius, gens, equus, quoque, praesagium, atque, moneo, experior, publicus, alo, idem, nemus, atque, lucus, candidus, et, nullus, mortal, opus, contingo, qui, premo, sacro, currus, sacerdos, atque, rex, uel, princeps, ciuitas, comito, hinnio, atque, fremo, obseruo, neque, ullus, auspicium, magnus, fides, non, solus, apud, plebs, sed, apud, proceres, apud, sacerdos, sui, enim, minister, deus, ille, conscius, puto, sum, et, alius, obseruatio, auspicium, qui, grauis, bellum, euenio, exploro, is, gens, cum, qui, bellum, sum, captiuus, quisquis, modo, intercipio, cum, eligo, popularis, suus, patrius, quisque, arma, committo, uictoria, hic, uel, ille, pro, praeiudicium, accipio",168,"0.0, -1.0, NaN, NaN, 0.0, NaN, -1.0, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.0, 0.5, -0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, -0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.009,-0.03,"uestis, hic, conscius, captiuus, popularis, hic",0.036
tacitus.de_origine_et_situ_germanorum,11.0,"de, paruus, res, princeps, consulto, de, magnus, omnis, ita, tamen, ut, is, quoque, qui, penis, plebs, arbitrium, sum, apud, princeps, prae-tracto, coeo, nisi, quis, fortuitus, et, subeo, incido, certus, dies, cum, aut, incoho, luna, aut, impleo, nam, ago, res, hic, auspico, initium, credo, neque, dies, numerus, ut, nos, sed, nox, computo, sic, constituo, sic, condico, nox, duco, dies, uideo, ille, ex, libertas, uitium, qui, non, simul, neque, ut, iubeo, conuenio, sed, et, alter, et, tertius, dies, cunctatio, coeo, absumo, ut, turba, placeo, consido, armatus, silentium, per, sacerdos, qui, tum, et, coerceo, ius, sum, impero, mox, rex, uel, princeps, prout, aetas, quisque, prout, nobilitas, prout, decus, bellum, prout, facundia, sum, audio, auctoritas, suadeo, magis, quam, iubeo, potestas, si, displiceo, sententia, fremo, aspernor, sin, placeo, framea, concutio, honoro, assensus, genus, sum, arma, laudo",131,"NaN, 0.0, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.5, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN",0.034,-0.008,"hic, coerceo, aspernor",0.023
tacitus.de_origine_et_situ_germanorum,12.0,"licet, apud, concilium, accuso, quoque, et, discrimen, capio, intendo, distinctio, poena, ex, delinquo, proditor, et, transfuga, arbor, suspendo, ignauus, et, imbellis, et, corpus, infamo, caenum, atque, palus, inicio, insuper, creo, mergo, diuersitas, supplicium, illic, respicio, tamquam, scelus, ostendo, oportet, dum, punior, flagitium, abscondo, sed, et, leuis, delinquo, pro, modo, poena, equus, pecus, numerus, conuinco, multo, pars, multus, rex, uel, ciuitas, pars, ipse, qui, uindico, uel, propinquus, is, exsoluo, eligo, in, idem, concilium, et, princeps, qui, ius, per, pagus, uicus, reddo, centeni, singuli, ex, plebs, comes, consilium, simul, et, auctoritas, adsum",90,"NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, -1.0, NaN, NaN, -0.5, NaN, -1.0, NaN, NaN, -1.0, NaN, -1.0, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN",-0.083,-0.106,"poena, proditor, transfuga, ignauus, infamo, caenum, supplicium, scelus, punior, flagitium, poena, conuinco",0.133
tacitus.de_origine_et_situ_germanorum,13.0,"nihil, autem, neque, publicus, neque, priuo, res, nisi, armatus, ago, sed, arma, sumo, non, ante, quisquam, mos, quam, ciuitas, sufficio, probo, tum, in, ipse, concilio, uel, princeps, aliquis, uel, pater, uel, propinquus, scutum, framea, iuuenis, orno, hic, apud, ille, toga, hic, primus, iuuenta, honor, ante, hic, domus, pars, uideo, mox, res, publicus, insignis, nobilitas, aut, magnus, pater, mereo, princeps, dignatio, etiam, adulescentulis, ad-signo, ceterus, robustus, atque, iam, pridem, probo, ad-grego, neque, rubor, inter, comes, aspicio, gradus, quin, etiam, ipse, comitor, habeo, iudicium, is, qui, sector, magnus, et, comes, aemulatio, qui, primus, apud, princeps, suus, locus, et, princeps, qui, plurimus, et, acer, comes, hic, dignitas, hic, uireo, magnus, semper, elector, iuuenis, globus, circumdaris, in, pax, decus, in, bellum, praesidium, neque, solus, in, suus, gens, quisque, sed, apud, finitimus, quoque, ciuitas, is, nomen, is, gloria, sum, si, numerus, atque, uirtus, comitor, emineo, expeto, enim, legatio, et, munus, orno, et, ipse, plerusque, fama, bellum, profligo",152,"NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, 0.0, 0.0, 1.0, NaN, 0.0, 0.0, NaN, 0.5, 0.5, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, 0.5, NaN, 0.5, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, -0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN",0.076,-0.007,"hic, hic, hic, rubor, hic, hic, finitimus",0.046
