Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
tacitus.historiae,1.1,"initium, ego, opus, seruus, galba, iterum, titus, uinius, consul, sum, nam, post, condo, urbs, octingenti, et, uiginti, prior, aeuum, annus, multus, auctor, refero, dum, res, populus, romanus, memoro, par, eloquentia, atque, libertas, postquam, bello, apud, actium, atque, omnis, potentia, ad, unus, confero, pax, intersum, magnus, ille, ingenium, cedo, simul, uereor, multus, modus, infringo, primus, inscitia, res, publicus, ut, alienus, mox, libido, assentor, aut, rursus, odium, aduerro, dominor, ita, neuter, cura, posteritas, inter, infensus, uel, obnoxius, sed, ambitio, scriptor, facilis, auersor, obtrectatio, et, liuor, pronus, auris, accipio, quippe, adulatio, foedus, crimen, seruitus, malignitas, fallo, species, libertas, insum, ego, galba, otho, uitellius, neque, beneficium, neque, iniuria, cognosco, dignitas, noster, ab, uespasiano, incoho, ab, titus, augeo, ab, domitianus, longus, proueho, non, abnuo, sed, incorruptus, fides, profiteor, neque, amor, quisquam, et, sine, odium, dico, sum, qui, si, uito, suppedito, principatus, diuus, neruae, et, imperium, traiani, uber, securus, materia, senectus, sepono, rarus, tempus, felicitas, ubi, sentio, qui, uelis, et, qui, sentio, dico, licet",158,"NaN, NaN, 0.5, -0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.5, 0.0, 0.0, 0.0, NaN, -0.5, NaN, -0.5, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, -1.0, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, -1.0, NaN, -0.5, NaN, NaN, NaN, NaN, -0.5, -1.0, -1.0, -0.5, -1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, -1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 1.0, 1.0, NaN, NaN, 1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 1.0, 1.0, 0.0, 0.0, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN",0.013,-0.079,"libido, ambitio, adulatio, crimen, seruitus, fallo",0.038
tacitus.historiae,1.2,"opus, aggredior, opimus, casus, atrox, proelium, discors, seditio, ipse, etiam, pax, saeuus, quattuor, princeps, ferrum, interimo, trini, bellum, ciuile, multus, externus, atque, plerusque, permisceo, prosper, in, orior, aduerro, in, occaedes, res, turbo, illyricus, gallia, nuto, perdomo, britannia, et, statim, omitto, coorior, in, nos, sarmata, atque, sueui, gens, nobilito, clades, mutuus, daci, moueo, prope, etiam, parthi, arma, fallo, nero, ludibrium, iam, uerus, italia, nouus, clades, uel, post, longus, saeculum, series, repeto, affligo, haurio, aut, obruo, urbs, fecundus, campania, os, et, urbs, incendium, uasto, consumo, antiquus, delubrum, ipse, capitolium, ciuis, manus, incensum, polluo, caerimonia, magnus, adulterium, plenus, exsilium, mare, inficio, caedes, scopulus, atrox, in, urbs, saeuio, nobilitas, ops, omitto, gero, honor, pro, crimen, et, ob, uirtus, certus, exitium, neque, paruus, praemium, delator, inuideo, quam, scelus, cum, alius, sacerdotium, et, consulatus, ut, spolium, adipiscor, procuratio, alius, et, interior, potentia, ago, uerto, cunctus, odium, et, terror, corrumpo, in, dominus, seruio, in, patronus, libertus, et, qui, desum, inimicus, per, amicus, opprimo",156,"0.5, NaN, NaN, 0.0, -1.0, -1.0, NaN, NaN, NaN, NaN, 0.5, -1.0, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, -1.0, NaN, 0.5, NaN, 1.0, -1.0, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, 0.0, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, 0.5, 0.0, -0.5, 0.0, -1.0, 0.0, NaN, -0.5, 0.0, -1.0, NaN, 0.5, NaN, 1.0, 0.0, NaN, NaN, 1.0, NaN, -1.0, NaN, NaN, 1.0, 0.5, -1.0, NaN, 0.0, 1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, -1.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, 1.0, NaN",-0.003,-0.096,"proelium, seditio, saeuus, sarmata, parthi, fallo, ludibrium, uasto, polluo, adulterium, caedes, saeuio, crimen, delator, scelus",0.096
tacitus.historiae,1.3,"non, tamen, adeo, uirtus, sterilis, saeculis, ut, non, et, bonus, exemplum, prodo, comitor, profugus, liber, mater, sequor, maritus, in, exsilium, coniunx, propinquus, audeo, consto, gener, contumax, etiam, aduerro, tormentum, seruus, fides, superus, clarus, uir, necessitas, fortis, tolero, et, laudo, antiquus, mors, par, exitus, praeter, multiplex, res, humanus, casus, caelum, terra, prodigium, et, fulmen, moneo, et, sum, praesagium, laetus, tristis, ambiguus, manifestus, neque, enim, umquam, atrox, populus, romanus, clades, magus, iustus, indicium, approbo, sum, non, sum, cura, deus, securitas, noster, sum, ultio",81,"NaN, NaN, NaN, 1.0, -0.5, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.0, NaN, -1.0, -0.5, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, -0.5, -0.5, 1.0, NaN, 0.5, 0.5, NaN, 0.5, NaN, NaN, NaN, 0.0, -1.0, 0.5, NaN, NaN, NaN, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, -1.0, -0.5, -0.5, NaN, NaN, NaN, -1.0, 0.0, NaN, -1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, 1.0, NaN, NaN, -1.0",-0.025,-0.136,"maritus, contumax, prodigium, ultio",0.049
tacitus.historiae,1.4,"ceterum, antequam, destino, compono, repeto, uideo, qualis, status, urbs, qui, mens, exercitus, quis, habitus, prouinciaris, quis, in, totus, terra, orbis, ualidus, quis, aeger, sum, ut, non, modo, casus, euenio, res, qui, plerusque, fortuitus, sum, sed, ratio, etiam, causa, nosco, finis, nero, ut, laetus, primus, gaudeo, impetus, sum, ita, uarius, moueo, animus, non, modo, in, urbs, apud, pater, aut, populus, aut, urbanus, miles, sed, omnis, legio, duco, concieo, euulgo, imperium, arcanus, possum, princeps, alibi, quam, roma, fio, sed, pater, laetus, usurpo, statim, libertas, licet, ut, erga, princeps, nouus, et, absum, primoris, eques, propior, gaudium, pater, pars, populus, integer, et, magnus, domus, adnecto, cliens, libertus, damno, et, exsul, in, spes, erigo, plebs, sordidus, et, circus, atque, theatrum, suesco, simul, deterior, seruus, aut, qui, adedo, bonus, per, dedecus, nero, alo, maestus, et, rumor, auidus",131,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, 0.0, NaN, 0.5, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, NaN, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.5, NaN, 0.0, 0.0, NaN, 0.0, 0.5, NaN, NaN, -1.0, NaN, 0.5, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, -0.5, NaN, NaN, NaN, 1.0, NaN, -1.0, NaN, NaN, -1.0, NaN, NaN, NaN",0.042,-0.05,"damno, sordidus, dedecus",0.023
tacitus.historiae,1.5,"miles, urbanus, longus, caesar, sacramentum, imbuo, et, ad, destituo, nero, ars, magis, et, impulsus, quam, suus, ingenium, traduco, postquam, neque, do, donatiuum, sub, nomen, galba, promitto, neque, magnus, meritum, atque, praemium, idem, in, pax, qui, in, bellum, locus, praeuenio, gra, tiam, intellego, apud, princeps, ab, legio, facio, pronus, ad, nouo, res, scelus, insuper, nymphidius, sabinus, praefectus, imperium, sui, molior, agito, et, nymphidius, quidem, in, ipse, conatus, opprimo, sed, quiuis, caput, defectio, aufero, maneo, plerusque, miles, conscientia, neque, desum, sermo, senium, atque, auaritia, galba, increpo, laudo, olim, et, militaris, fama, celebro, seueritas, is, ango, aspernor, uetus, disciplina, atque, ita, quattuordecim, annus, ab, nero, assuefacio, ut, haud, paruus, uitio, princeps, amo, quam, olim, uirtus, uereor, accedo, galba, uox, pro, res, publicus, honestus, ipse, anceps, lego, ab, sui, miles, non, emo, neque, enim, ad, hic, forma, ceterus, sum",135,"0.0, 0.5, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 1.0, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, -0.5, -0.5, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, 1.0, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN",0.033,-0.033,"scelus, conscientia, auaritia, increpo, seueritas, aspernor, honestus, emo, hic",0.067
tacitus.historiae,1.6,"inualidus, senex, titus, uinius, et, cornelius, laco, alter, deterior, mortalis, alter, ignauus, odium, flagitium, onero, contemptus, inertia, destruo, tardus, galba, iter, et, cruentus, interficio, cingonius, uarrone, consul, designo, et, petronius, turpilianus, consularis, ille, ut, nymphidius, socius, hic, ut, dux, nero, inauditus, atque, indefensus, tamquam, innocens, pereo, introitus, in, urbs, trucido, tot, mille, inermis, miles, infaustus, omen, atque, ipse, etiam, qui, occido, formidulosus, induco, legio, hispanus, remaneo, is, quam, e, classis, nero, conscribo, plenus, urbs, exercitus, insolitus, multus, ad, hic, numerus, e, germania, atque, britannia, et, illyricum, qui, idem, nero, eligo, praemitto, ad, claustra, caspius, et, bellum, qui, in, albanus, paro, opprimo, uindex, coepio, reuoco, ingens, nouus, res, materia, ut, non, in, unus, aliquis, pronus, fauor, ita, audeo, paro",118,"-1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, -1.0, NaN, -1.0, -1.0, -1.0, NaN, -1.0, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.0, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 1.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN",-0.034,-0.085,"ignauus, flagitium, inertia, cruentus, interficio, hic, innocens, infaustus, occido, classis, hic, uindex",0.102
tacitus.historiae,1.7,"fors, congruerat, ut, clodii, macri, et, fontei, capito, caedes, nuntio, macer, in, africa, haud, dubius, turbo, trebonius, garutianus, procurator, iussus, galba, capito, no, in, germania, cum, similis, coepto, cornelius, aquinus, et, fabius, ualeo, legatus, legio, interficio, antequam, iubeo, sum, qui, credo, capito, ut, auaritia, et, libido, foedus, atque, maculosus, ita, cogitatio, res, nouaris, abstineo, sed, ab, legatus, bellum, suadeo, postquam, impello, nequeo, crimen, atque, dolus, ultro, compono, et, galba, mobilitas, ingenium, an, ne, altus, scrutor, quisquis, modo, ago, quia, muto, non, possum, comprobo, ceterum, uter, caedes, sinister, accipio, et, inuideo, semel, princeps, seu, bene, seu, malus, facio, par, inuidia, affero, uenalis, cunctus, praepossum, libertus, seruus, manus, subeo, auidus, et, tamquam, apud, senex, festino, idem, nouus, aula, malus, aequus, grauis, non, aequus, excuso, ipse, aetas, galba, irrisus, atque, fastidium, sum, assuesco, iuuenta, nero, et, imperator, forma, atque, decus, corpus, ut, sum, mos, uulgus, comparo",143,"0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, -0.5, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, 0.5, -1.0, NaN, 1.0, 0.0, NaN, 0.5, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, -1.0, 0.5, -0.5, NaN, 0.5, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN",-0.017,-0.07,"caedes, interficio, auaritia, libido, maculosus, crimen, dolus, caedes, inuidia, uenalis",0.07
tacitus.historiae,1.8,"et, hic, quidem, roma, tamquam, in, tantus, multitudo, habitus, animus, sum, e, prouincia, hispaniae, praesum, cluuius, rufus, uir, facundus, et, pax, ars, bellum, inexpertus, gallia, super, memoria, uindex, obligo, recens, donum, romanus, ciuitas, et, in, posterus, tribuo, leuamentum, proximus, tamen, germanicus, exercitus, galliaris, ciuitas, non, idem, honor, habeo, quidam, etiam, finis, adimo, par, dolor, commodus, alienus, atque, suus, iniuria, metior, germanicus, exercitus, qui, periculosus, in, tantus, uis, sollicitus, et, irascor, superbia, recens, uictoria, et, metus, tamquam, alius, pars, foueo, tardus, ab, nero, de_-scio, neque, statim, pro, galba, uerginius, an, impero, nolo, dubius, defero, is, ab, miles, imperium, conuenio, fonteius, capito, occido, etiam, qui, queror, non, possum, tamen, indignor, dux, desum, abduco, uerginio, per, simulatio, amicitia, qui, non, remitto, atque, etiam, reus, sum, tamquam, suus, crimen, accipio",126,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN, 0.5, 0.0, 0.0, -0.5, NaN, NaN, 1.0, NaN, NaN, 0.0, 0.0, NaN, 0.5, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, 0.5, -1.0, 0.5, -0.5, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, -1.0, NaN, NaN, 1.0, -1.0, NaN, NaN, -1.0, 0.0, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -0.5, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN",0.004,-0.071,"hic, uindex, periculosus, superbia, occido, reus, crimen",0.056
tacitus.historiae,1.9,"superus, exercitus, legatus, hordeonius, flaccus, sperno, senecta, atque, debilitas, pes, inualidus, sine, constantia, sine, auctoritas, ne, quiesco, quidem, miles, regime, -ne, adeo, furo, infirmitas, retineo, ultro, accendo, inferus, germania, legio, diu, sine, consularis, sum, donec, missus, galba, aulus, uitellius, adsum, censor, uitellii, atque, ter, consul, filius, is, satis, uideo, in, britannicus, exercitus, nihil, ira, non, sanus, alius, legio, per, omnis, ciuilis, bellum, moueo, innocens, egero, seu, quia, procul, et, oceanus, diuido, seu, creber, expeditio, doceo, hostis, potis, odi, quies, et, illyricum, quamquam, excio, ab, nero, legio, dum, in, italia, cunctor, uerginium, legatio, adeo, sed, longus, spatium, discerno, exercitus, qui, saluber, sum, ad, contineo, militaris, fides, neque, uitium, neque, uis, misceo",110,"NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, -1.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, -1.0, NaN, 1.0, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, 0.0, 1.0, NaN, -1.0, NaN, 1.0, NaN",0.009,-0.055,"furo, innocens",0.018
tacitus.historiae,1.1,"orior, adhuc, immotus, syria, et, quattuor, legio, obtineo, licinius, mucianus, uir, secundus, aduerro, iuxta, famosus, insignis, amicitia, iuuenis, ambitiosus, colo, mox, attero, ops, lubricus, status, suspicio, etiam, claudii, iracundia, in, secerno, asia, sepono, tam, prope, ab, exulis, sum, quam, postea, ab, princeps, luxuria, industria, comitas, arrogantia, malus, bonus, ars, misceo, nimius, uoluptas, cum, uaco, quotiens, expedio, magnus, uirtus, palam, laudo, secerno, malus, audio, sed, apud, subicio, apud, pro, ximos, apud, collega, uarius, illecebra, possum, et, qui, expedio, sum, trado, imperium, quam, obtineo, bellum, iudaicus, flauus, uespasianus, dux, is, nero, deligo, tres, legio, administro, neque, uespasiano, aduerro, galba, uoueo, aut, animus, quippe, titus, filius, ad, ueneratio, colo, is, mitto, ut, suus, locus, memoro, occulo, fatum, et, ostendo, atque, respondeo, destino, uespasiano, libo, is, imperium, post, fortuna, credo",126,"NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.0, 1.0, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, 0.0, -0.5, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, -0.5, 0.5, 1.0, NaN, -1.0, 1.0, 0.0, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN",0.032,-0.036,"famosus, ambitiosus, exulis, luxuria, nimius, illecebra",0.048
tacitus.historiae,1.11,"aegyptus, copia, qui, coerceo, iam, inde, ab, diuus, augustus, eques, romanus, obtineo, locus, rex, ita, uideo, expedio, prouincia, aditus, difficilis, annona, fecundus, superstitio, atque, lasciuia, discordo, et, mobilis, inscius, lex, ignarus, magistratus, domus, retineo, rego, tum, tiberius, alexander, idem, natio, africa, atque, legio, in, is, interficio, clodius, macer, contineo, qualiscumque, princeps, post, experimentum, dominus, paruus, duo, mauretania, raetia, noricum, thracia, et, qui, alius, procurator, cohibeo, ut, quisque, exercitus, uicina, ita, in, fauor, aut, odium, contactus, ualeo, ago, inermis, prouincia, atque, ipse, in, primus, italia, quicumque, seruitium, expono, in, pretium, bellum, cedo, sum, hic, sum, res, romanus, status, cum, seruus, galba, iterum, titus, uinius, consul, incoho, annus, sui, ulter, res, publicus, prope, superus",112,"NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.0, NaN, -0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.5, -1.0, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, -1.0, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN",0.018,-0.045,"coerceo, lasciuia, natio, interficio, pretium, hic",0.054
tacitus.historiae,1.12,"paucus, post, kalendae, ianuarius, dies, pompeius, propinquus, procurator, e, belgicus, littera, affero, superus, germania, legio, rumpo, sacramentum, reuerendus, imperator, alius, flagito, et, senatus, atque, populus, romanus, arbitrium, eligo, permitto, quo, seditio, mollis, accipio, maturo, is, res, consilium, galba, iam, pridem, de, adoptio, cum, sui, et, cum, propior, agito, non, sanus, creber, totus, ciuitas, sermo, per, ille, mensis, sum, primus, licentia, atque, libido, talis, loquor, deinde, fessus, iam, aetas, galba, paucus, iudicium, aut, res, publicus, amor, multus, stultus, spes, prout, quis, amicus, uel, cliens, hic, uel, ille, ambitiosus, rumor, destino, etiam, in, titus, uinii, odium, qui, in, dies, quantus, possum, idem, actus, inuideo, sum, quippe, hio, in, magnus, fortuna, amicus, cupiditas, ipse, galba, facilitas, intendo, cum, apud, infirmus, et, credulus, paruus, metus, et, magnus, praemium, pecco",125,"0.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, NaN, 0.5, -0.5, NaN, NaN, NaN, NaN, 0.5, -0.5, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.5, NaN, 0.0, 0.0, 1.0, 0.0, -1.0, 0.5, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 1.0, -0.5, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, -0.5, 0.0, -1.0, NaN, 0.0, 1.0, NaN",0.024,-0.056,"seditio, licentia, libido, stultus, hic, ambitiosus, hio, credulus",0.064
