Text,Stelle,Inahlt,Wortzahl,Sentiment Rechnung,Sentiment-Score,alternativer Sentiment-Score,Invektiven,Invektivitäts-Score
ausonius.commemoratio,1.0,"tu, etiam, qui, nullus, ego, cognatio, iungo, sed, fama, et, carus, religio, patria, et, studium, in, liber, et, sedulus, cura, doceo, commemoro, uir, mors, obeo, celeber, fors, sum, ut, noster, manes, sic, assero, olim, exemplum, cupio, qui, pius, sum, meus",40,"NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 1.0, NaN, 1.0, 1.0, NaN, NaN, 0.5, NaN, 0.5, NaN, NaN, -1.0, NaN, NaN, 0.5, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0",0.062,-0.05,tu,0.025
ausonius.commemoratio,1.1,"primus, burdigalae, colume, -ne, dico, minerui, alter, rhetorica, quintiliane, toga, illustris, quondam, quo, praeceptor, sum, constantinopolis, roma, dehinc, patria, non, equidem, certo, cum, maiestas, duaris, solum, sed, potis, nomen, qui, patria, assero, usque, licet, fabium, calagurris, alumnus, non, sum, burdigalae, dum, cathedra, inferus, mille, forum, do, hic, iuuenis, bis, mille, senatus, adiicio, numerus, purpureus, toga, ego, quoque, sed, quoniam, multus, sum, praetexo, sileo, tu, cano, de, tu, non, ab, honor, meus, siue, panegyricus, placeo, contendo, liber, in, panathenaicis, tu, numero, sum, seu, libet, fingo, ludus, euoluo, lis, anceps, palma, quintilianus, habeo, dico, torreo, tu, copia, qui, tamen, aurum, non, etiam, luteus, uolueret, illuuies, et, demosthenicum, qui, ter, primus, ille, uoco, in, tu, sic, uigesco, cedo, ut, ipse, tu, annus, et, diuinus, bonus, naturale, donum, adicio, memor, quam, sum, animus, audio, ut, uel, lego, semel, ceu, figo, teneo, auris, et, liber, sum, ut, unus, fides, uideo, et, quondam, tabula, certamen, longus, omnis, qui, sum, tu, numero, bolus, alternus, uicis, quot, praecipito, roto, fundo, ex-caedo, per, cauo, buxum, gradus, narro, fido, per, singulus, pungo, recursus, qui, do, per, longus, qui, reuoco, mora, nullus, felle, tu, mens, liuidus, tum, sal, multus, lingua, dicax, blandus, et, sine, lis, iocus, mensa, niteo, quam, non, censorius, regula, culpo, neque, nolo, frugi, piso, uocaris, suus, nonnumquam, polleo, natal, et, daps, festus, non, tamen, angustus, ut, tenuaret, ops, quamquam, heres, egeo, bis, sex, quinquennia, fungor, fletus, sum, ab, nos, ut, pater, et, iuuenis, et, nunc, siue, aliquis, post, fatum, exter, superfio, uiuo, adhuc, aeuum, qui, pereo, meminens, siue, nihil, supersum, neque, habeo, longus, otium, sensus, tu, tu, uiuo, nos, tuus, fama, iuuo",264,"0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, 1.0, 0.0, 0.0, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, -0.5, NaN, 0.5, NaN, NaN, -0.5, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, 0.5, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN",0.04,-0.009,"hic, tu, tu, tu, fingo, tu, illuuies, tu, tu, tu, tu, frugi, otium, tu, tu",0.057
ausonius.commemoratio,2.0,"neque, ego, nepos, impius, silentium, reus, cieo, alcime, paruus, dignus, non, et, obliuiscor, fero, tuus, minister, memoria, oppono, unus, qui, uis, prior, aetas, recens, tempus, palma, forensis, et, camenaris, decus, exemplar, unus, in, littera, qui, aut, athenae, doceo, colo, graecia, aut, roma, per, latium, colo, mos, -ne, for, et, tenor, regula, ad, usque, uita, terminus, qui, laus, clarus, qui, opero, littera, omnis, refugio, ambitus, tu, nemo, grauis, uel, sum, como, magis, aut, liberalis, indigis, do, salus, si, forum, res, posco, studium, doceo, si, schola, uiuo, per, omnis, posterus, memoria, qui, tu, sacer, fama, do, et, iulianum, tu, magis, fama, do, quam, sceptrum, qui, teneo, breuis, sallustio, multus, confero, liber, tuus, quam, consulatus, addo, mos, tuus, decor, et, facundia, forma, do, filius, ignosco, noster, laedo, obsequium, stilis, amor, hic, crimen, tuus, sum, qui, dignus, nequiens, promo, officium, colo, iniuriosus, sedulus, quiesco, placidus, et, caducus, corpus, damnum, repo, gloria",147,"NaN, NaN, 0.0, -1.0, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, 1.0, 0.5, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, 1.0, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, -0.5, -0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, 0.0, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, NaN, 1.0, 1.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, 1.0, 1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, -1.0, 0.0, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, -1.0, NaN, NaN, 1.0, NaN, NaN, 0.0, -1.0, NaN, 0.0",0.092,-0.034,"impius, reus, tu, tu, tu, hic, crimen",0.048
ausonius.commemoratio,3.0,"rhetora, luciolum, condiscipulis, atque, magister, collega, dehinc, nenia, maestus, refero, facundus, doceo, uir, seu, lex, metrum, condio, seu, prosum, soluo, ordior, modus, eripio, pater, lachesis, qui, funus, acerbus, linquo, nascor, sexu, in, uterque, duo, nequaquam, meritum, qui, respondeo, heres, obscurus, quiuis, nunc, tuus, fama, iuuo, mitis, amicus, bonus, frater, fidus, coniunx, natus, pius, genitor, paeniteo, ut, sum, como, conuiuo, numquam, inclamaris, cliens, ad, famulus, numquam, tristis, uerbum, loquor, ut, placidus, mos, tranquillus, sic, colo, manes, et, capio, ab, ausonio, munus, amicus, ual",82,"NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, 1.0, NaN, 0.5, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, -0.5, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0, NaN, 1.0, 1.0, 1.0, 0.0, 1.0, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, -1.0, 0.0, NaN, NaN, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, 1.0, NaN",0.098,-0.049,"acerbus, conuiuo",0.024
ausonius.commemoratio,4.0,"aetas, quamquam, uinco, dico, prior, patera, for, nobilis, tamen, qui, aeuum, floreo, propior, iuuenis, tu, uideo, senex, honor, maestus, non, careo, nenia, doctor, potentum, rhetor, tu, baiocassi, stirps, druidaris, sero, si, fama, non, fallo, fides, beleni, sacro, dux, e, templum, genus, et, inde, tu, nomen, tu, patera, sic, minister, nuncupo, apollinaris, mysticus, frater, pater, nomen, ab, phoebus, do, no, de, delphis, tuus, doctrina, nullus, tantus, in, ille, tempus, curro, tot, for, et, rota, memor, dissero, lucidus, facundia, canorus, cultus, praeditus, sal, modestus, felle, nullus, perlitis, uinum, cibus, abstemius, laetus, pudicus, pulcher, in, senium, quoque, aquila, ut, senectus, aut, equus",99,"0.0, NaN, NaN, NaN, 0.5, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 1.0, -1.0, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 1.0, NaN, -0.5, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, 0.5, 1.0, NaN, -0.5, NaN, NaN, NaN, 0.0, NaN, NaN",0.096,-0.02,"tu, tu, fallo, tu, tu, modestus, pudicus",0.071
ausonius.commemoratio,5.0,"facundus, doceo, lingua, et, ingenium, celer, iocus, amoenus, delphidi, subtextus, sum, flebilis, threno, pater, laus, ut, subibas, aemulus, tu, paene, ab, ipse, ordior, incunabulis, deus, poeta, nobilis, sero, corona, praefero, olympiae, puer, celebrasti, iouem, mox, inde, cursim, mos, torreo, fretus, epos, ligo, metrix, ut, nullus, aequus, lex, liber, carmen, oratio, texeret, celebro, uarius, qui, eloquentia, domus, foris, claruit, seu, tu, cohors, praesulis, praetorius, prouinciaris, aut, iudex, coleres, tueor, addo, cliens, fama, et, salus, saucius, felix, quiesco, si, maneo, littera, opus, camenaris, colo, neque, odium, magnus, concito, lis, armo, ultor, impetus, neque, inquieto, tempus, tyrannicus, palatium, tu, adtolleres, dum, spes, remoueo, semper, arcesso, tu, fastidiosus, obuius, tuus, malo, sum, quam, fatum, bonus, desidero, multus, uagus, per, omnis, dignitas, formula, mereo, multus, quam, gero, unde, insecuto, crimen, motus, grauis, dono, aerumna, pater, mox, inde, rhetor, neque, doceo, pertinax, cura, fallo, pater, paruus, malus, munus, experior, deus, medium, qui, aeuum, rapio, sum, error, qui, non, deuiantis, filia, poena, laedo, coniunx",157,"1.0, NaN, -0.5, NaN, 0.5, NaN, -0.5, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, 0.0, NaN, NaN, NaN, NaN, 0.5, 0.5, 0.5, 0.0, -0.5, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 1.0, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, -1.0, 0.0, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, -1.0, -0.5, 0.0, NaN, NaN, NaN, 0.0, 1.0, NaN, 0.0, NaN, NaN, NaN, 1.0, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, -1.0, NaN, -0.5, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, 0.0, 0.0, -1.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, -1.0, NaN, -0.5",0.006,-0.076,"tu, tu, ultor, tu, tu, crimen, fallo, poena",0.051
ausonius.commemoratio,6.0,"o, flos, iuuenis, spes, laetus, pater, neque, certus, tuus, do, res, patria, rhetor, alethi, tu, primaeuis, doctor, in, annus, tempus, quo, tu, disco, adoleo, non, turpis, sum, praetextas, iam, genitor, confero, sum, post, patera, et, praeceptor, ille, superbus, moenia, roma, fama, et, meritum, inclutus, augeo, magnus, uterque, tu, burdigalae, lactus, patria, clarus, cohors, uexillum, rego, cunctus, habeo, commodus, fatum, non, sine, morsus, grauis, inuidia, omnis, praecox, fortuna, tu, do, et, rapio, et, rhetorice, hora, adoleo, frugis, careo, et, conubium, nobilis, socer, sine, pax, pater, et, diuitiae, uterque, sine, heres, domus, solstitial, uelut, herba, soleo, ostento, rapio, simul, pubes, in, aeuum, desero, ueto, tuus, non, mando, orno, bonus, quam, fatiloquo, dico, profor, uerro, horati, nihil, sum, ab, omnis, pars, beatus",119,"NaN, 0.5, NaN, 0.5, 1.0, 0.0, NaN, 0.5, 0.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 1.0, NaN, 1.0, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, -0.5, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.5, 0.0, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 1.0",0.059,-0.029,"tu, tu, turpis, tu, morsus, inuidia, tu",0.059
ausonius.commemoratio,7.0,"qui, colo, laetus, hilarosque, mos, qui, dies, festus, ioca, ueto, ludus, annuus, fungor, memoro, leonti, nomen, threnum, iste, lasciuus, patior, uocaris, nomen, indignus, probitas, uita, abnuo, numquam, quia, gratus, ad, auris, sum, amica, littera, tantus, titulis, assequor, quantus, exilis, satis, sum, cathedra, possum, insero, numerus, ut, uideo, grammaticus, tu, meus, semper, socius, iuuenta, multus, quiuis, cumulo, annus, nunc, quoque, in, noster, recal, medulla, blandus, leonti, et, iuuo, tristis, celebraris, cura, flebilis, cano, memor, querela, munus, ingratus, tu, debeo, carmen, noster",80,"NaN, NaN, 1.0, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, -1.0, 1.0, 0.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, -1.0, NaN, -1.0, -1.0, NaN, 1.0, -0.5, 0.5, -1.0, NaN, NaN, 0.0, NaN",0.019,-0.069,"lasciuus, tu, ingratus, tu",0.05
ausonius.commemoratio,8.0,"romulus, post, hic, prior, an, corinthi, annus, sperchei, parito, nascor, atticas, musas, memoro, menesthei, grammaticus, sedulis, cunctus, studium, doceo, fructus, exilis, tenuis, sermo, sed, quia, noster, doceo, in, aeuum, commemorandi, tertius, hic, ego, non, magister, ceterus, primus, doceo, in, annus, ne, sum, uox, rudis, aut, loquor, sic, sine, cultus, obsto, noster, quia, credo, mens, tardus, sensus, neque, disciplina, ad-pello, graecus, puerilis, aeuum, noxius, error, tu, leuis, caespes, tego, et, sepulcrum, tectum, defendo, cinis, operio, atque, meus, uox, titulus, superus, reddo, honor",81,"NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, 0.5, 0.0, 0.0, -0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, 0.0, 0.5, NaN, NaN, 0.0, NaN, NaN, 0.0, -0.5, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, 0.5, NaN, 0.5, NaN, 0.0, NaN, NaN, 0.0, NaN, 0.5, -1.0, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, 1.0",0.031,-0.031,"hic, hic, noxius, tu, sepulcrum",0.062
ausonius.commemoratio,9.0,"et, tu, qui, cathedra, temere, usurpo, locuntur, nomen, grammaticus, neque, mereo, puto, uox, cieo, tamen, simplex, bonus, amicus, sodalis, iucundus, hic, ipse, caris, magis, studium, qui, quiuis, impar, nomen, tam, nobilis, amo, sum, mereo, inter, commemorande, uir",37,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, 1.0, 1.0, 1.0, 1.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, -0.5, 0.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5",0.162,-0.014,"tu, hic",0.054
ausonius.commemoratio,10.0,"ammonio, anastasio, grammaticus, pictauiorum, nunc, ut, quisque, ego, flebilis, officium, relligiosus, honor, suggero, expedio, qui, quiuis, humilis, stirps, locus, atque, mereo, ingenium, homo, burdigalae, rudis, introtulere, tamen, grammatice, studium, sum, macrinus, in, hic, hic, meus, principium, credo, puerities, et, libertina, sucuro, progenies, sobrius, et, puer, utilis, ingenium, et, tu, concordi, qui, profugus, patria, muto, sterilis, urbs, alius, cathedra, neque, reticeo, senex, nomen, phoebicium, qui, beleni, aedituus, nihil, ops, inde, fero, sed, tamen, ut, placeo, stirps, sero, druidum, gens, aremoricae, burdigalae, cathedra, nascor, opus, obtineo, permaneo, series, ammonium, et, recinam, relligiosum, etenim, commemoraris, meus, grammaticus, patrius, qui, rudis, puer, primus, elementum, do, doctrina, exiguus, mos, inplacidis, proinde, ut, sum, mereo, fama, habeo, tenuis, pango, et, anastasio, flebilis, musa, melis, et, memoro, tenuis, nenia, grammaticus, burdigalae, hic, gigno, transfero, ambitio, pictonicaeque, do, pauper, ibi, et, tenuis, uinco, habeo, colo, gloriolam, exilis, et, patria, et, cathedra, perdo, in, senium, sed, tamen, hic, noster, commemoro, honor, ne, pariter, tumulus, nomen, et, os, tego",159,"NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.5, 0.0, NaN, -0.5, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, 1.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, -0.5, 0.0, 0.5, 0.5, NaN, 0.0, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.0, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN",0.025,-0.031,"humilis, hic, hic, sobrius, tu, hic, ambitio, hic",0.05
ausonius.commemoratio,11.0,"hercula, -ne, qui, proficiscor, gremium, de, noster, et, schola, spes, magis, quam, res, fruor, praebeo, auunculus, particeps, schola, et, cathedra, paene, sucessor, meus, lubricus, nisi, tu, iuuenta, praecipito, flecto, do, pythagorei, non, teneo, trames, recingo, uia, sum, placidus, et, quiesco, manus, sedes, foueo, iam, ego, cognatus, dudum, inter, memoro, nomen",50,"NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, 1.0, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.0",0.03,0.0,tu,0.02
ausonius.commemoratio,12.0,"officium, nomen, tuus, primaeue, thalasse, paruulus, audio, uix, etiam, memini, qui, forma, aut, mereo, sum, qui, stirps, parens, aetas, nihil, de, tu, posterus, celebro, grammaticus, iuuenis, tantus, tu, fama, fero, tum, quoque, tam, tenuis, quam, modo, nullus, maneo, sed, quicumque, tamen, noster, quia, doctor, in, aeuum, uiuo, hic, nos, munus, habeo, ual",52,"0.5, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN",0.077,0.0,"tu, tu, hic",0.058
ausonius.commemoratio,13.0,"et, citaris, diligo, ego, memoro, dignus, grammaticus, inter, qui, celebrere, bonus, sum, aristarchi, tu, gloria, zenodotique, graiorum, antiquus, si, sequor, honor, carmen, qui, primus, tuus, sum, condio, in, annus, concedo, cei, musa, simonidei, urbs, sero, sicula, noster, peregrinus, adeo, excolo, studium, quam, properus, edo, coniugium, nanciscor, cito, nobilis, et, locupletis, inuidia, fatum, non, genitor, morior, at, nos, defungor, memor, celebro, honor, foueo, ut, uiuus, munus, amicitia",66,"NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, 0.0, NaN, NaN, 0.0, NaN, NaN, 1.0, 0.0, NaN, 0.5, 0.0, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, -1.0, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, 0.0, 0.5, 1.0",0.121,-0.015,"tu, inuidia, uiuus",0.045
ausonius.commemoratio,14.0,"eloquium, mereo, primus, aequande, sum, agrici, pono, posterus, locus, aeuum, qui, quoniam, gigno, fungor, recens, differo, nos, non, et, omitto, sum, quicumque, in, numerus, tristis, memoro, threno, unus, honor, tumulis, serus, et, ante, do, tam, genus, tu, celsus, apex, quam, gloria, for, gloria, athenaei, cognosco, sedes, locus, nazario, et, clarus, quondam, defero, patera, egregius, multus, excolo, iuuenis, coniunx, nunc, nascor, superstes, genero, magnus, manes, et, monumentum, foueo",67,"NaN, NaN, 0.5, NaN, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -1.0, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, NaN, 0.0, NaN, NaN, 0.0, 0.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, 0.0, NaN, NaN, -0.5, NaN, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN",0.015,-0.022,tu,0.015
ausonius.commemoratio,15.0,"facetus, como, animus, iuuenal, senex, qui, felle, nullus, mel, multus, mens, madeo, aeuum, per, omnis, nihil, amaris, misceo, medela, noster, nepotiane, pectus, tam, seriorum, quam, iocus, particeps, taciturne, amyclas, qui, sileo, uinco, tu, fabulor, non, ulixes, linquo, linquo, caneo, qui, melodas, uirgo, probus, et, pudicus, parco, frugi, abstemie, facundus, nullus, rhetor, cedo, stilus, et, disputator, ad, cleanthe, -ne, stoicum, scaurus, probus, cor, calleo, intimo, et, epirote, cinea, memor, magis, sodalis, et, conuictor, hospes, iugis, parum, qui, hospes, mens, agitator, meus, consilium, nullus, mens, tam, purus, do, uel, alo, condio, tego, do, honor, gero, praesidatus, inclutus, decies, noueni, fungor, annus, uicis, duo, relinquo, liber, mors, oppeto, dolor, multus, tam, tuus, quam, meus",111,"0.0, NaN, 0.5, NaN, 0.0, NaN, NaN, NaN, NaN, 0.0, 0.5, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, -0.5, 0.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 0.5, NaN, 1.0, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, 1.0, NaN, NaN, 0.0, NaN, 0.0, NaN, 0.0, 0.5, NaN, 0.0, 0.5, NaN, 0.5, NaN, 1.0, NaN, NaN, NaN, NaN, NaN, NaN, 1.0, NaN, NaN, 0.5, NaN, NaN, NaN, 0.0, NaN, NaN, NaN, 0.5, -1.0, NaN, -1.0, 0.0, NaN, 0.0, NaN, 0.0",0.086,-0.023,"facetus, tu, uirgo, probus, pudicus, frugi, probus",0.063
